,"original vs detected","count"
207,"(Classical, Classical)",16
23,"(R&B&Soul, R&B&Soul)",16
259,"(Electronic&Dance, Electronic&Dance)",14
48,"(Alternative&Punk, Alternative&Punk)",14
200,"(Religious, Alternative&Punk)",12
101,"(Jazz, R&B&Soul)",12
187,"(Comedy&SpokenWord, R&B&Soul)",11
169,"(World, Jazz)",11
244,"(Reggae, Reggae)",10
240,"(NewAge, Rock&Pop)",10
253,"(Rock&Pop, Blues)",9
242,"(Reggae, Hip-Hop)",9
237,"(Folk, Country)",9
193,"(Latin, Latin)",9
110,"(Classical, NewAge)",9
92,"(Reggae, R&B&Soul)",9
75,"(Soundtracks&More, Country)",9
31,"(Hip-Hop, Electronic&Dance)",9
263,"(Comedy&SpokenWord, Comedy&SpokenWord)",8
247,"(Country, Country)",8
27,"(Latin, Country)",8
261,"(Soundtracks&More, Rock&Pop)",7
225,"(Childrens's, Alternative&Punk)",7
161,"(EasyListening&Vocals, Country)",7
157,"(Childrens's, Childrens's)",7
147,"(Alternative&Punk, Rock&Pop)",7
126,"(Soundtracks&More, Alternative&Punk)",7
99,"(Religious, Religious)",7
85,"(Folk, Alternative&Punk)",7
76,"(NewAge, Alternative&Punk)",7
26,"(EasyListening&Vocals, R&B&Soul)",7
275,"(World, Alternative&Punk)",6
267,"(Folk, Folk)",6
260,"(Rock&Pop, Childrens's)",6
258,"(Jazz, Country)",6
205,"(Religious, Rock&Pop)",6
201,"(Blues, Country)",6
174,"(Electronic&Dance, Latin)",6
122,"(Rock&Pop, Country)",6
79,"(Comedy&SpokenWord, Reggae)",6
64,"(Comedy&SpokenWord, Hip-Hop)",6
41,"(Jazz, Jazz)",6
25,"(Rock&Pop, Religious)",6
17,"(Electronic&Dance, Alternative&Punk)",6
15,"(Folk, R&B&Soul)",6
283,"(EasyListening&Vocals, Latin)",5
256,"(Soundtracks&More, Soundtracks&More)",5
214,"(Jazz, Religious)",5
195,"(Blues, Folk)",5
178,"(Hip-Hop, Latin)",5
153,"(EasyListening&Vocals, Classical)",5
144,"(World, Rock&Pop)",5
127,"(R&B&Soul, Rock&Pop)",5
55,"(Latin, R&B&Soul)",5
40,"(World, Folk)",5
39,"(Country, Religious)",5
3,"(Country, Alternative&Punk)",5
288,"(Jazz, Latin)",4
286,"(Country, Childrens's)",4
281,"(Classical, Folk)",4
279,"(Hip-Hop, Hip-Hop)",4
264,"(Latin, Reggae)",4
262,"(Religious, Childrens's)",4
250,"(Country, Hip-Hop)",4
213,"(EasyListening&Vocals, Alternative&Punk)",4
212,"(Hip-Hop, R&B&Soul)",4
194,"(Blues, Religious)",4
192,"(Classical, Soundtracks&More)",4
190,"(Latin, Comedy&SpokenWord)",4
185,"(Hip-Hop, Alternative&Punk)",4
165,"(Country, Rock&Pop)",4
163,"(Childrens's, EasyListening&Vocals)",4
160,"(Folk, Latin)",4
158,"(EasyListening&Vocals, Rock&Pop)",4
142,"(Childrens's, Latin)",4
140,"(NewAge, NewAge)",4
139,"(Childrens's, Country)",4
124,"(R&B&Soul, Latin)",4
91,"(Reggae, Religious)",4
90,"(R&B&Soul, Hip-Hop)",4
80,"(Blues, Rock&Pop)",4
78,"(Soundtracks&More, R&B&Soul)",4
58,"(Blues, Classical)",4
50,"(Country, Latin)",4
35,"(R&B&Soul, Religious)",4
20,"(Childrens's, Religious)",4
16,"(Blues, Jazz)",4
11,"(World, Country)",4
287,"(Comedy&SpokenWord, Alternative&Punk)",3
284,"(Childrens's, R&B&Soul)",3
278,"(Folk, Blues)",3
277,"(Latin, Blues)",3
269,"(Country, EasyListening&Vocals)",3
248,"(EasyListening&Vocals, World)",3
241,"(Rock&Pop, Reggae)",3
234,"(Electronic&Dance, Jazz)",3
233,"(Classical, Jazz)",3
231,"(Electronic&Dance, R&B&Soul)",3
230,"(Childrens's, Blues)",3
228,"(R&B&Soul, Jazz)",3
227,"(Soundtracks&More, Folk)",3
226,"(Alternative&Punk, Soundtracks&More)",3
222,"(Hip-Hop, Religious)",3
220,"(Jazz, Reggae)",3
208,"(Religious, Country)",3
206,"(Rock&Pop, Comedy&SpokenWord)",3
199,"(Childrens's, Folk)",3
198,"(EasyListening&Vocals, EasyListening&Vocals)",3
191,"(Hip-Hop, Reggae)",3
189,"(NewAge, Religious)",3
186,"(Country, R&B&Soul)",3
183,"(Reggae, Folk)",3
182,"(Hip-Hop, World)",3
181,"(NewAge, Blues)",3
179,"(Soundtracks&More, Jazz)",3
176,"(Reggae, Country)",3
171,"(Electronic&Dance, Comedy&SpokenWord)",3
159,"(Comedy&SpokenWord, Latin)",3
154,"(Rock&Pop, Rock&Pop)",3
149,"(Comedy&SpokenWord, Country)",3
146,"(Religious, Latin)",3
141,"(NewAge, R&B&Soul)",3
134,"(Folk, Childrens's)",3
125,"(R&B&Soul, EasyListening&Vocals)",3
123,"(NewAge, Country)",3
119,"(R&B&Soul, Comedy&SpokenWord)",3
116,"(World, R&B&Soul)",3
113,"(Electronic&Dance, Reggae)",3
112,"(R&B&Soul, Reggae)",3
109,"(Alternative&Punk, Religious)",3
107,"(Alternative&Punk, Blues)",3
105,"(Country, Folk)",3
96,"(Folk, Jazz)",3
87,"(Classical, EasyListening&Vocals)",3
86,"(Alternative&Punk, Comedy&SpokenWord)",3
74,"(Folk, Rock&Pop)",3
68,"(Religious, Folk)",3
65,"(Jazz, Folk)",3
62,"(Alternative&Punk, R&B&Soul)",3
61,"(World, NewAge)",3
57,"(Latin, Folk)",3
54,"(Classical, Country)",3
53,"(Blues, R&B&Soul)",3
51,"(Latin, Alternative&Punk)",3
42,"(Blues, NewAge)",3
37,"(Soundtracks&More, Latin)",3
36,"(NewAge, EasyListening&Vocals)",3
32,"(Latin, Religious)",3
29,"(Rock&Pop, R&B&Soul)",3
28,"(Electronic&Dance, Childrens's)",3
22,"(Childrens's, Rock&Pop)",3
19,"(Hip-Hop, Comedy&SpokenWord)",3
13,"(Latin, EasyListening&Vocals)",3
9,"(Religious, Blues)",3
8,"(Alternative&Punk, Electronic&Dance)",3
2,"(Blues, Blues)",3
285,"(Latin, Hip-Hop)",2
282,"(Reggae, Latin)",2
271,"(Alternative&Punk, Country)",2
268,"(Country, Soundtracks&More)",2
266,"(Classical, Latin)",2
257,"(World, Soundtracks&More)",2
252,"(Rock&Pop, Latin)",2
243,"(Reggae, Childrens's)",2
239,"(Latin, Jazz)",2
238,"(Folk, Comedy&SpokenWord)",2
232,"(Blues, Reggae)",2
224,"(Hip-Hop, Blues)",2
216,"(NewAge, Electronic&Dance)",2
215,"(World, Comedy&SpokenWord)",2
210,"(Soundtracks&More, EasyListening&Vocals)",2
209,"(Jazz, Blues)",2
204,"(Soundtracks&More, Childrens's)",2
196,"(World, Latin)",2
180,"(EasyListening&Vocals, Childrens's)",2
173,"(Hip-Hop, EasyListening&Vocals)",2
167,"(World, Hip-Hop)",2
156,"(Blues, Alternative&Punk)",2
155,"(Country, Reggae)",2
151,"(EasyListening&Vocals, Comedy&SpokenWord)",2
150,"(NewAge, Folk)",2
143,"(NewAge, World)",2
137,"(Classical, World)",2
136,"(EasyListening&Vocals, Folk)",2
131,"(Jazz, Childrens's)",2
130,"(Childrens's, Jazz)",2
129,"(Blues, Childrens's)",2
128,"(Reggae, Electronic&Dance)",2
