,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/All_Along_The_Watchtower/dave_matthews_band+Live_At_Red_Rocks_8_15_95_Disc_2+08-All_Along_The_Watchtowermp3, C, major, 112.17678833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.1372408648833076,0.29214094434271926,0.2908536032487576,0.6357142857142857,0.943913499709309,0.02620361282486384,0.2458778179995233,0.21837045416190498,0.3487893853605839
2,music/Let_It_Be/beatles+Let_It_Be+06-Let_It_Bemp3, C, major, 137.028686523,0.20928443900340066,0.20551114053857844,0.4337635550948005,0.6642857142857143,0.9154296884990057,0.03972523092992562,0.32480410400156495,0.16335342168569336,0.36951966175483547
3,music/Purple_Rain/leann_rimes+Sittin_On_Top_Of_The_World+15-Purple_Rainmp3, D, major, 111.819168091,0.17637654020407184,0.2118401332171527,0.3875750170963398,0.6285714285714286,0.9667733141414665,0.03308252914913053,0.2882489235593964,0.34477358767288996,0.3796551842014846
4,music/Something_So_Right/annie_lennox+Medusa+10-Something_So_Rightmp3, C, major, 152.389190674,0.14604725331295895,0.35310356970264517,0.3167959422209878,0.6244897959183674,0.9592675306699161,0.04517675147170779,0.36319646945685763,0.2405963222392831,0.38108420437409046
5,music/Stone_Cold_Crazy/metallica+Live_Shit_Binge_And_Purge_Disc_3_+09-Stone_Cold_Crazymp3, G, minor, 126.058242798,0.12861654498960207,0.16592145842032158,0.34403135179622873,0.6928571428571428,0.9929956895720607,0.06879166943715057,0.4947635795690288,0.20665392752724104,0.386828920521097
6,music/Little_Wing/eric_clapton+Crossroads_2_Disc_1+08-Little_Wingmp3, A, major, 154.563201904,0.13908755296880906,0.16462681001397703,0.4067811276746377,0.7040816326530612,0.9627140997166818,0.07749328613745006,0.4876875176722226,0.20081606295051352,0.3929110112234191
7,music/Purple_Rain/prince+Purple_Rain+09-Purple_Rainmp3, A#, major, 113.535438538,0.14035672139905864,0.2021721252655369,0.24594255668941595,0.7489795918367347,0.9730777937790367,0.06130460791552712,0.4431639661167235,0.3286613921441617,0.3929573443932744
8,music/Something_So_Right/paul_simon+There_Goes_Rhymin_Simon+04-Something_So_Rightmp3, A#, major, 150.428146362,0.2038988976031045,0.16573548571285096,0.6728583522211683,0.6306122448979592,0.9656633422531076,0.04692215194447272,0.3437197214053742,0.15140921535772073,0.3976024264244698
9,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.35521591144490255,0.3605466937341503,0.4264494961639731,0.6683673469387755,0.9864333217838257,0.026388100855224795,0.24730282642050486,0.12262280301550049,0.39916581254460715
10,music/Grand_Illusion/styx+Return_To_Paradise_Disc_2+01-Grand_Illusionmp3, C#, major, 178.205596924,0.24073994362126327,0.22247352845356075,0.4472941893043108,0.7183673469387755,0.9788363976392068,0.04298862032217921,0.35078235825257625,0.216655047569202,0.4022671790126343
11,music/Little_Wing/corrs+Talk_on_Corners_Special_Edition+12-Little_Wingmp3, G, major, 140.083862305,0.18393938708182198,0.13367025096938603,0.7081574783604436,0.6204081632653061,0.9443676098201634,0.05171589369677133,0.36328607633508697,0.22183042526935545,0.4034219105997919
12,music/My_Heart_Will_Go_On/celine_dion+Au_Coer_Du_Stade+11-My_Heart_Will_Go_Onmp3, D#, major, 99.0313949585,0.14639370576173724,0.11018910040914305,0.6370565210110447,0.6530612244897959,0.9402407112932428,0.030743996680761835,0.27379005608576623,0.44282554099868265,0.40428760709127176
13,music/More_Than_Words/extreme+The_Best_Of_Extreme+08-More_Than_Wordsmp3, F#, major, 91.5824508667,0.1994557052809687,0.14570378092325165,0.5945488049249452,0.6357142857142857,0.953399309150552,0.06592552531252806,0.48519158711752153,0.17668192102117605,0.4070776149306536
14,music/Thin_Line_Between_Love_And_Hate/annie_lennox+Medusa+08-Thin_Line_Between_Love_And_Hatemp3, C, major, 150.035003662,0.17754609910446967,0.14403227391351114,0.7198969976083051,0.6326530612244898,0.9455013052897877,0.061111531311528626,0.42064499417041745,0.15692674415606775,0.40728912584732213
15,music/Let_It_Be/nick_cave+I_am_Sam+20-Let_It_Bemp3, C, major, 136.383224487,0.19749912130765246,0.14873837999932424,0.5748860749196125,0.6377551020408163,0.9280256988287522,0.0751377032497432,0.4783427614689458,0.2264782924818647,0.4083578917870889
16,music/Wish_You_Were_Here/pink_floyd+Wish_You_Were_Here+04-Wish_You_Were_Heremp3, G, major, 120.611488342,0.1740406072179532,0.27077902090228456,0.5162438531561463,0.639795918367347,0.9569909303248922,0.05879129725934367,0.4574172638622028,0.2017960288373974,0.40948186499094585
17,music/Caroline_No/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+11-Caroline_Nomp3, C, major, 143.708587646,0.15592484723571537,0.18555203314557825,0.4725505887718032,0.6234693877551021,0.9680732752216332,0.036813205309145745,0.315291314077216,0.523053740576561,0.4100910490115944
18,music/Real_Men/tori_amos+Strange_Little_Girls+12-Real_Menmp3, F#, minor, 111.568817139,0.20553193605556785,0.23806522978377942,0.2469153744380338,0.6785714285714286,0.9630217140603903,0.10918339830302112,0.6354587925215006,0.2273079357050584,0.4130069761798475
19,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.18152347766254068,0.13453816493496148,0.52459454574124,0.7459183673469387,0.9961183844128179,0.06988850321412937,0.5047396489817467,0.16541957329045567,0.4153425831981038
20,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.22531780494185122,0.20626792655077741,0.5480169712501849,0.6673469387755102,0.9473791631522848,0.05212607926793622,0.3907657107994724,0.2922769093150377,0.41618718800663185
21,music/Let_It_Be/beatles+1+26-Let_It_Bemp3, C, major, 139.700973511,0.32948322207977815,0.34426596809496307,0.4379299710716438,0.6591836734693878,0.9342204511229771,0.048119177367128216,0.3656618435270232,0.21264107594290582,0.4164381728344759
22,music/Enjoy_The_Silence/depeche_mode+Violator+06-Enjoy_The_Silencemp3, G#, major, 112.85710144,0.2579516118643802,0.32819692803279343,0.39460927033258514,0.6561224489795918,0.9593185087616241,0.04883865859522467,0.4143480839133362,0.30337937247240954,0.42034561036899315
23,music/Caroline_No/beach_boys+Pet_Sounds+13-Caroline_Nomp3, C#, major, 152.130386353,0.16306975147684405,0.1574993079688817,0.5674469915689345,0.6408163265306123,0.9593869422064976,0.09918456618518504,0.6008000023048338,0.18786708879467903,0.42200887212955845
24,music/Thin_Line_Between_Love_And_Hate/persuaders+Thin_Line_Between_Love_Hate_Golden_Classics+01-Thin_Line_Between_Love_And_Hatemp3, B, major, 117.390403748,0.18952056709799212,0.15889535094579652,0.5229825911643456,0.6704081632653062,0.9610690688073351,0.13985788979690197,0.5482444241093145,0.1929586522249879,0.42299208842649755
25,music/Lady/reo_speedwagon+Arch_Allies_Disc_1+04-Ladymp3, G, major, 123.310401917,0.18459714032918562,0.2406026358868584,0.4726999271168906,0.6244897959183674,0.9487450111152304,0.042672299271395576,0.34480680667379054,0.526370896890127,0.4231230641502307
26,music/Take_Me_To_The_River/talking_heads+Stop_Making_Sense+09-Take_Me_To_The_Rivermp3, E, major, 119.755348206,0.24759649355464722,0.23280202702346645,0.6099661801773978,0.6602040816326531,0.9808095871264558,0.0630313548971786,0.4268065853794798,0.18513835587472868,0.425794333208251
27,music/I_Don_t_Like_Mondays/tori_amos+Strange_Little_Girls+09-I_Don_t_Like_Mondaysmp3, B, major, 110.872032166,0.1853275113074768,0.10580798546564163,0.28264370980176456,0.6520408163265307,0.9453851619732856,0.16346574826513768,0.7770278421939155,0.30800091492129156,0.4274624612818805
28,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.23315858129917968,0.21676383000553934,0.6656144973050327,0.6214285714285714,0.9773677174251946,0.06586844820425872,0.45203679773173905,0.18941797151712517,0.4277070518645801
29,music/Waiting_In_Vain/annie_lennox+Medusa+09-Waiting_In_Vainmp3, C#, major, 161.648529053,0.21455402149912114,0.2029283068160648,0.7804767393631303,0.7091836734693877,0.9601847137607346,0.03473724681176262,0.2878264893894403,0.2552683052962402,0.4306449370507353
30,music/September_Gurls/big_star+Radio_City+10-September_Gurlsmp3, E, major, 112.72151947,0.3336994617386255,0.2788310393237965,0.3235373853978126,0.6775510204081633,0.9829790097268558,0.09999432015366119,0.5821490259468979,0.18792829682131904,0.4333336949396414
31,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3, B, major, 143.92578125,0.42476478660000894,0.4286941675028386,0.39856002244442557,0.639795918367347,0.9595275330716165,0.03942217029357023,0.326068326381571,0.2553583997339098,0.434023915549411
32,music/Strange_Little_Girl/stranglers+The_UA_Singles_79-82+24-Strange_Little_Girlmp3, C, major, 124.326950073,0.30341058836543283,0.196570640955657,0.6601870816399684,0.6602040816326531,0.9641223330997647,0.07318348166687369,0.4893521142441746,0.12910001700839435,0.4345162923266148
33,music/Rattlesnakes/lloyd_cole_and_the_commotions+Rattlesnakes+03-Rattlesnakesmp3, A, major, 152.103897095,0.27179922564297254,0.20201122996790774,0.7532804732519771,0.6887755102040817,0.9405032492153212,0.0542321319854701,0.4307213217151831,0.13766255364467414,0.4348732119534484
34,music/Cecilia/paul_simon+Concert_in_the_Park_Disc_2+11-Ceciliamp3, G, major, 110.373329163,0.16369883150138573,0.15260736866675284,0.3922487336714555,0.65,0.9844697220051062,0.0640663225564125,0.47164067171467733,0.6046671657432616,0.4354248519823815
