,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/All_Tomorrow_s_Parties/velvet_underground+Andy_Warhol_with_Nico_+06-All_Tomorrow_s_Partiesmp3, F#, major, 93.4740905762,0.0,0.0,0.0,0.0,0.0,0.0038843845147041437,0.0,0.0,0.00048554806433801797
1,music/She_Came_In_Through_The_Bathroom_Window/joe_cocker+Joe_Cocker_Live+12-She_Came_In_Through_The_Bathroom_Windowmp3, D, major, 93.945350647,0.19257842143336049,0.09957178808600674,0.1572332258610586,0.45552784704904403,0.9897776594854132,0.0047730441006090755,0.42667985319606666,0.2143657996030438,0.3175634548518253
2,music/My_Generation/who+Who_s_Better_Who_s_Best+01-My_Generationmp3, G, minor, 96.4509277344,0.20533527911639962,0.1763619909406331,0.43596187886352206,0.4056525353283458,0.9924772678517312,0.004291508882535516,0.3291813268065788,0.09723102872801387,0.33081160206472
3,music/Night_Time_Is_The_Right_Time/creedence_clearwater_revival+The_Concert+12-Night_Time_Is_The_Right_Timemp3, E, major, 109.347229004,0.1730803724560911,0.16094152411634188,0.6430094361719625,0.45054031587697424,0.9933290417598827,0.029094580045321866,0.0869407655796204,0.1780844033708387,0.3393775549221292
4,music/Proud_Mary/tina_turner+Tina_Live_In_Europe_CD_2_+07-Proud_Marymp3, D, major, 172.265701294,0.1490210335689211,0.09428276753317759,0.5247254886691067,0.48877805486284287,0.9891213915980837,0.009789652174857616,0.33618620594115434,0.1280945682977931,0.33999989533074215
5,music/All_Along_The_Watchtower/u2+Rattle_and_Hum+05-All_Along_The_Watchtowermp3, F#, major, 129.032974243,0.18060868065044883,0.14594548691211462,0.6199288656418164,0.45303408146300916,0.9779522171799229,0.015096206391120059,0.24416714937332612,0.08645284490209416,0.34039819156423146
6,music/White_Room/cream+Live_Cream_Volume_II+02-White_Roommp3, G, major, 111.811828613,0.14480793491652125,0.1138350481695523,0.5220073010587768,0.4929343308395677,0.9757064234278712,0.006391683775594254,0.35331933915574343,0.1416707978040229,0.3438341073934562
7,music/All_Along_The_Watchtower/bob_dylan+Before_The_Flood_Disc_Two_+07-All_Along_the_Watchtowermp3, A, minor, 144.494049072,0.19043785643983796,0.15136650495900106,0.6121001774299804,0.4031587697423109,0.9785263848963704,0.02735982055458354,0.3099897904010813,0.09543534259526801,0.3460468308773042
8,music/Cocaine/nazareth+_Snaz+08-Cocainemp3, G, major, 165.70930481,0.17965260403016303,0.13350765846059548,0.5575928214975018,0.5835411471321695,0.9780352199700051,0.011702311588330527,0.18711632138599474,0.14241766673832637,0.3466957188503858
9,music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3, D, minor, 126.074867249,0.2167615084817196,0.12781142663239037,0.5537058390730223,0.4305901911886949,0.9514011655069158,0.01048131734305272,0.34385775234316185,0.163287138701337,0.3497370424087868
10,music/A_Whiter_Shade_Of_Pale/procol_harum+Greatest_Hits+2-A_Whiter_Shade_Of_Palemp3, C, major, 148.5909729,0.24088864525314427,0.17022369154714284,0.7075923253791021,0.48046550290939316,0.971272427616358,0.007234402743756554,0.11381491840807809,0.11034218768283988,0.35022926269247684
11,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.1837756881028078,0.19255729063729576,0.5621834501516769,0.41562759767248547,0.9914054795378615,0.00974899857850787,0.2700838442816897,0.19484314076163586,0.35252818621549514
12,music/My_Heart_Will_Go_On/celine_dion+Au_Coer_Du_Stade+11-My_Heart_Will_Go_Onmp3, D#, major, 99.0313949585,0.19432503889283506,0.18815924396758718,0.6144230338451973,0.45303408146300916,0.9745447589670058,0.00421504412838898,0.2961019165898491,0.11617577238976462,0.35512236128045466
13,music/Straight_From_The_Heart/bonnie_tyler+Faster_Than_The_Speed_Of_Night+09-Straight_From_The_Heartmp3, C#, major, 89.099647522,0.18756680572009485,0.145326259584854,0.6609015102746121,0.45885286783042395,0.9859705301535292,0.01515216307570608,0.25379410984222955,0.13975672670790182,0.3559151216486689
14,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.2567119710870135,0.21228618629109405,0.6607272975468599,0.4546965918536991,0.9875445592943216,0.004116130594498771,0.19834281988942382,0.08772978628139623,0.35776941785478833
15,music/Happiness_is_a_Warm_Gun/beatles+White_Album_Disc_1+08-Happiness_is_a_Warm_Gunmp3, A, minor, 140.106704712,0.2507740242240576,0.2125506671324576,0.5852789944371597,0.4031587697423109,0.9726615635789346,0.024115850626716496,0.323492560905593,0.10266853240686696,0.3593376203817621
16,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.1907794916322042,0.4053057000420955,0.45497833766660184,0.45220282626766417,0.9700723526388657,0.009359408844463239,0.22496580947774478,0.174445673591121,0.36026370002009506
17,music/Stone_Cold_Crazy/metallica+Live_Shit_Binge_And_Purge_Disc_3_+09-Stone_Cold_Crazymp3, G, minor, 126.058242798,0.13562540698184752,0.10596514571239514,0.4606588332077001,0.4921030756442228,0.9851010625493044,0.010571596316437844,0.5092632994513668,0.1844368034087247,0.3604656529089999
18,music/Love_Hurts/nazareth+_Snaz+15-Love_Hurtsmp3, G#, major, 77.6048278809,0.23260565030874591,0.25785483364502537,0.6336657527063259,0.3640897755610973,0.9760381049251983,0.0024097719873280455,0.23695045984343288,0.1808049902257196,0.36055241740035915
19,music/Street_Fighting_Man/rolling_stones+Get_Yer_Ya-Ya_s_Out_+10-Street_Fighting_Manmp3, B, major, 135.515930176,0.1730604902644962,0.1805733521801207,0.635422733468057,0.456359102244389,0.9920917270074222,0.004979414283734049,0.3611307602839142,0.08929145501057321,0.3616136293428383
20,music/Tush/nazareth+_Snaz+16-Tushmp3, C#, major, 147.813034058,0.23691271274334091,0.1661453215924491,0.6879863877138233,0.4538653366583541,0.9775891130577512,0.00481609435155367,0.30350692049168654,0.08997401018207729,0.3650994870988795
21,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.3409350746449842,0.3527223623704362,0.2899768448012354,0.43308395677472983,0.9976640082077148,0.006411757361138965,0.26651863464784287,0.24983530736297127,0.36714349327138174
22,music/Cecilia/paul_simon+Concert_in_the_Park_Disc_2+11-Ceciliamp3, G, major, 110.373329163,0.1866943627022225,0.14598750585674009,0.6155208686942976,0.45054031587697424,0.9914371794409602,0.009954004520674627,0.32623379587496326,0.21078774884397555,0.36714447272635103
23,music/The_Boxer/paul_simon+Concert_in_the_Park_Disc_2+10-The_Boxermp3, C, major, 104.250892639,0.20551108671468066,0.14189005511990388,0.5535370986815579,0.4621778886118038,0.9842381894696969,0.02347214652649596,0.4173058894623075,0.18177077297485225,0.37123789094516235
24,music/Yesterday/beatles+1+11-Yesterdaymp3, F, major, 96.8093490601,0.23618913325784066,0.32613664925918273,0.41450647193969364,0.45885286783042395,0.9837571134076176,0.012295464618451274,0.44917026919030717,0.09157849299779276,0.3715608078126637
25,music/Tush/zz_top+Fandango+09-Tushmp3, C, major, 144.786575317,0.2629670408513282,0.21908296406523367,0.7313865847780652,0.45054031587697424,0.9879592357374376,0.010519768119008843,0.24633175639230223,0.07160573927197032,0.37254917563654005
26,music/Purple_Rain/prince+Purple_Rain+09-Purple_Rainmp3, A#, major, 113.535438538,0.17752818602198667,0.12902611864618788,0.5630000309698152,0.772236076475478,0.9748631723796936,0.014603839503226664,0.24740789750512945,0.10356935737335324,0.3727793348593589
27,music/Maggie_s_Farm/bob_dylan+Live_at_Budokan_Disc_1+06-Maggie_s_Farmmp3, A, minor, 126.578773499,0.23588815734182803,0.194002291813944,0.6604934303400155,0.49875311720698257,0.9835922477701216,0.008110962752648419,0.2898140242271723,0.12073448010977345,0.37392358894531075
28,music/September_Gurls/bangles+Different_Light+09-September_Gurlsmp3, E, major, 117.964355469,0.17719995477287767,0.14157623808952843,0.7557323474308133,0.45802161263507896,0.9937417032049108,0.04302242747730153,0.3271889315344472,0.0978510963299832,0.3742917889343676
29,music/Between_The_Bars/glen_phillips+Capitol_Garage+35-Between_The_Barsmp3, C, major, 91.3132629395,0.2776891033761907,0.24568671263800293,0.36544484230801494,0.45802161263507896,0.9924447329418845,0.011888080835215606,0.5200265149316101,0.12405405835546762,0.37440695725268325
30,music/All_Along_The_Watchtower/dave_matthews_band+Live_At_Red_Rocks_8_15_95_Disc_2+08-All_Along_The_Watchtowermp3, C, major, 112.17678833,0.13826076035103468,0.15471962851837257,0.5086810797580987,0.6483790523690773,0.9696402674435355,0.008537739725620486,0.2841731903330984,0.2854571214056105,0.37473110498805606
31,music/Downtown_Lights/blue_nile+Hats+02-Downtown_Lightsmp3, E, major, 98.2924575806,0.3778591058414268,0.19099592024609968,0.7062708463689695,0.49542809642560265,0.9881885418833345,0.00614942933831861,0.17601331908645945,0.06015005980033056,0.3751319148738177
32,music/Never_Let_Me_Down_Again/smashing_pumpkins+For_The_Masses_A_Tribute_To_Depeche_Mode+01-Never_Let_Me_Down_Againmp3, C, major, 120.019004822,0.2435487735450282,0.1830329180004565,0.6759789994584793,0.44472152950955945,0.9793841503015646,0.005761038870870965,0.37694696354364343,0.09541833341355645,0.37559908833039485
33,music/Purple_Rain/leann_rimes+Sittin_On_Top_Of_The_World+15-Purple_Rainmp3, D, major, 111.819168091,0.21238956629275177,0.3380940571843974,0.6788512543827551,0.46550290939318373,0.9849370555255458,0.003474203924067977,0.2555648629441525,0.06641466581757208,0.37565357193305327
34,music/The_Boxer/simon_and_garfunkel+Collected_Works_Disc_3+06-The_Boxermp3, B, major, 93.1609115601,0.2021962078941094,0.19704211364184052,0.15180059407923283,0.4546965918536991,0.98331905414624,0.197766092593436,0.7476191378209951,0.08840338693037061,0.3778553973699904
35,music/Come_Together/aerosmith+Live_Bootleg+06-Come_Togethermp3, D, minor, 163.776016235,0.17640394730371023,0.15386881114242296,0.6288484129773749,0.5652535328345802,0.9643553597648458,0.005281544546082836,0.3444391947819877,0.18610462072418463,0.37806942800939874
36,music/Enjoy_The_Silence/tori_amos+Strange_Little_Girls+04-Enjoy_the_Silencemp3, A#, major, 163.905609131,0.20471362018057232,0.13487384835112598,0.45816735667214603,0.45552784704904403,0.9717334456926038,0.03346477201432429,0.6775837400877963,0.09823400582885601,0.37928732948455857
37,music/Caroline_No/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+11-Caroline_Nomp3, C, major, 143.708587646,0.183009893005017,0.28950555215425566,0.6379704968911417,0.5336658354114713,0.9539299294477139,0.0033805120057334576,0.3104548537569578,0.1284579807574633,0.38004688167871925
38,music/Never_Let_Me_Down_Again/depeche_mode+Music_For_The_Masses+01-Never_Let_Me_Down_Againmp3, C, major, 106.159973145,0.2645171319903607,0.22857008795298306,0.7330448830799271,0.45054031587697424,0.9723313793003927,0.007378546450295859,0.3122750030053363,0.07271804976957147,0.38017192467823013
39,music/More_Than_Words/extreme+The_Best_Of_Extreme+08-More_Than_Wordsmp3, F#, major, 91.5824508667,0.21484320771419696,0.185899820240187,0.32497030054852655,0.4546965918536991,0.9673376535264534,0.032782536450038535,0.6636420951710255,0.20092528184072941,0.3806371859181071
40,music/Night_Time_Is_The_Right_Time/aretha_franklin+Aretha_Now+04-Night_Time_Is_The_Right_Timemp3, F, major, 103.113929749,0.30671356244050907,0.3547505199513134,0.6390697749937685,0.44970906068162925,0.9799970477595739,0.006625592025804214,0.2171290277410998,0.10723772088822088,0.38265403831023986
41,music/Claudette/roy_orbison+Black_and_White_Night+15-Claudettemp3, E, major, 142.850524902,0.2534111576524727,0.19749160151129216,0.7176872223052427,0.4463840399002494,0.9835869088735589,0.011908372872447512,0.2928337375052259,0.1897988420770173,0.3866377353371883
42,music/Ooby_Dooby/roy_orbison+Black_and_White_Night+05-Ooby_Doobymp3, E, major, 163.758422852,0.20966691220459965,0.1733136298738148,0.620036087351717,0.5037406483790524,0.965477881971174,0.03188809007915054,0.4104703882328373,0.17933577804443532,0.38674117701709765
43,music/Toys_In_The_Attic/rem+Dead_Letter_Office+07-Toys_In_The_Atticmp3, G, major, 102.517662048,0.19290606905649313,0.15170605748874763,0.6658279960514989,0.44970906068162925,0.989206148563236,0.01443003067926332,0.38118779853295104,0.2502446040311902,0.3869022206356262
44,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3, D, major, 107.710151672,0.3243210717925317,0.35625442715369615,0.5665357615673011,0.4596841230257689,0.9820274400233799,0.004079241878751339,0.3583593472620467,0.05394075567912581,0.38815027104782523
45,music/Take_Me_To_The_River/talking_heads+Stop_Making_Sense+09-Take_Me_To_The_Rivermp3, E, major, 119.755348206,0.2588311948240002,0.20634197790916559,0.647476546378501,0.5170407315045719,0.9798292122398163,0.023408037781541557,0.3119949871297841,0.163887171110533,0.38860123235973926
46,music/Take_On_Me/mxpx+On_The_Cover+05-Take_On_Memp3, F, major, 102.6434021,0.3248601087443046,0.22892686618883049,0.6167901500352244,0.45303408146300916,0.9852217888198354,0.00580108741116334,0.4187810165905295,0.08377245194341547,0.389648443899539
47,music/I_Don_t_Want_To_Miss_A_Thing/new_found_glory+From_the_Screen_to_Your_Stereo+03-I_Don_t_Want_To_Miss_A_Thingmp3, D, major, 96.5412216187,0.3400222836179457,0.3349731420323954,0.44048205870493856,0.4605153782211139,1.0,0.008614181035262142,0.46845027905415737,0.07042729322939995,0.3904355769869016
48,music/Lodi/creedence_clearwater_revival+Live_in_Europe+08-Lodimp3, A#, major, 132.643798828,0.28477761048895717,0.25405808190084167,0.72294553612208,0.45885286783042395,0.9820116330858464,0.0006102995979229416,0.22880841461612578,0.19406837606355026,0.39076660246321854
49,music/Proud_Mary/creedence_clearwater_revival+Live_in_Europe+10-Proud_Marymp3, D, major, 135.161499023,0.31711969141593577,0.27210267156862167,0.6356371167522947,0.46384039900249374,0.9920757958067422,0.0,0.24455509769477946,0.20602493094342803,0.391419462898037
50,music/I_m_Not_In_Love/10cc+The_Very_Best_of_10cc+07-I_m_Not_In_Lovemp3, D#, major, 133.520217896,0.2800118958537343,0.14834062564706818,0.7742789370076965,0.4771404821280133,0.919305759641323,0.02024846327169089,0.4602491938463456,0.05550309489471881,0.39188480653632385
51,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.25249091566713583,0.16089159901430092,0.686005582384369,0.46633416458852867,0.98139622108869,0.009199360483987375,0.4147296937790684,0.17584609033724619,0.39336170341791576
52,music/River_Deep_Mountain_High/tina_turner+Tina_Live_In_Europe_CD_2_+05-River_Deep_Mountain_Highmp3, D, major, 143.944198608,0.20139415016898696,0.14329443602037073,0.704257086750662,0.47381546134663344,0.971533836118754,0.009384883336445111,0.42806479072379905,0.21863438079309086,0.3937973781573427
53,music/Grand_Illusion/styx+Return_To_Paradise_Disc_2+01-Grand_Illusionmp3, C#, major, 178.205596924,0.2389207362776304,0.2546370128540869,0.46626500119218756,0.6758104738154613,0.9875602647714543,0.005145341855357664,0.3561311117297814,0.17049499118416228,0.39437061671001516
54,music/Before_You_Accuse_Me/eric_clapton+Unplugged+02-Before_You_Accuse_Memp3, A, major, 99.5403900146,0.30443067052554973,0.2814438922534145,0.5804000157555177,0.45303408146300916,0.9814277655033031,0.009924616934198806,0.4109704205631118,0.13423821768336638,0.3944837100851839
55,music/More_Than_Words/westlife+Westlife+13-More_Than_Wordsmp3, F#, major, 93.9014434814,0.40130301113651745,0.577794998903444,0.3624829853939736,0.4513715710723192,0.9778143216197015,0.004628355264844506,0.3110866773407505,0.06972082551275625,0.39452534328053834
56,music/Summer_of_69/bryan_adams+Live_Live_Live_+13-Summer_of_69mp3, D, major, 138.499053955,0.16148011555171798,0.11958440731439404,0.6697844350519376,0.4779717373233583,0.9832848793388811,0.011605065837543145,0.5205582590935972,0.2148975129753237,0.39489580156084414
57,music/I_m_Losing_You/cheap_trick+Silver+08-I_m_Losing_Yoump3, A, minor, 107.852676392,0.23928213693639627,0.19304585288622741,0.6868991367239167,0.41812136325852034,0.9812397266356913,0.003659732051024281,0.41523175397220485,0.22963524550883496,0.395889368496602
58,music/Toys_In_The_Attic/aerosmith+Toys_In_The_Attic+01-Toys_In_The_Atticmp3, E, minor, 98.9608612061,0.20534356660526404,0.1439887350360144,0.7352550454489556,0.4314214463840399,0.9841119073596102,0.007154387234673188,0.38668739954766795,0.2777507975612362,0.3964641606471827
59,music/Rattlesnakes/lloyd_cole_and_the_commotions+Rattlesnakes+03-Rattlesnakesmp3, A, major, 152.103897095,0.2847854310770405,0.21268867890082446,0.7845448594767184,0.46550290939318373,0.9598433624611608,0.007622568939707965,0.21948760987034657,0.2386967282662534,0.39664651854815447
60,music/Time/tori_amos+Strange_Little_Girls+07-Timemp3, B, major, 135.985366821,0.24064682955693606,0.15127616570033892,0.42216395420195746,0.5037406483790524,0.9687100455635802,0.04090042787588826,0.770790983242626,0.0764085349250728,0.3968296986806815
