,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Cecilia/simon_and_garfunkel+Collected_Works_-_Disc_3+03-Ceciliamp3, B, major, 103.134170532,0.0,0.0,0.0,0.0,0.0,0.08638131266845236,0.0,0.0,0.010797664083556546
1,music/Toys_In_The_Attic/rem+Dead_Letter_Office+07-Toys_In_The_Atticmp3, G, major, 102.517662048,0.34398894727034246,0.27352468858161016,0.1592979212142082,0.2104391052195526,0.9564947978762155,0.07898466626802207,0.4639477085101563,0.14553899962505337,0.3290271043206451
2,music/Night_Time_Is_The_Right_Time/aretha_franklin+Aretha_Now+04-Night_Time_Is_The_Right_Timemp3, F, major, 103.113929749,0.35176554713288744,0.44685212395407076,0.17180625268002853,0.34465617232808615,0.9479017714442644,0.031188970865444806,0.29393376579783026,0.04847343142444336,0.329572254453382
3,music/Take_On_Me/mxpx+On_The_Cover+05-Take_On_Memp3, F, major, 102.6434021,0.3214870088782552,0.30066079549802444,0.2461512084282764,0.2651201325600663,0.9419905584674371,0.1005677597006228,0.509318186013374,0.05968069900226324,0.3431220435685399
4,music/Straight_From_The_Heart/bonnie_tyler+Faster_Than_The_Speed_Of_Night+09-Straight_From_The_Heartmp3, C#, major, 89.099647522,0.39505528012611835,0.37512101922048924,0.779420617622185,0.23777961888980945,0.923703845555157,0.04978127018877631,0.206891926136174,0.06492654680730896,0.3790850155682523
5,music/Night_Time_Is_The_Right_Time/creedence_clearwater_revival+The_Concert+12-Night_Time_Is_The_Right_Timemp3, E, major, 109.347229004,0.37338693272071755,0.3148707339107609,0.7112143807396551,0.2667771333885667,0.9674983038385834,0.07869969004585392,0.27332643224221326,0.06558150487675345,0.381419388970388
6,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.40843550337376094,0.38929432017559557,0.7549150423590532,0.24606462303231152,0.9539604390334097,0.0342645042910275,0.22585192228484827,0.06666578506467127,0.3849315174518347
7,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.3992409861771972,0.408632043764558,0.6843052063904633,0.20629660314830156,0.9657741297091711,0.06736152354337585,0.26799974065515564,0.0871198389775519,0.3858412590457218
8,music/Yesterday/beatles+1+11-Yesterdaymp3, F, major, 96.8093490601,0.4004740522101565,0.5012278365402348,0.695718309804813,0.212096106048053,0.9467478337748341,0.044276459769559455,0.21798123121732058,0.07807240100722877,0.387074278796525
9,music/All_Along_The_Watchtower/u2+Rattle_and_Hum+05-All_Along_The_Watchtowermp3, F#, major, 129.032974243,0.40708293561841896,0.34988950957556153,0.727280297678893,0.3728251864125932,0.8881722859595381,0.04791082913100368,0.2161953154394529,0.10193915730644051,0.38891193964023774
10,music/September_Gurls/bangles+Different_Light+09-September_Gurlsmp3, E, major, 117.964355469,0.39151400705490835,0.328668383938535,0.8238933096520895,0.2212096106048053,0.945446573070259,0.0823337054759873,0.30284647097279177,0.05039622643855982,0.393288535900992
11,music/Before_You_Accuse_Me/eric_clapton+Unplugged+02-Before_You_Accuse_Memp3, A, major, 99.5403900146,0.37353605708879273,0.3833035315646424,0.5830775349600041,0.251864125932063,0.948518397341061,0.008771968849571633,0.33026586503696753,0.278944568156239,0.39478525611616766
12,music/Walk_This_Way/run_dmc+Raising_Hell+04-Walk_This_Waymp3, C, major, 105.573783875,0.42167869847906625,0.3224744514978967,0.7730319011946831,0.3827671913835957,0.9797932274498511,0.03088285994636527,0.14399919238049658,0.12245734550782561,0.39713560847997254
13,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3, D, major, 107.710151672,0.4001331109125782,0.4776212573226744,0.5326886581996789,0.20215410107705054,0.9559559325849823,0.048382572349198814,0.470632259590585,0.11350002852418743,0.40013349007011695
14,music/Never_Let_Me_Down_Again/depeche_mode+Music_For_The_Masses+01-Never_Let_Me_Down_Againmp3, C, major, 106.159973145,0.3729900416978996,0.30115200168240525,0.6295928628743881,0.3487986743993372,0.950214722646713,0.02570387760557768,0.4227470917501439,0.17790303011921504,0.40363778784696003
15,music/All_Tomorrow_s_Parties/velvet_underground+Andy_Warhol_with_Nico_+06-All_Tomorrow_s_Partiesmp3, F#, major, 93.4740905762,0.3801604446377843,0.3363521754281848,0.6733454504650348,0.3951946975973488,0.912926418020958,0.02765517063843075,0.39132256575229196,0.1432991488398519,0.40753200892248564
16,music/All_Along_The_Watchtower/bob_dylan+Before_The_Flood_Disc_Two_+07-All_Along_the_Watchtowermp3, A, minor, 144.494049072,0.4004684722174786,0.3339854947598251,0.7106505364987062,0.3106876553438277,0.9515015592191756,0.04849424725289091,0.3964018868280169,0.13439210022027412,0.4108227440425244
17,music/Downtown_Lights/blue_nile+Hats+02-Downtown_Lightsmp3, E, major, 98.2924575806,0.4435892699961472,0.31168195383625286,0.8103461506350456,0.48135874067937034,0.9332243792576661,0.029472830993809648,0.16199680397640853,0.1332927856593063,0.4131203643792507
18,music/Summer_of_69/mxpx+On_The_Cover+01-Summer_of_69mp3, C, major, 101.593284607,0.42018138796063775,0.4042053525371233,0.45426034642392965,0.2104391052195526,0.9878770154718088,0.131142048797495,0.474780264969896,0.22924795157419414,0.4140166841193297
19,music/My_Heart_Will_Go_On/celine_dion+Au_Coer_Du_Stade+11-My_Heart_Will_Go_Onmp3, D#, major, 99.0313949585,0.3800712396541693,0.41078916698367746,0.6998708870638527,0.3736536868268434,0.8694468301829972,0.022949158488544487,0.3418597171373208,0.21926085525864458,0.4147376926995063
20,music/Hush/milli_vanilli+All_Or_Nothing+12-Hushmp3, G#, minor, 100.840080261,0.5464855708130282,0.4522492811516108,0.6549292000903265,0.2427506213753107,0.9674555963195024,0.05687322616715638,0.3242019568329902,0.07988279928913392,0.4156035315048824
21,music/Caroline_No/beach_boys+Pet_Sounds+13-Caroline_Nomp3, C#, major, 152.130386353,0.41182180993691087,0.371773137338992,0.7292556280732914,0.304059652029826,0.9255362856784497,0.07873445711107475,0.4321210930464681,0.0790841671743651,0.4165482787986723
22,music/My_Generation/who+Who_s_Better_Who_s_Best+01-My_Generationmp3, G, minor, 96.4509277344,0.38135695984622286,0.36858405447557785,0.6939007400495852,0.20463960231980116,0.9668905077701346,0.028120557500514114,0.46724988858460587,0.23675464713574232,0.418437119710273
23,music/My_Heart_Will_Go_On/new_found_glory+From_the_Screen_to_Your_Stereo+07-My_Heart_Will_Go_Onmp3, E, major, 101.541908264,0.36985082769641725,0.40375444480350925,0.4045572515181514,0.23529411764705882,0.9410495410902462,0.11422713107298835,0.6440025443927782,0.23734051629340902,0.41875954681431987
24,music/Never_Let_Me_Down_Again/smashing_pumpkins+For_The_Masses_A_Tribute_To_Depeche_Mode+01-Never_Let_Me_Down_Againmp3, C, major, 120.019004822,0.4352310027089554,0.35381359874524276,0.7674048192660036,0.32974316487158245,0.9367057472846293,0.0635793545914577,0.42665151618839026,0.055910882615386355,0.421130010783956
25,music/Thin_Line_Between_Love_And_Hate/persuaders+Thin_Line_Between_Love_Hate_Golden_Classics+01-Thin_Line_Between_Love_And_Hatemp3, B, major, 117.390403748,0.38980656674510117,0.36262880227168753,0.7395700336666777,0.2651201325600663,0.8270283794193667,0.12394076171071786,0.6258569291114323,0.054614290802445974,0.42357073703593695
26,music/Toys_In_The_Attic/aerosmith+Toys_In_The_Attic+01-Toys_In_The_Atticmp3, E, minor, 98.9608612061,0.3559856693804156,0.32972398864376445,0.7953038558865135,0.22203811101905552,0.9643626652610363,0.08327871272417836,0.4661538459544965,0.1765927428850607,0.42417994896931516
27,music/Cecilia/paul_simon+Concert_in_the_Park_Disc_2+11-Ceciliamp3, G, major, 110.373329163,0.37824560835851445,0.3507791584340198,0.6875822764067142,0.25849212924606463,0.9108079799579564,0.016074556265147748,0.43513763162489805,0.3570075664118105,0.42426586333814076
28,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.43335155631613226,0.45717565665279525,0.5965378291685918,0.2899751449875725,0.9533362792067611,0.0729510028375054,0.42816231478843675,0.1628363416923244,0.4242907657062649
29,music/I_Don_t_Want_To_Miss_A_Thing/new_found_glory+From_the_Screen_to_Your_Stereo+03-I_Don_t_Want_To_Miss_A_Thingmp3, D, major, 96.5412216187,0.432620090430335,0.44895598385199237,0.6354427602710268,0.2104391052195526,0.962175832271314,0.14018714268013321,0.4754308817955399,0.09060340050037283,0.4244818996275333
30,music/My_Generation/green_day+Kerplunk+16-My_Generationmp3, F, minor, 106.568016052,0.4197662589751748,0.6088843219758132,0.4438614070641399,0.1996685998342999,1.0,0.09482513233107401,0.4314055399331223,0.21728271690197315,0.4269617471269497
31,music/Between_The_Bars/glen_phillips+Capitol_Garage+35-Between_The_Barsmp3, C, major, 91.3132629395,0.4242420497462714,0.4510191048789202,0.6052452625991215,0.21375310687655344,0.9210599852473912,0.06084216163751107,0.47575567032805477,0.26412153887469636,0.427004860023565
32,music/Rattlesnakes/lloyd_cole_and_the_commotions+Rattlesnakes+03-Rattlesnakesmp3, A, major, 152.103897095,0.44431126112927666,0.4000668888219695,0.8346492199690245,0.3496271748135874,0.872356621422899,0.06072485643829423,0.3215537752942798,0.13298416478330805,0.42703424533407985
33,music/Addicted_To_Love/robert_palmer+Riptide+03-Addicted_To_Lovemp3, D, major, 111.608444214,0.4469738164273786,0.3829031069995436,0.8327527163070377,0.48384424192212094,0.9829355519231372,0.03250900767606909,0.21446937999297166,0.042125205015089734,0.4273141282829186
34,music/Street_Fighting_Man/rolling_stones+Get_Yer_Ya-Ya_s_Out_+10-Street_Fighting_Manmp3, B, major, 135.515930176,0.3887416494847832,0.32661767725675456,0.7212555453346953,0.3728251864125932,0.9507659755487329,0.03773735655740988,0.4446745080275051,0.17871891816382543,0.4276671020982874
35,music/Take_Me_To_The_River/talking_heads+Stop_Making_Sense+09-Take_Me_To_The_Rivermp3, E, major, 119.755348206,0.43830325679830356,0.3816867213852097,0.7467844748526647,0.5227837613918807,0.962542965959845,0.05956615528166836,0.26318864959536464,0.058819788075317014,0.42920947166753165
36,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.41879358011731016,0.3578031453711559,0.7729468583501302,0.3247721623860812,0.9524877904864335,0.07041318789922753,0.4360265169441047,0.10841261332346741,0.4302069818597388
37,music/Straight_From_The_Heart/bryan_adams+So_Far_So_Good+02-Straight_From_The_Heartmp3, C, major, 84.6679153442,0.46770442546597807,0.5469519341880055,0.7848481409162613,0.2203811101905551,0.9088219102428259,0.04492178469747758,0.37515131595523005,0.09666183159624643,0.43068030665657253
38,music/Claudette/roy_orbison+Black_and_White_Night+15-Claudettemp3, E, major, 142.850524902,0.4124123529203809,0.3540412684763167,0.7841026897438759,0.29660314830157414,0.9632094469826041,0.0038980081213585848,0.29414262983629,0.3415003176976656,0.4312387327600083
39,music/White_Room/cream+Live_Cream_Volume_II+02-White_Roommp3, G, major, 111.811828613,0.37301790421167363,0.32452028603091637,0.6486921889513751,0.44821872410936203,0.9229439003462124,0.016068521855361315,0.43676161155079934,0.286211937360403,0.43205438430201293
40,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.3836608227291003,0.5739261866710121,0.5915569549667326,0.39353769676884837,0.8951104510229324,0.06022869259068331,0.4325964077304817,0.1422016696960076,0.4341023602719748
41,music/Purple_Rain/leann_rimes+Sittin_On_Top_Of_The_World+15-Purple_Rainmp3, D, major, 111.819168091,0.3956071376569963,0.512246269778309,0.7579801751035921,0.39436619718309857,0.91562002395306,0.024105424280567528,0.33225864179188536,0.14065821427995442,0.4341052605034329
42,music/September_Gurls/big_star+Radio_City+10-September_Gurlsmp3, E, major, 112.72151947,0.47234383360626614,0.43502507917929895,0.7252357862433366,0.2187241093620547,0.9231259306900259,0.10039649925840988,0.5559272568912604,0.04404824073964863,0.43435334199628767
43,music/Let_It_Be/nick_cave+I_am_Sam+20-Let_It_Bemp3, C, major, 136.383224487,0.39418948247028446,0.37755332250266593,0.7309012365883362,0.32891466445733225,0.8742746369612631,0.12533382810721214,0.570833269766164,0.07843804016927722,0.4350548101278169
