,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Cocaine/eric_clapton+Crossroads_2_Disc_3+07-Cocainemp3, D, major, 99.0495834351,0.0,0.0,0.0,0.0,0.0,0.00018945881083296277,0.0,0.0,2.3682351354120346e-05
1,music/Downtown_Lights/blue_nile+Hats+02-Downtown_Lightsmp3, E, major, 98.2924575806,0.3317845776210977,0.13159434699040037,0.18000989459817462,0.4801255230125523,0.9644078254565731,0.005092960084732218,0.1976379814524146,0.17291597733329667,0.3079461358186552
2,music/My_Heart_Will_Go_On/celine_dion+Au_Coer_Du_Stade+11-My_Heart_Will_Go_Onmp3, D#, major, 99.0313949585,0.2939195592896225,0.26570122571127464,0.08702699788619216,0.5146443514644351,0.9507497402539511,0.0053682564491159684,0.24276271871191926,0.13184094732655582,0.3115017246366333
3,music/Proud_Mary/tina_turner+Tina_Live_In_Europe_CD_2_+07-Proud_Marymp3, D, major, 172.265701294,0.24633180946106414,0.19211869475492388,0.5960586358820308,0.5094142259414226,0.9751444028815639,0.004763241313375269,0.008941330708491896,0.08079709760628691,0.3266961798186449
4,music/Toys_In_The_Attic/aerosmith+Toys_In_The_Attic+01-Toys_In_The_Atticmp3, E, minor, 98.9608612061,0.19848312628319117,0.13232974864516206,0.11076869977273686,0.5188284518828452,0.9801186153784678,0.0049600171876181195,0.288512875692813,0.39367202632250087,0.32845919514566685
5,music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3, D, minor, 126.074867249,0.2840856992231365,0.21161580318458573,0.6431759484704672,0.5115062761506276,0.9745080698381524,0.005488152614329293,0.022193752004222692,0.05974186781177383,0.33903944616216186
6,music/My_Generation/who+Who_s_Better_Who_s_Best+01-My_Generationmp3, G, minor, 96.4509277344,0.2486326608539159,0.1860997496838589,0.464577528675768,0.5721757322175732,1.0,0.00265756076592668,0.17436803480794666,0.09722124039950207,0.3432165634255614
7,music/She_Came_In_Through_The_Bathroom_Window/joe_cocker+Joe_Cocker_Live+12-She_Came_In_Through_The_Bathroom_Windowmp3, D, major, 93.945350647,0.2620209412926582,0.19549827194161348,0.6626362010201172,0.5418410041841004,0.9840184300964,0.001627807987472902,0.09319451908619704,0.018933883503332027,0.3449713823889864
8,music/White_Room/cream+Live_Cream_Volume_II+02-White_Roommp3, G, major, 111.811828613,0.2740853177038962,0.2397375404148614,0.6156712248665854,0.48640167364016734,0.942060933798664,0.002839355456519542,0.14831628788901943,0.05699624213567408,0.34576357198817353
9,music/River_Deep_Mountain_High/tina_turner+Tina_Live_In_Europe_CD_2_+05-River_Deep_Mountain_Highmp3, D, major, 143.944198608,0.2807910224731771,0.22082656690114105,0.7458622258992743,0.4811715481171548,0.9508794730281787,0.0039640469744060625,0.07503113059776295,0.022505311175354085,0.34762891564580606
10,music/Before_You_Accuse_Me/eric_clapton+Unplugged+02-Before_You_Accuse_Memp3, A, major, 99.5403900146,0.30976208524704624,0.28072509369094556,0.19335704651641134,0.5062761506276151,0.9761688890378627,0.01011910108495903,0.4569541489120765,0.07999204412507833,0.35166931990524936
11,music/Come_Together/aerosmith+Live_Bootleg+06-Come_Togethermp3, D, minor, 163.776016235,0.2801077158676998,0.24439011836734495,0.6910196553147688,0.6056485355648535,0.934745584656917,0.0021176710730859867,0.053318327444541326,0.025719868097738543,0.35463343454836876
12,music/What_s_Going_On/cyndi_lauper+Twelve_Deadly_Cyns+09-What_s_Going_Onmp3, A#, major, 98.9904937744,0.3192399951217159,0.36348660277047884,0.11583236930020423,0.46443514644351463,0.9743918376860106,0.0032739689947700306,0.278362168418495,0.3246910384133687,0.3554641408935697
13,music/White_Room/sheryl_crow_+Live_from_Central_Park+12-White_Roommp3, G, major, 106.896240234,0.2610676674784772,0.20134651490260502,0.5742276615451276,0.50418410041841,0.9462088912504412,0.0007731259354261655,0.3219462881778808,0.03739141592115954,0.3558932082036909
14,music/Downtown_Lights/annie_lennox+Medusa+07-Downtown_Lightsmp3, E, major, 98.2976226807,0.39003587087453084,0.30335426201323945,0.3229402117521184,0.48535564853556484,0.9839258144359146,0.002431330750066174,0.21709864886090072,0.1793756926911543,0.36056468498918615
