,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Come_Together/aerosmith+Live_Bootleg+06-Come_Togethermp3, D, minor, 163.776016235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Ooby_Dooby/roy_orbison+Black_and_White_Night+05-Ooby_Doobymp3, E, major, 163.758422852,0.14555522371892018,0.13945322129212323,0.15508492087954226,0.5504115226337448,0.9505918470997098,0.2172295543700818,0.4413992750744659,0.04737239542042657,0.3308872450611268
2,music/Proud_Mary/tina_turner+Tina_Live_In_Europe_CD_2_+07-Proud_Marymp3, D, major, 172.265701294,0.16824531595379022,0.12322526582477145,0.4991176863863673,0.5288065843621399,0.968905476475275,0.0874982026539007,0.2195950645899896,0.06871114037912575,0.33301309207817
3,music/White_Room/cream+Live_Cream_Volume_II+02-White_Roommp3, G, major, 111.811828613,0.16413610539649406,0.14940385830677144,0.5971722625886431,0.5648148148148148,0.9592746666581611,0.09244803040699058,0.2339827756927741,0.04349640685975795,0.3505911150905509
4,music/Cocaine/nazareth+_Snaz+08-Cocainemp3, G, major, 165.70930481,0.1706662713556161,0.13206087825243953,0.33562299176719174,0.6604938271604939,0.9719587723583234,0.15685161274174483,0.3223460709194011,0.10454163726495484,0.35681775772752067
5,music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3, D, minor, 126.074867249,0.21644899245906268,0.16565177470734202,0.6227228952784059,0.5236625514403292,0.96893577454835,0.08517081575170256,0.21522686765326327,0.062079705305127054,0.3574874221429478
6,music/Day_Tripper/cheap_trick+Silver+13-Day_Trippermp3, E, major, 152.003646851,0.20979895146409064,0.2581055103624524,0.5976729664632994,0.5936213991769548,0.9698677745884503,0.08078828735173375,0.21641575364557802,0.05181210391708219,0.37226034337120517
7,music/She_Came_In_Through_The_Bathroom_Window/joe_cocker+Joe_Cocker_Live+12-She_Came_In_Through_The_Bathroom_Windowmp3, D, major, 93.945350647,0.2195438858347686,0.17505590850182506,0.6700826054491605,0.6481481481481481,0.9886126973515363,0.08056029190563292,0.2063385045693531,0.03422396389647829,0.37782075070711285
8,music/Purple_Rain/prince+Purple_Rain+09-Purple_Rainmp3, A#, major, 113.535438538,0.18868995610729455,0.16463582432661442,0.6252280326215075,0.6738683127572016,0.9611583949942275,0.08189192718584093,0.2036593130371445,0.18413805503520345,0.38540872700812934
9,music/Maggie_s_Farm/bob_dylan+Live_at_Budokan_Disc_1+06-Maggie_s_Farmmp3, A, minor, 126.578773499,0.2620422278346498,0.2150823946775297,0.7102205651129418,0.5432098765432098,0.9523280199008081,0.09957361317071353,0.25251913854750097,0.07088359880793588,0.3882324293244112
10,music/My_Generation/who+Who_s_Better_Who_s_Best+01-My_Generationmp3, G, minor, 96.4509277344,0.24283027953002076,0.21542266970490256,0.6538419444576387,0.6563786008230452,0.9963303079923997,0.07121181882417237,0.1939242186078258,0.08277444324990509,0.3890892853987387
11,music/River_Deep_Mountain_High/tina_turner+Tina_Live_In_Europe_CD_2_+05-River_Deep_Mountain_Highmp3, D, major, 143.944198608,0.20348667802027434,0.18731095252082586,0.727815697982357,0.5843621399176955,0.9759795552073092,0.1278668488431456,0.28782451869248343,0.03317576086268974,0.3909777690058476
12,music/Cocaine/eric_clapton+Crossroads_2_Disc_3+07-Cocainemp3, D, major, 99.0495834351,0.2790631369177422,0.23794738280114713,0.71401297080177,0.595679012345679,0.9420606496978451,0.1026589880995839,0.24369076787691224,0.0260491771311555,0.3926452607089794
13,music/Addicted_To_Love/tina_turner+Tina_Live_In_Europe_CD_1_+09-Addicted_To_Lovemp3, E, major, 111.308662415,0.24273744518434237,0.19348882408368434,0.7457549961463426,0.5668724279835391,0.9856403637558773,0.11450667583626485,0.2561800987453499,0.03923046803124217,0.39305141247083025
14,music/Take_On_Me/a_ha+Hunting_High_and_Low+01-Take_On_Memp3, A, major, 172.265365601,0.25704500382467055,0.19952802753541418,0.4688063797474557,0.5823045267489712,0.92207583100337,0.14775595728636245,0.33312326618895033,0.23453685507327612,0.3931469809260588
15,music/I_m_Losing_You/cheap_trick+Silver+08-I_m_Losing_Yoump3, A, minor, 107.852676392,0.2380699528591974,0.21528271956221545,0.7268515613235409,0.5483539094650206,0.9684464795306366,0.13274958568504885,0.2906688498622823,0.039851872385428144,0.3950343663341713
16,music/White_Room/sheryl_crow_+Live_from_Central_Park+12-White_Roommp3, G, major, 106.896240234,0.16155915373970334,0.1378249815834676,0.6370547563747722,0.5648148148148148,0.9627662097079452,0.21450175040951708,0.43229272324397056,0.05120912751963018,0.3952529396742276
17,music/Street_Fighting_Man/rolling_stones+Get_Yer_Ya-Ya_s_Out_+10-Street_Fighting_Manmp3, B, major, 135.515930176,0.20056459594981088,0.21067211667226587,0.6739912738264836,0.5925925925925926,0.9785000792940947,0.1062838147986563,0.2712467678297918,0.1376104687177989,0.39643271371018685
18,music/Grand_Illusion/reo_speedwagon+Arch_Allies_Disc_1+02-Grand_Illusionmp3, C#, major, 178.205612183,0.2272273794180088,0.223082375953906,0.40718235872031994,0.6553497942386831,0.9699230245913065,0.2134806414237583,0.4374465244482382,0.040850084007177156,0.3968177728501747
