,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/It_s_Tricky/bloodhound_gang+One_Fierce_Beer_Coaster+06-It_s_Trickymp3, G, minor, 146.948287964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Tush/nazareth+_Snaz+16-Tushmp3, C#, major, 147.813034058,0.40942108419004436,0.33001928755587595,0.13583057382937463,0.5121951219512195,1.0,0.03333443697263213,0.3478537432269503,0.21048630551905895,0.3723925691556445
2,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3, B, major, 143.92578125,0.417227559406158,0.42041014939431537,0.33680416707952326,0.37523452157598497,0.8738594912349632,0.07504757746059115,0.4632517516397425,0.17789213545291915,0.3924659191555247
3,music/Rattlesnakes/lloyd_cole_and_the_commotions+Rattlesnakes+03-Rattlesnakesmp3, A, major, 152.103897095,0.4543823709285971,0.328780352259983,0.6744408852765903,0.3780487804878049,0.8604336723448514,0.04734978241768666,0.3953098958790889,0.06392452863945614,0.4003337835292573
4,music/September_Gurls/big_star+Radio_City+10-September_Gurlsmp3, E, major, 112.72151947,0.4564661852122535,0.3354712915080598,0.7389197769512782,0.2354596622889306,0.9340335800294628,0.041307267029713456,0.3733502324414039,0.10774498413259537,0.4028441224492122
5,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.42773044647512043,0.34806563492149456,0.6193146329940832,0.2804878048780488,0.9669752498409865,0.049512011488981926,0.4052829235811502,0.13358823612970905,0.4038696175386968
6,music/A_Whiter_Shade_Of_Pale/annie_lennox+Medusa+03-A_Whiter_Shade_Of_Palemp3, C, major, 146.054702759,0.4022547178983922,0.3382755689488001,0.15785989188170596,0.49343339587242024,0.882270599380112,0.08821365873136065,0.5357839720660577,0.3344268602461862,0.40406483312812935
7,music/I_Don_t_Want_To_Miss_A_Thing/new_found_glory+From_the_Screen_to_Your_Stereo+03-I_Don_t_Want_To_Miss_A_Thingmp3, D, major, 96.5412216187,0.397988706332345,0.33994300516541176,0.6912207410009059,0.2964352720450281,0.9203168321688748,0.03414608861225996,0.33663623254009245,0.220591920093516,0.4046598497448043
8,music/Summer_of_69/mxpx+On_The_Cover+01-Summer_of_69mp3, C, major, 101.593284607,0.5012448888259299,0.32638558771351667,0.631514545232568,0.2373358348968105,0.9777349969847255,0.043662696751829475,0.39066562920908743,0.1429896329180363,0.40644172656656297
9,music/Tush/zz_top+Fandango+09-Tushmp3, C, major, 144.786575317,0.4677807854201437,0.3749394756657075,0.2764618772648133,0.20637898686679174,0.9065861336739972,0.0910125910852925,0.5870104916412515,0.34387472688986104,0.4067556335634823
10,music/Thin_Line_Between_Love_And_Hate/annie_lennox+Medusa+08-Thin_Line_Between_Love_And_Hatemp3, C, major, 150.035003662,0.4409848962659572,0.36806477377437974,0.44257022911771365,0.4709193245778612,0.7934912405880884,0.07096842253571772,0.507632248980052,0.19894220449127836,0.41169666754138096
11,music/Happiness_is_a_Warm_Gun/beatles+White_Album_Disc_1+08-Happiness_is_a_Warm_Gunmp3, A, minor, 140.106704712,0.4144063639061955,0.3542550295203638,0.501081702697251,0.27298311444652906,0.9075693479959038,0.0857452514873022,0.5392298571095593,0.21919915053778716,0.41180872721261147
12,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.4637263635165937,0.43401981734855744,0.6616136706253716,0.30112570356472795,0.9828922096341356,0.03714388754807449,0.3719285723138885,0.06160491304259484,0.414256892199243
13,music/Take_On_Me/mxpx+On_The_Cover+05-Take_On_Memp3, F, major, 102.6434021,0.5128378492681894,0.3621154373056151,0.732328871680633,0.2298311444652908,0.9152927929323273,0.04145550555295781,0.36684452820467905,0.18206565665737823,0.4178464732583838
