,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/She_Came_In_Through_The_Bathroom_Window/beatles+Abbey_Road+13-She_Came_In_Through_The_Bathroom_Windowmp3, D, major, 162.58531189,0.0,0.0,0.0,0.0,0.0,0.001021906153223547,0.0,0.0,0.00012773826915294338
1,music/Summertime_Blues/alan_jackson+Who_I_Am+01-Summertime_Bluesmp3, D, major, 161.812835693,0.4275520496211144,0.3300986448571641,0.1431243777251022,0.32350312779267204,0.9561567166465562,0.00255636296895521,0.14575755374912808,0.07862895573319927,0.30092222363673643
2,music/Waiting_In_Vain/annie_lennox+Medusa+09-Waiting_In_Vainmp3, C#, major, 161.648529053,0.42872949501856666,0.25657202311406774,0.1804380636500878,0.6371760500446828,0.924078268322634,0.002393336730769869,0.12834528182870636,0.10189492973989148,0.33245343105617586
3,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3, D, major, 107.710151672,0.41513718277228023,0.24441705741043815,0.6743836790045898,0.20107238605898123,0.9610968923020247,0.0014168454319028437,0.16476478796772392,0.05009951566880073,0.3390485433270927
4,music/God_Only_Knows/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+07-God_Only_Knowsmp3, A, major, 116.500022888,0.45935366331796124,0.2874470756610987,0.7383836330636506,0.23324396782841822,0.9095317895012698,0.0024085720380443874,0.13066514248309816,0.1009556677717808,0.35774868895816525
5,music/Don_t_Let_It_Bring_You_Down/annie_lennox+Medusa+04-Don_t_Let_It_Bring_You_Downmp3, F, major, 137.225463867,0.5297311438329235,0.2861535168411854,0.7479541925495282,0.3100983020554066,0.9459091796137354,0.0037970906800473075,0.04592681844678939,0.04785463098370583,0.36467810937541534
6,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3, B, major, 143.92578125,0.4839023842280937,0.305934151852269,0.6675300276588292,0.3717605004468275,0.9424579811407384,0.0031813448359350282,0.07279063588801933,0.09822887571034439,0.36822323772013216
7,music/Come_Together/beatles+1+25-Come_Togethermp3, D, minor, 172.265731812,0.33079549339828984,0.25819222016819465,0.42160639211826845,0.5084897229669347,0.9657912642262239,0.0034454175476555777,0.26413127830266553,0.19767555206018658,0.3687659175985525
8,music/Straight_From_The_Heart/bryan_adams+So_Far_So_Good+02-Straight_From_The_Heartmp3, C, major, 84.6679153442,0.5196496737543327,0.3407220532618915,0.791372551654031,0.2037533512064343,0.9495798196317814,0.002396924462804233,0.09462441146763155,0.05926187654014113,0.37017008274738095
9,music/All_Along_The_Watchtower/jimi_hendrix_experience+Electric_Ladyland+15-All_Along_The_Watchtowermp3, D#, major, 114.371948242,0.39333892450626,0.27067082404787723,0.7143997539992726,0.2975871313672922,0.9785634001707584,0.0,0.24606390000697662,0.07547439474852112,0.37201229110586975
