,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.2471238355938055,0.22381290354898847,0.2845487058885231,0.3134453781512605,0.9427159161924338,0.20091762338886246,0.47663495640330505,0.13044782284824857,0.35245589275192846
2,music/Stone_Cold_Crazy/metallica+Live_Shit_Binge_And_Purge_Disc_3_+09-Stone_Cold_Crazymp3, G, minor, 126.058242798,0.15695005544462295,0.1685869167248447,0.3030723674957149,0.4579831932773109,0.9909454513331932,0.16158755844811962,0.5015714826676824,0.11477403183230224,0.3569338821529739
3,music/Never_Let_Me_Down_Again/smashing_pumpkins+For_The_Masses_A_Tribute_To_Depeche_Mode+01-Never_Let_Me_Down_Againmp3, C, major, 120.019004822,0.18298264345066387,0.2520297350154253,0.26341777975908093,0.32605042016806723,0.9747874302029953,0.19024646464092101,0.5232881069888936,0.14438773523435472,0.35714878943255024
4,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.26544381554625274,0.2355631446302024,0.4601491857718063,0.2319327731092437,0.9553658224596145,0.14976186491766807,0.42751160994906395,0.14274894250944226,0.35855964486166175
5,music/Take_Me_To_The_River/talking_heads+Stop_Making_Sense+09-Take_Me_To_The_Rivermp3, E, major, 119.755348206,0.21523352195400544,0.2320882020850478,0.2709758222739268,0.5016806722689076,0.980847744028415,0.15301571367950437,0.47303597299565747,0.0640970713584646,0.3613718400804911
6,music/Straight_From_The_Heart/bonnie_tyler+Faster_Than_The_Speed_Of_Night+09-Straight_From_The_Heartmp3, C#, major, 89.099647522,0.20811694969524566,0.22836259540868262,0.7181805557873256,0.22521008403361345,0.9631258623894492,0.09411860546680219,0.3517218978691697,0.12259010189011395,0.3639283315675503
7,music/Caroline_No/beach_boys+Pet_Sounds+13-Caroline_Nomp3, C#, major, 152.130386353,0.2465247507106002,0.20375494350557924,0.5895183764544898,0.2848739495798319,0.9573936643524644,0.159578109269626,0.4617757069277056,0.055985634407173475,0.36992564190093385
8,music/Night_Time_Is_The_Right_Time/creedence_clearwater_revival+The_Concert+12-Night_Time_Is_The_Right_Timemp3, E, major, 109.347229004,0.21499473768001615,0.28852277912768093,0.6527361452475344,0.2529411764705882,0.9932757373200911,0.10831111906298077,0.3985269956725354,0.052720797905495255,0.37025368606086534
9,music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3, D, minor, 126.074867249,0.20877421118457654,0.19248733714220526,0.35958905375026523,0.39663865546218485,0.9269685788114537,0.10589908413805525,0.3871479699610086,0.3951333102002079,0.3715797750812446
10,music/Thin_Line_Between_Love_And_Hate/persuaders+Thin_Line_Between_Love_Hate_Golden_Classics+01-Thin_Line_Between_Love_And_Hatemp3, B, major, 117.390403748,0.21328446335800738,0.174869075106183,0.45075591152792643,0.2739495798319328,0.9107907483277213,0.2621989984680257,0.6466141647556508,0.07671346730367465,0.3761470510848903
11,music/Wish_You_Were_Here/pink_floyd+Wish_You_Were_Here+04-Wish_You_Were_Heremp3, G, major, 120.611488342,0.23161726980887012,0.2948742270287874,0.14151264550857376,0.4764705882352941,0.9178526142000246,0.22931092086628138,0.5260891787895629,0.21629817725599793,0.37925320271167406
12,music/All_Along_The_Watchtower/u2+Rattle_and_Hum+05-All_Along_The_Watchtowermp3, F#, major, 129.032974243,0.20631373915967774,0.23577844794888395,0.5482339913749741,0.3798319327731092,0.9951407019155789,0.1069835018357015,0.3845981180538504,0.17722950266179824,0.37926374196544677
13,music/September_Gurls/big_star+Radio_City+10-September_Gurlsmp3, E, major, 112.72151947,0.3078704776531094,0.3075611868508602,0.5923140601272537,0.22268907563025211,0.9300639470469803,0.13883159126403277,0.4626692561960851,0.07418228615178897,0.3795227351150453
14,music/Happiness_is_a_Warm_Gun/beatles+White_Album_Disc_1+08-Happiness_is_a_Warm_Gunmp3, A, minor, 140.106704712,0.2523973558956116,0.2400155599763258,0.5820491349942906,0.26134453781512607,0.9504497157342257,0.13391735177512548,0.43913619679667926,0.17857334586950993,0.37973539985711174
15,music/Train_In_Vain/clash+London_Calling+19-Train_In_Vainmp3, A, major, 121.264533997,0.34050454525570795,0.41085933752149983,0.28901200184992265,0.2630252100840336,0.9836024487451822,0.18104867679084055,0.5136149450501004,0.07585382936339471,0.38219012433258526
16,music/Rattlesnakes/lloyd_cole_and_the_commotions+Rattlesnakes+03-Rattlesnakesmp3, A, major, 152.103897095,0.2747272326197491,0.23582180722180837,0.7361074027896642,0.3722689075630252,0.9895991188302017,0.08186372728182117,0.2991796177197672,0.07656573778293016,0.38326669397612095
17,music/Toys_In_The_Attic/aerosmith+Toys_In_The_Attic+01-Toys_In_The_Atticmp3, E, minor, 98.9608612061,0.2115893938233438,0.1813451466378312,0.7783694934406415,0.2042016806722689,0.9601589969004962,0.140331103412129,0.47161460711998865,0.11891707138795196,0.38331593667433134
18,music/Grand_Illusion/styx+Return_To_Paradise_Disc_2+01-Grand_Illusionmp3, C#, major, 178.205596924,0.2125681105360395,0.2368108130409092,0.46907544990547756,0.6663865546218487,0.9676007715155154,0.08934801391587309,0.33181578107933496,0.09425542370175163,0.3834826147895937
19,music/Yesterday/beatles+1+11-Yesterdaymp3, F, major, 96.8093490601,0.2546985232167346,0.2823021098628299,0.615689120023267,0.18487394957983194,0.8848184923332696,0.18838708559371617,0.5246481034215034,0.16052383823475463,0.3869926527832384
20,music/My_Generation/who+Who_s_Better_Who_s_Best+01-My_Generationmp3, G, minor, 96.4509277344,0.24422964091170832,0.19282709650463928,0.6175360627638703,0.2218487394957983,0.9900294866233706,0.10993727697277801,0.3814453740710957,0.3385073826383436,0.38704513249770056
21,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.34972141089368536,0.36736331377707226,0.36788566476827095,0.2739495798319328,0.9635059365357779,0.16788955607888165,0.4932060840105469,0.1352288843811769,0.3898438037846681
22,music/Toys_In_The_Attic/rem+Dead_Letter_Office+07-Toys_In_The_Atticmp3, G, major, 102.517662048,0.22386725960458773,0.2803570061759693,0.6690752413123962,0.2042016806722689,0.9650644998127172,0.16852804476631822,0.5174094231118722,0.09216094280813189,0.39008301228303277
23,music/Tomorrow_Never_Knows/beatles+Revolver+14-Tomorrow_Never_Knowsmp3, F, major, 127.962799072,0.3101380440203799,0.2709824754189792,0.518763484052761,0.2781512605042017,0.9851329522230613,0.1342131929016802,0.4556534965760781,0.17304762000988175,0.39076031571337794
24,music/My_Generation/green_day+Kerplunk+16-My_Generationmp3, F, minor, 106.568016052,0.3743908937796808,0.41548704864916514,0.524456525625958,0.1915966386554622,0.997641212057468,0.10195479346754255,0.3596966725620249,0.16992242568599097,0.3918932763104116
25,music/Hush/deep_purple+Nobody_s_Perfect_Disc_2_2_+07-Hushmp3, C, minor, 109.125686646,0.19978860873593904,0.2053780672648276,0.665122044832017,0.246218487394958,0.9847656058840967,0.09465810003012848,0.3544388188690277,0.39960910163886426,0.3937473543312323
26,music/September_Gurls/bangles+Different_Light+09-September_Gurlsmp3, E, major, 117.964355469,0.18718743795105164,0.23525717685854358,0.556446598979205,0.22268907563025211,0.9246193174263084,0.2518559059122139,0.6401318758905769,0.1328403862913943,0.39387847186744324
27,music/All_Along_The_Watchtower/dave_matthews_band+Live_At_Red_Rocks_8_15_95_Disc_2+08-All_Along_The_Watchtowermp3, C, major, 112.17678833,0.18653196526023197,0.13224779346092194,0.4796333589207513,0.6142857142857143,0.9409460125115002,0.1579441547314416,0.49438111302468807,0.15191278019607882,0.39473536154891603
28,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3, D, major, 107.710151672,0.3256365805392707,0.3437957968989497,0.572355695306298,0.20504201680672268,0.9351748872699183,0.14182801561217365,0.44296906592886603,0.2011662382181723,0.3959960370725464
29,music/Proud_Mary/tina_turner+Tina_Live_In_Europe_CD_2_+07-Proud_Marymp3, D, major, 172.265701294,0.17500708201592388,0.23102332515591056,0.5901980323116642,0.44201680672268906,0.9796040374887341,0.087986245606081,0.3312474774030936,0.3592992475605495,0.39954778178308076
30,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.2157793290997351,0.30863188361213273,0.30471465062446806,0.39915966386554624,0.920412502523203,0.24297371604929374,0.6306099806121186,0.17878076561856726,0.40013281150063307
31,music/Night_Time_Is_The_Right_Time/aretha_franklin+Aretha_Now+04-Night_Time_Is_The_Right_Timemp3, F, major, 103.113929749,0.3338182806751706,0.3317097423624301,0.6554427894735587,0.32857142857142857,0.9657849715230838,0.10503089248705262,0.3583861498900658,0.12641514408522958,0.40064492488350245
32,music/Purple_Rain/leann_rimes+Sittin_On_Top_Of_The_World+15-Purple_Rainmp3, D, major, 111.819168091,0.23239751119584595,0.23931818564082263,0.6659141621590695,0.373109243697479,0.9389269920894605,0.1217857731776563,0.4048290719950753,0.23007848928953928,0.4007949286556185
33,music/I_Don_t_Want_To_Miss_A_Thing/aerosmith+Armageddon_Original_Soundtrack_+01-I_Don_t_Want_To_Miss_A_Thingmp3, D, major, 120.863586426,0.279324993629438,0.32579831642920937,0.26891867730531116,0.4050420168067227,0.9472986031765809,0.24144393030754033,0.6255093849378321,0.11748869051217208,0.40135307663810077
34,music/Strange_Little_Girl/stranglers+The_UA_Singles_79-82+24-Strange_Little_Girlmp3, C, major, 124.326950073,0.3061448359257089,0.19630088117743189,0.48663782519661386,0.2319327731092437,0.9360773637377987,0.28589725959631546,0.5834349632514888,0.18721401052161152,0.4017049890645266
35,music/Lady/styx+Return_To_Paradise_Disc_1_+05-Ladymp3, G, major, 128.87399292,0.31625561296514654,0.47445185103569854,0.5264265978826014,0.30084033613445377,0.9441688121432137,0.12836798286475706,0.43412320539295296,0.14610497301776187,0.4088424214295732
36,music/More_Than_Words/extreme+The_Best_Of_Extreme+08-More_Than_Wordsmp3, F#, major, 91.5824508667,0.2647336422100508,0.20718437861987465,0.6080445411786581,0.3680672268907563,0.9450599655485753,0.19132076834566478,0.5362104431475634,0.16518704788392177,0.4107260017281332
37,music/Cocaine/nazareth+_Snaz+08-Cocainemp3, G, major, 165.70930481,0.20060194289537203,0.20737871835473895,0.5615271516674335,0.5663865546218487,0.9028626761037775,0.11551749307556737,0.39674679960730724,0.34032471484202187,0.4114182563960085
38,music/Lady/reo_speedwagon+Arch_Allies_Disc_1+04-Ladymp3, G, major, 123.310401917,0.2292810989532439,0.26574977598216826,0.2336402532200812,0.4260504201680672,0.9387827061172415,0.21721443680440947,0.5965817683682054,0.3841033452285934,0.4114254756052513
39,music/Take_On_Me/mxpx+On_The_Cover+05-Take_On_Memp3, F, major, 102.6434021,0.3254987617448851,0.23466937381287611,0.6465898011094768,0.25546218487394956,0.9701643419402162,0.18239127823414783,0.5419029573126016,0.14208644168444653,0.4123456425890749
40,music/White_Room/cream+Live_Cream_Volume_II+02-White_Roommp3, G, major, 111.811828613,0.18230072500003658,0.23654732090274067,0.3594849360036426,0.44201680672268906,0.9682791244930922,0.1762902273695874,0.5460424485946079,0.38851851411789895,0.41243501290053697
41,music/All_Tomorrow_s_Parties/velvet_underground+Andy_Warhol_with_Nico_+06-All_Tomorrow_s_Partiesmp3, F#, major, 93.4740905762,0.19202308883547428,0.1992580567196574,0.5571581993768431,0.42016806722689076,0.971727614223417,0.19389316514499094,0.5491883075997069,0.23942845511455277,0.41535561928019166
