,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Take_Me_To_The_River/al_green+Anthology+39-Take_Me_To_The_Rivermp3, A, major, 118.08177948,0.0,0.0,0.0,0.0,0.0,0.0008272144965201274,0.0,0.0,0.00010340181206501592
1,music/Before_You_Accuse_Me/creedence_clearwater_revival+Cosmo_s_Factory+02-Before_You_Accuse_Memp3, E, major, 118.708892822,0.5529764539134483,0.4867126456267599,0.16001241064237343,0.3501984126984127,0.9687201858595086,0.0007439847433181737,0.23179250356506442,0.15716988949909846,0.363540810818498
2,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.5284672107426264,0.4899030705017416,0.49105872916713494,0.32837301587301587,0.9799856019829511,0.0008641544087313813,0.04250112344985461,0.06995628958709293,0.3663886494641436
3,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.5841744572781512,0.5538253831366482,0.1284111184133072,0.32043650793650796,0.9455768957657548,0.0019647792957073174,0.17178274000324725,0.2859122245625098,0.37401051329897916
4,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.6203647588509815,0.6310103619210499,0.23468179215328708,0.32142857142857145,0.9383227828625252,0.0022215320078071144,0.16641270274538011,0.1930942289341906,0.3884420913629741
5,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.6298382246537744,0.583336189965113,0.3728544544224639,0.38095238095238093,0.9241488110014466,0.0025268148236181707,0.019635281592370865,0.23511350984272408,0.3935507084067365
6,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3, B, major, 143.92578125,0.5367549014448414,0.41528757140800365,0.635526150924895,0.37896825396825395,0.9341043105340328,0.0007260667362020935,0.04331388636225913,0.24967210499309914,0.39929415579644834
7,music/God_Only_Knows/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+07-God_Only_Knowsmp3, A, major, 116.500022888,0.5018114319848401,0.42170467441219,0.35105123248483694,0.30654761904761907,0.9468944608781603,0.0006507593133259112,0.20052625134598376,0.4971030888259142,0.4032861897866088
8,music/I_Don_t_Want_To_Miss_A_Thing/aerosmith+Armageddon_Original_Soundtrack_+01-I_Don_t_Want_To_Miss_A_Thingmp3, D, major, 120.863586426,0.49853108187967204,0.3841942944510776,0.4754941834781001,0.4117063492063492,0.9115395629230802,0.000607664775313065,0.3419434504375304,0.21115810792170084,0.404396836884103
9,music/Never_Let_Me_Down_Again/smashing_pumpkins+For_The_Masses_A_Tribute_To_Depeche_Mode+01-Never_Let_Me_Down_Againmp3, C, major, 120.019004822,0.5760106998864144,0.6858738277335387,0.2880997429295615,0.3125,0.9531999914692321,0.0007527915137233792,0.21006404735915693,0.2592016898198501,0.41071284883893466
10,music/Take_Me_To_The_River/talking_heads+Stop_Making_Sense+09-Take_Me_To_The_Rivermp3, E, major, 119.755348206,0.5369561765956935,0.5944714445200904,0.22742165538584935,0.48908730158730157,0.9383478719214939,0.026945416826910568,0.31719115428616473,0.17621050196263305,0.4133289403857672
11,music/Let_It_Be/beatles+1+26-Let_It_Bemp3, C, major, 139.700973511,0.5669353914752874,0.4793929854835322,0.6523688158491237,0.4126984126984127,0.899299995711409,0.0028709648742732546,0.07691372776730403,0.21685650344360813,0.41341709966286877
12,music/September_Gurls/big_star+Radio_City+10-September_Gurlsmp3, E, major, 112.72151947,0.49727648452182555,0.4823175877867184,0.5428169387408556,0.29464285714285715,0.9486405082556464,0.0027498567924818516,0.4071010156607406,0.17585494288696157,0.41892502397351095
13,music/I_Can_t_Get_Next_To_You/temptations+The_Temptations_The_Ultimate_Collection+14-I_Can_t_Get_Next_To_Yoump3, F, minor, 108.69228363,0.5833910993607917,0.5190895024633861,0.6874195611664513,0.28075396825396826,0.984818872950443,0.0020025720579630916,0.17723900156154476,0.13841228898568367,0.421640858350029
14,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.5979957059526239,0.6301090513122397,0.3864770901077399,0.39186507936507936,0.9925458023803919,0.005885754940713864,0.21829392386780802,0.16554460603713353,0.4235896267454663
15,music/Walking_After_Midnight/garth_brooks+The_Chase+05-Walking_After_Midnightmp3, F, major, 100.239883423,0.5764924113144678,0.512806089826492,0.7335641611182464,0.3551587301587302,0.9575007983667091,0.0023238228399636335,0.15284189824640027,0.10912817871518969,0.42497701132327487
16,music/Let_It_Be/beatles+Let_It_Be+06-Let_It_Bemp3, C, major, 137.028686523,0.6045781932218375,0.5241528736365296,0.6605543538954818,0.43154761904761907,0.930365744353446,0.0044200389021386175,0.09059146357592199,0.1577386371732324,0.42549361547577585
17,music/All_Along_The_Watchtower/jimi_hendrix_experience+Electric_Ladyland+15-All_Along_The_Watchtowermp3, D#, major, 114.371948242,0.43470884369112,0.36839777860002604,0.4613240129071571,0.3412698412698413,0.974407141996273,0.000310940498948167,0.3601003483220541,0.47160700196528577,0.4265157386563382
18,music/My_Generation/green_day+Kerplunk+16-My_Generationmp3, F, minor, 106.568016052,0.5369307953376936,0.5860021026194933,0.5959092395134913,0.37797619047619047,0.9977619414139953,0.003810032629774128,0.2721617112030969,0.08123885976477205,0.4314738591198133
19,music/Blue_Collar_Man/reo_speedwagon+Arch_Allies_Disc_1+01-Blue_Collar_Manmp3, D, minor, 117.979370117,0.48001394549259474,0.4233160571168462,0.12642832828992187,0.38293650793650796,0.9702043080471615,0.0020932052808757496,0.5020159586691293,0.5712324191053364,0.4322800912422967
20,music/Lady/styx+Return_To_Paradise_Disc_1_+05-Ladymp3, G, major, 128.87399292,0.5064414260468681,0.46094482282407934,0.6405024813495408,0.2916666666666667,0.9374252503254459,0.0014050636396154633,0.34828371579226314,0.29775543030511575,0.43555310711869943
21,music/Thin_Line_Between_Love_And_Hate/persuaders+Thin_Line_Between_Love_Hate_Golden_Classics+01-Thin_Line_Between_Love_And_Hatemp3, B, major, 117.390403748,0.5751081565512444,0.602267175334103,0.21545275198455663,0.30853174603174605,0.8905049156795458,0.08820343008616657,0.620092549065352,0.19287228873178056,0.43662912668306186
22,music/I_Love_You/celine_dion+Falling_Into_You+09-I_Love_Yoump3, E, major, 88.5106048584,0.501508720547646,0.44716723581159473,0.7641167857804951,0.3472222222222222,0.9405748431986809,0.00010752248939131864,0.20152283184244993,0.32040140753266066,0.4403276961781425
23,music/What_s_Going_On/cyndi_lauper+Twelve_Deadly_Cyns+09-What_s_Going_Onmp3, A#, major, 98.9904937744,0.5431036326526156,0.4805786781142463,0.7020390931340094,0.3373015873015873,0.9487485517051125,0.001646890081591463,0.3987851994534009,0.14106934226213258,0.44415912183808703
24,music/September_Gurls/bangles+Different_Light+09-September_Gurlsmp3, E, major, 117.964355469,0.6270528978252611,0.7196687858373113,0.14567069379196368,0.3134920634920635,0.9747951282629465,0.06329042125740404,0.4546041077070108,0.25689451122138,0.44443357617441753
25,music/Summer_of_69/mxpx+On_The_Cover+01-Summer_of_69mp3, C, major, 101.593284607,0.5989135579136854,0.5266866540864066,0.562728547548684,0.3125,0.9754589405675926,0.0018913376941787471,0.4372531533605307,0.1512129604646351,0.44583064395446415
