,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Take_Me_To_The_River/talking_heads+Stop_Making_Sense+09-Take_Me_To_The_Rivermp3, E, major, 119.755348206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Thin_Line_Between_Love_And_Hate/persuaders+Thin_Line_Between_Love_Hate_Golden_Classics+01-Thin_Line_Between_Love_And_Hatemp3, B, major, 117.390403748,0.22005632541316558,0.1670725376190847,0.3386244121251645,0.5745798319327731,0.9458356508646126,0.07014910822295245,0.3003562727529651,0.05408315507305884,0.3338446617504721
2,music/September_Gurls/bangles+Different_Light+09-September_Gurlsmp3, E, major, 117.964355469,0.19486361278388376,0.15057732495823428,0.3650715761135007,0.5472689075630253,0.970978322119619,0.06826830635215725,0.287087212843341,0.08923131633017427,0.33416832238299193
3,music/Wish_You_Were_Here/pink_floyd+Wish_You_Were_Here+04-Wish_You_Were_Heremp3, G, major, 120.611488342,0.2379354301482371,0.19065250324844463,0.246246331313878,0.5577731092436975,0.9419297073105625,0.08134543076906131,0.3319544862035224,0.24522232498785348,0.3541324154031571
4,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.22690706917544345,0.13205666964066515,0.1054788863440266,0.5441176470588235,0.9670065414222826,0.22153781135797138,0.6092832089476764,0.11486600792596191,0.3651567302341064
5,music/Train_In_Vain/clash+London_Calling+19-Train_In_Vainmp3, A, major, 121.264533997,0.28919187527762985,0.2663719813416525,0.3559794442443919,0.5189075630252101,0.967519776952407,0.0980555099939039,0.375239381210957,0.06882063685329778,0.36751077111243124
6,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.20859756679447589,0.22804560397118614,0.26045995874779637,0.6271008403361344,0.9918011175191511,0.1307785492020473,0.4449368941428244,0.06180398004042425,0.36919056384425497
7,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.2576550970137216,0.1604080914714107,0.3309801058882176,0.5682773109243697,0.9710071707269637,0.13128423732709854,0.4551188276708793,0.10726130126934139,0.3727490177865003
8,music/All_Tomorrow_s_Parties/japan+Quiet_Life+06-All_Tomorrow_s_Partiesmp3, B, major, 121.093574524,0.27353546400164097,0.2559916288928941,0.29246748006275247,0.4852941176470588,0.9533960329968374,0.14341849493589975,0.46209631439058396,0.14216457242203448,0.37604551316871276
9,music/Never_Let_Me_Down_Again/smashing_pumpkins+For_The_Masses_A_Tribute_To_Depeche_Mode+01-Never_Let_Me_Down_Againmp3, C, major, 120.019004822,0.17093132085249113,0.11494195463554546,0.08227258843428262,0.5210084033613446,0.953254595114358,0.3232090902031345,0.7451441063095352,0.10501767829024006,0.37697246715011645
10,music/Purple_Rain/prince+Purple_Rain+09-Purple_Rainmp3, A#, major, 113.535438538,0.2693151557260519,0.20921203511314168,0.5581401037388777,0.726890756302521,0.9663197010408798,0.040635001031222986,0.18494424276436083,0.18747910424421127,0.39286701249515843
11,music/All_Along_The_Watchtower/bob_dylan+Before_The_Flood_Disc_Two_+07-All_Along_the_Watchtowermp3, A, minor, 144.494049072,0.3000302836664655,0.25165353317006284,0.6369220054258231,0.5084033613445378,0.9667125178645314,0.05938576382722263,0.24660166821167295,0.17575427511065655,0.3931829260776216
12,music/Straight_From_The_Heart/bonnie_tyler+Faster_Than_The_Speed_Of_Night+09-Straight_From_The_Heartmp3, C#, major, 89.099647522,0.27010055706028263,0.230806138213086,0.7562839837168023,0.5136554621848739,0.9733280982289738,0.06929513116651716,0.27676888876797984,0.0787269864452504,0.3961206557229708
13,music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3, D, minor, 126.074867249,0.23055775610561033,0.1721327461183332,0.4779173365691058,0.49789915966386555,0.9555970833804645,0.12094583219154295,0.38432371287875167,0.3518694750116448,0.39890538773991485
14,music/White_Room/cream+Live_Cream_Volume_II+02-White_Roommp3, G, major, 111.811828613,0.22668776279039676,0.20456187912791987,0.402339223128181,0.5220588235294118,0.9490870893428331,0.11513950736253485,0.43427415362143723,0.3427993999081799,0.3996184798513618
15,music/Night_Time_Is_The_Right_Time/creedence_clearwater_revival+The_Concert+12-Night_Time_Is_The_Right_Timemp3, E, major, 109.347229004,0.2847595498159221,0.2578849481745837,0.7041934813819156,0.5388655462184874,0.9843133148922236,0.08018307980785071,0.2968090467948595,0.055836177274616434,0.40035564304505744
16,music/Caroline_No/beach_boys+Pet_Sounds+13-Caroline_Nomp3, C#, major, 152.130386353,0.29739192856364405,0.23983482332652706,0.6872642213609331,0.5966386554621849,0.9655357326335102,0.08418455660519546,0.3157064817770631,0.04269342372202436,0.4036562279313852
17,music/Maggie_s_Farm/bob_dylan+Live_at_Budokan_Disc_1+06-Maggie_s_Farmmp3, A, minor, 126.578773499,0.2795174337543811,0.2048221738531643,0.6308049220801257,0.5052521008403361,0.9530766838727469,0.07059580509325646,0.2797338549448079,0.3128060146326737,0.4045761236339365
18,music/All_Along_The_Watchtower/u2+Rattle_and_Hum+05-All_Along_The_Watchtowermp3, F#, major, 129.032974243,0.28097943035343786,0.24418489488212786,0.6226339931860424,0.5535714285714286,0.9785212340311558,0.0975463383291112,0.33708570090278916,0.14375802275766275,0.40728513037671943
19,music/Take_On_Me/a_ha+Hunting_High_and_Low+01-Take_On_Memp3, A, major, 172.265365601,0.36318303635560856,0.3097324299563481,0.7947324787835744,0.5483193277310925,0.960828056531448,0.04391429038694772,0.19522978704313843,0.08014032979126405,0.41200996707242776
20,music/Night_Time_Is_The_Right_Time/aretha_franklin+Aretha_Now+04-Night_Time_Is_The_Right_Timemp3, F, major, 103.113929749,0.3564526628783321,0.3720819685873906,0.7055729085094957,0.48739495798319327,0.9751824782962305,0.05870470169109836,0.25697010396150133,0.08678177242002748,0.41239269429090863
21,music/All_Along_The_Watchtower/dave_matthews_band+Live_At_Red_Rocks_8_15_95_Disc_2+08-All_Along_The_Watchtowermp3, C, major, 112.17678833,0.24658365096510176,0.2248528170152632,0.5360456682035517,0.6796218487394958,0.9359335355817662,0.12174606810735318,0.39321475993753324,0.16393892209259445,0.41274215883033244
22,music/Happiness_is_a_Warm_Gun/beatles+White_Album_Disc_1+08-Happiness_is_a_Warm_Gunmp3, A, minor, 140.106704712,0.32668981952652676,0.2565562894079747,0.6342969120653015,0.5619747899159664,0.973650794411761,0.09386499941058053,0.33474862248299203,0.13528502898018677,0.41463340702516116
23,music/Proud_Mary/tina_turner+Tina_Live_In_Europe_CD_2_+07-Proud_Marymp3, D, major, 172.265701294,0.2605349610075139,0.2111157284599678,0.6516154821676391,0.49054621848739494,0.9707383812428685,0.09203921323352594,0.33790249713804005,0.3148963428350659,0.4161736030715021
24,music/More_Than_Words/extreme+The_Best_Of_Extreme+08-More_Than_Wordsmp3, F#, major, 91.5824508667,0.2950210476604075,0.26903199343724365,0.660155843185716,0.5126050420168067,0.9403632539927018,0.12148045485932171,0.4098927157417768,0.13331498465066144,0.41773316694307944
25,music/Toys_In_The_Attic/rem+Dead_Letter_Office+07-Toys_In_The_Atticmp3, G, major, 102.517662048,0.2884072816654425,0.26003380178799185,0.7159953741071675,0.5808823529411765,0.9831601670286151,0.0766157573589686,0.32526140182479296,0.11561199372479233,0.4182460163048684
26,music/Don_t_Let_It_Bring_You_Down/neil_young+After_the_Goldrush+07-Don_t_Let_It_Bring_You_Downmp3, F, major, 132.990905762,0.3049922974837922,0.25541125009730364,0.6933117604984544,0.5189075630252101,0.9664248309239122,0.10108482929453919,0.3545055100432989,0.1593371414689706,0.41924689785443514
27,music/Gold_Dust_Woman/fleetwood_mac+Rumours+11-Gold_Dust_Womanmp3, D, major, 123.336181641,0.22164194288593492,0.19637892732465884,0.7202058921015309,0.46743697478991597,0.9533953641935949,0.14461738629492663,0.49964365881974543,0.16717439834021428,0.42131181809381524
28,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.24551970372913054,0.4341165128770142,0.37964501176122023,0.5535714285714286,0.9536284576684624,0.16133471489335086,0.5119812622210287,0.14825707027078558,0.4235067702490526
29,music/I_Don_t_Want_To_Miss_A_Thing/aerosmith+Armageddon_Original_Soundtrack_+01-I_Don_t_Want_To_Miss_A_Thingmp3, D, major, 120.863586426,0.275268283891682,0.35732965874864525,0.28175257362262657,0.5367647058823529,0.9686172482757747,0.32963070312377235,0.5690114680719088,0.08535030861745568,0.4254656187792773
30,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.3662703864118615,0.3585512835098771,0.46250003293897834,0.5840336134453782,0.9927494641607377,0.16319183268026077,0.35792477924437505,0.13243271127605646,0.4272067629584406
31,music/Stone_Cold_Crazy/metallica+Live_Shit_Binge_And_Purge_Disc_3_+09-Stone_Cold_Crazymp3, G, minor, 126.058242798,0.2513394001533017,0.19478697987461302,0.42073085921697345,0.5850840336134454,0.985610832491154,0.24861283431055606,0.6199380765039902,0.1127673695055347,0.4273587982086961
32,music/Take_Me_To_The_River/al_green+Anthology+39-Take_Me_To_The_Rivermp3, A, major, 118.08177948,0.4767929242603374,0.5140157362442591,0.23415397408487212,0.5178571428571429,0.952186163646915,0.15106010409384085,0.4522816802308566,0.155537051237773,0.43173559708199966
