,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/The_Boxer/simon_and_garfunkel+Collected_Works_Disc_3+06-The_Boxermp3, B, major, 93.1609115601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Time/tom_waits+Rain_Dogs+09-Timemp3, D, major, 89.5328903198,0.10409029916686005,0.11341344870265756,0.4377083465311105,0.31796349663784823,0.9495503147555099,0.03088135994941382,0.4046274444905428,0.0582665560473039,0.3020626582851558
2,music/The_Boxer/paul_simon+Concert_in_the_Park_Disc_2+10-The_Boxermp3, C, major, 104.250892639,0.12478469255787758,0.10457957104523333,0.6164721385649607,0.32949087415946204,0.7875134668661511,0.01917761367674828,0.3288787241127692,0.2656508487980259,0.3220684912226536
3,music/America/paul_simon+Concert_in_the_Park_Disc_2+09-Americamp3, D, major, 172.265548706,0.10666405638547596,0.1053313298986872,0.575737720074718,0.3659942363112392,0.9357213916772714,0.01756523543295775,0.28387636380850273,0.21860272797222643,0.32618663269513487
4,music/Real_Men/joe_jackson+Night_and_Day+08-Real_Menmp3, G, major, 112.984703064,0.14195339003654156,0.10495574395391061,0.7139895867397866,0.3381364073006724,0.9484203130465388,0.015649878509391212,0.27741487203626314,0.09042994502223485,0.32886876708066737
5,music/America/simon_and_garfunkel+Bookends+03-Americamp3, G, major, 178.205627441,0.09255812742755797,0.07855286282031845,0.7252001924449931,0.44764649375600385,0.9438679554259867,0.012587267287727648,0.22569322935108813,0.113659385541911,0.3299706892569484
6,music/New_Age/velvet_underground+Loaded+05-New_Agemp3, D, major, 163.323226929,0.10216402363882743,0.08973491213808323,0.6352153791628643,0.505283381364073,0.918341227699318,0.017771602004849327,0.2827479490763606,0.09189823827560899,0.33039458916999814
7,music/More_Than_Words/extreme+The_Best_Of_Extreme+08-More_Than_Wordsmp3, F#, major, 91.5824508667,0.18778592183304113,0.2711118401790439,0.338026006326943,0.37367915465898177,0.9246114918371776,0.025688129024483076,0.4018503809762849,0.13217167518905196,0.3318655750031259
8,music/All_Tomorrow_s_Parties/velvet_underground+Andy_Warhol_with_Nico_+06-All_Tomorrow_s_Partiesmp3, F#, major, 93.4740905762,0.18417239650322498,0.17265051637858908,0.14406587987939656,0.5254562920268973,0.9817718900080806,0.04213909235419157,0.5116127002187066,0.09499211212327445,0.33210760993654515
9,music/Heart_Of_Gold/neil_young+Harvest+04-Heart_Of_Goldmp3, G, major, 85.3595428467,0.23812825898261125,0.19371474152999482,0.7041795148811002,0.3275696445725264,0.9641737052391114,0.012699038632078068,0.2356155705617085,0.08388587400419444,0.34499579355041565
10,music/Caroline_No/beach_boys+Pet_Sounds+13-Caroline_Nomp3, C#, major, 152.130386353,0.18433683854782365,0.19469086894703475,0.6847996420477471,0.34870317002881845,0.9547389101599677,0.013665370484125368,0.2678559987851366,0.12608855504806668,0.34685991925609005
11,music/September_Gurls/bangles+Different_Light+09-September_Gurlsmp3, E, major, 117.964355469,0.1950895053795939,0.16147629754626902,0.7972909885862769,0.3266090297790586,0.9666469315032973,0.020234092511429807,0.3099898057996888,0.05592571240775674,0.35415779543917136
