,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Walking_After_Midnight/bryan_adams+Live_Live_Live_+15-Walking_After_Midnightmp3, C, major, 122.811820984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3, D, minor, 126.074867249,0.2379990858514194,0.14732531161195667,0.4262919270080484,0.391153512575889,0.9453154478474607,0.0047067569515130145,0.2487846332397174,0.09259098323280185,0.3117709572898508
2,music/She_Came_In_Through_The_Bathroom_Window/joe_cocker+Joe_Cocker_Live+12-She_Came_In_Through_The_Bathroom_Windowmp3, D, major, 93.945350647,0.24344374585711567,0.1835346431311965,0.7247167786441392,0.17346053772766695,0.9673897654182294,0.002298678165888777,0.17531461445804503,0.035427753926620696,0.3131983146661128
3,music/We_Can_Work_It_Out/tesla+Five_Man_Acoustical_Jam+04-We_Can_Work_It_Outmp3, G, major, 107.157066345,0.33624451446992154,0.2689887601987378,0.7214164738575977,0.17432784041630528,0.9607644670163732,0.0022868640733159466,0.04955720430645278,0.020273033371341346,0.3167323947137557
4,music/Lady/reo_speedwagon+Arch_Allies_Disc_1+04-Ladymp3, G, major, 123.310401917,0.2243458673012597,0.37522135742500035,0.3741920160524241,0.401561144839549,0.8681565730556446,0.0021625330107373475,0.21883638724786492,0.10815621608385487,0.32157901187704185
5,music/Heart_Of_Gold/tori_amos+Strange_Little_Girls+08-Heart_Of_Goldmp3, E, minor, 120.021446228,0.2303031393963235,0.15496004504927446,0.5895892027346323,0.3313096270598439,0.9018593839074966,0.0038460534863348664,0.3183475226343118,0.050068801322976385,0.32253547194889925
6,music/White_Room/sheryl_crow_+Live_from_Central_Park+12-White_Roommp3, G, major, 106.896240234,0.23780174007527757,0.1949264365328349,0.6942285623885949,0.39028620988725066,0.9435557463297802,0.0009495458840672308,0.1517497222652829,0.018276150152442078,0.3289717641894413
7,music/Summer_of_69/bryan_adams+Live_Live_Live_+13-Summer_of_69mp3, D, major, 138.499053955,0.2364299584338588,0.17978897840464364,0.7382883165725703,0.3954900260190807,0.940528195462097,0.0030781135706113264,0.06884844724036598,0.08221152718412109,0.33058294536091865
8,music/Blue_Collar_Man/reo_speedwagon+Arch_Allies_Disc_1+01-Blue_Collar_Manmp3, D, minor, 117.979370117,0.24671961789036348,0.2876049977843773,0.4949600309641962,0.39462272333044235,0.962869871769916,0.0017841274355308318,0.18008857547811147,0.09185702140368,0.3325633707570772
9,music/Tomorrow_Never_Knows/beatles+Revolver+14-Tomorrow_Never_Knowsmp3, F, major, 127.962799072,0.31157519486722973,0.2245766934704104,0.49233842260029337,0.2393755420641804,0.9560438697429263,0.003546532258005109,0.21108497041369242,0.2303609607541034,0.3336127732713552
10,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.23017422305353086,0.24910258329888463,0.372461568602577,0.21075455333911536,0.9573272027403805,0.007044067773356744,0.33170563199684966,0.3417601467380142,0.3375412471928386
11,music/Addicted_To_Love/tina_turner+Tina_Live_In_Europe_CD_1_+09-Addicted_To_Lovemp3, E, major, 111.308662415,0.2968694122947396,0.22001434980594106,0.7742105665213335,0.39809193408499566,0.9579408002702148,0.0015249785751917275,0.047718381613081576,0.01627101048872432,0.33908017920677785
12,music/Gold_Dust_Woman/sheryl_crow+Live_from_Central_Park+07-Gold_Dust_Womanmp3, G, major, 128.775222778,0.23325504426101162,0.2917833932511424,0.7257571348386412,0.36079791847354725,0.907432959146887,0.0010131351728824125,0.16416415988334593,0.040208221173457855,0.3405514957751145
13,music/Grand_Illusion/reo_speedwagon+Arch_Allies_Disc_1+02-Grand_Illusionmp3, C#, major, 178.205612183,0.25571636217398136,0.22411030808656449,0.659071598966486,0.575021682567216,0.9380627016205227,0.0010945966916694409,0.07894736968493546,0.021075957432931492,0.34413757215303836
14,music/White_Room/cream+Live_Cream_Volume_II+02-White_Roommp3, G, major, 111.811828613,0.23619719059758432,0.1977849569630244,0.5308867432250681,0.4388551604509974,0.9525572816900354,0.003904257642506904,0.33451740984993766,0.0868097340373493,0.34768909180706287
15,music/Proud_Mary/creedence_clearwater_revival+Live_in_Europe+10-Proud_Marymp3, D, major, 135.161499023,0.31881157252075115,0.26182156532511996,0.7106915191952199,0.2645273200346921,0.9563527960919875,0.002209327629020752,0.2561888105366092,0.03508998702425857,0.35071161229470743
16,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.24296005014247052,0.17414314640024894,0.6185884410604536,0.21595836947094535,0.9050903256468091,0.006640925429556906,0.4110584039496056,0.2520189635769565,0.3533073282096308
17,music/My_Generation/who+Who_s_Better_Who_s_Best+01-My_Generationmp3, G, minor, 96.4509277344,0.2723099310125944,0.23708681338230017,0.7135007571587438,0.209887250650477,0.9810365387454358,0.0027846717440605097,0.2940522773859713,0.12644073352987653,0.3546373717011825
18,music/Cecilia/paul_simon+Concert_in_the_Park_Disc_2+11-Ceciliamp3, G, major, 110.373329163,0.270497459030945,0.2074767508320041,0.7186455905291038,0.21595836947094535,0.9075795223719827,0.00848334301875769,0.4290965874084662,0.080717579097385,0.35480690021994876
19,music/River_Deep_Mountain_High/tina_turner+Tina_Live_In_Europe_CD_2_+05-River_Deep_Mountain_Highmp3, D, major, 143.944198608,0.26640091274367184,0.22588216893223012,0.7800057287587835,0.4006938421509107,0.9520632683955088,0.004310295548862486,0.20515797855855786,0.026696761986112295,0.35765136963432975
20,music/My_Heart_Will_Go_On/new_found_glory+From_the_Screen_to_Your_Stereo+07-My_Heart_Will_Go_Onmp3, E, major, 101.541908264,0.3185149851079672,0.30539531581984924,0.627988248394816,0.204683434518647,0.9590491715152163,0.0035532139187237502,0.3246260359742835,0.12379114777527252,0.3584501941280969
