,id,scaled_rp,key,scale,scaled_levenshtein,scaled_js,bpm,scaled_bh,scaled_rh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Metal&Rock/PowerMetal/BlindGuardian-MemoriesOfATimeToCome/03-BlindGuardian-Valhallamp3,0.0, G#, minor,0.0,0.0, 172.265136719,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Metal&Rock/AlternativeMetal/Pain-CynicParadiselive/Pain-ZombieSlammp3,0.11080600708423684, E, minor,0.13645857507542353,0.0648139392221078, 172.265289307,0.05547782921660027,0.07166382151999194,0.10743652148362365,0.814911863602309,4.370457239151173e-12,0.17019606965108294
2,music/Metal&Rock/AlternativeMetal/Pain-CynicParadise/Pain-DontCaremp3,0.16898925840692383, F#, minor,0.15038291947087493,0.03513941137384778, 172.265441895,0.1209987567465801,0.11247441481331925,0.03686907380809239,0.7562001533606909,2.7943320731419603e-12,0.17263174849789042
3,music/Metal&Rock/FolkMetal/CellarDarling-ThisIsTheSound/CellarDarling-ThisIsTheSound/09Rebelsmp3,0.11885273248848605, B, minor,0.15293571594337432,0.0450395002526564, 172.265167236,0.0717150907077157,0.07090777442964957,0.019577157447984828,0.9075049056750948,1.3021258079597018e-12,0.173316609618283
4,music/Metal&Rock/Metalcore/HopeforHeroes-Turnaround/HopeforHeroes-Turnaround-03TheRoommp3,0.10244335070166269, C#, major,0.1457414713390578,0.03569233402627703, 172.265304565,0.0658862147290754,0.07060241988974372,0.04822481978577269,0.9390266891173378,1.6913337250585355e-12,0.1759521624488273
5,music/Metal&Rock/Metalcore/HopeforHeroes-Turnaround/HopeforHeroes-Turnaround-05Turnaroundmp3,0.09857110723079592, A, major,0.14388489208633093,0.035714406950767344, 172.265167236,0.07409803190872209,0.05959160884284818,0.04216392390503788,0.9611939974185878,1.4942821303799021e-12,0.17690224604307306
6,music/Metal&Rock/AlternativeMetal/Pain-ComingHome/06_Pain_ItsOnlyThemmp3,0.14061591805018253, A, minor,0.14690183337201207,0.04999324889125846, 172.26499939,0.06667196160280331,0.07691154131890496,0.09236247368553319,0.8436240905981789,4.2444330711825305e-12,0.1771351334403897
7,music/Metal&Rock/FolkMetal/Equilibrium-TurisFratyr/Equilibrium-DerSturmmp3,0.0914100418363034, C#, minor,0.1339057786029241,0.05212128935232518, 172.265380859,0.10248204206754741,0.05618536168360482,0.04607027146670894,0.9452142624994492,1.4987270691871764e-12,0.1784236309387952
8,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-Summer/PigSquealsAndBreakdowns-Summer-31WarofAbaddon-PyrrhicVictorymp3,0.11495675532354983, G#, major,0.14597354374564864,0.0401553727302478, 172.26512146,0.1452029715743954,0.06710707940446224,0.062105785606445765,0.8695900137925184,1.6910189937374081e-12,0.18063644027236989
9,music/Songs/Metal/Death/Wolfheart-TheHuntmp3,0.09860414982938624, A, minor,0.1350661406358784,0.05319868897579826, 172.265029907,0.1187012426427643,0.08751744117382576,0.018066426751543106,0.9377477300525316,2.3941842844022444e-12,0.18111272750801524
