,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Folk/Boiling_Bayou_Cajun_Band-Parlez_Nous_a_Boiremp3, G, major, 93.533706665,0.0,0.0,0.0,0.0,0.0,0.01632791451657846,0.0,0.0,0.0020409893145723074
1,music/Folk/Boiling_Bayou_Cajun_Band-Amede_Two_Stepmp3, G, major, 91.9238433838,0.2450623034069508,0.20288095577699045,0.4140574055396345,0.06975138121546962,0.7924690134773257,0.029405899673567194,0.16292569027360626,0.08554888469654003,0.25026269175751054
2,music/Jazz/Pamela_Hart-Catch_Yourselfmp3, G#, minor, 93.2102355957,0.16969530998510954,0.10558179759285846,0.1698870322724497,0.17679558011049723,0.9484919629723774,0.02696623494892877,0.33552016693905595,0.08305287137315555,0.25199886952430406
3,music/Alternative&Punk/French_Kicks-One_More_Timemp3, B, major, 94.007522583,0.30277787058187117,0.14762804835938392,0.13310671430068838,0.1664364640883978,0.9557749300391869,0.09297430302620979,0.21101163946467083,0.053288603535323206,0.2578748216744665
4,music/Electronic&Dance/Mouse_on_Mars-Mine_Is_In_Yoursmp3, C, major, 94.0469970703,0.20033686132113335,0.16650869388226794,0.22976046376198003,0.16022099447513813,0.9119981529292569,0.029213121314766482,0.22016887647213493,0.1896815436453628,0.26348608847525506
5,music/EasyListening&Vocals/Omar_Eltoudy-solitudemp3, B, minor, 93.8898162842,0.2684659465828992,0.23621439322244006,0.19189196008194315,0.18646408839779005,0.8300511608712189,0.03406214555363896,0.28629085491924006,0.12197887191933285,0.26942742769356287
6,music/Jazz/Skadaddyz-Get_Upmp3, F, minor, 94.3819580078,0.2753832421763299,0.2621893945151655,0.30912502176884227,0.13950276243093923,0.9541407184855327,0.04900518409733563,0.16324849670389882,0.04751121856543345,0.27501325484293465
7,music/Religious/Randy_Vild-Glorifiedmp3, C, major, 92.9845962524,0.23843488541822042,0.2098940173360555,0.20042653854177372,0.15331491712707182,0.8959926405241517,0.046640246946328685,0.33603618690117876,0.12505392587131206,0.27572416983326153
8,music/Folk/Rockridge_Brothers-Down_on_my_kneesmp3, A, major, 93.0697784424,0.2278088313427513,0.1979283077026655,0.25702072086098154,0.2292817679558011,0.892557860694298,0.008389658514221946,0.18649461500641126,0.2130165252575675,0.2765622859168373
9,music/Reggae/Ruskabank-Give_It_Upmp3, G, major, 91.6451339722,0.2201815405906251,0.1554218293262315,0.39116963451113795,0.15124309392265192,0.9043930850210034,0.029763401524195047,0.20184499149436694,0.17358458620803088,0.2784502703247803
10,music/R&B&Soul/BONNY_FERRER-Si_no_estasmp3, G, minor, 93.8550262451,0.22393690572679592,0.15240321997953155,0.20733369732683746,0.1526243093922652,0.8874718208121738,0.03854064562698504,0.36583890750097947,0.2027275838859941,0.2788596362814453
11,music/World/Flamenco-Taqui_Taquimp3, F, major, 93.178565979,0.2315127230904447,0.20208234643723133,0.17266457244763017,0.20027624309392264,0.9421417020285241,0.06624145554533152,0.32238077869394594,0.12221057954842729,0.2824388001106822
12,music/Religious/Public_Unrest-Preludemp3, G, major, 92.8809051514,0.2527974953592838,0.15610449247252048,0.2553046489221628,0.1691988950276243,0.9666690466960313,0.05939279002806019,0.29699857276706837,0.11971438999670518,0.28452254140868205
13,music/Rock&Pop/Steve_Turner-I_Want_You_In_My_Armsmp3, A#, major, 92.8934555054,0.25190352887345796,0.21779734160122352,0.2690337372440738,0.16505524861878454,0.9527203828639529,0.03385017455612598,0.30058566305556017,0.09833758587541623,0.28616045783607436
14,music/R&B&Soul/Daniel_Martina-Geribamp3, F, minor, 93.9842910767,0.22867087906638672,0.13559901253128134,0.2972112600246929,0.17610497237569062,0.9381850904713411,0.10321782301685363,0.30591877069973333,0.10610218685007641,0.286376249379507
15,music/Alternative&Punk/Midpoint-Perfecting_the_Art_of_Indifferencemp3, E, major, 93.0982513428,0.22396134900965464,0.1691024563865669,0.21948667275066067,0.17196132596685082,0.9242260422445643,0.12678898807774489,0.31709014001061675,0.14024815038569202,0.2866081406040439
