,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Summertime_Blues/alan_jackson+Who_I_Am+01-Summertime_Bluesmp3, D, major, 161.812835693,0.0,0.0,0.0,0.0,0.0,0.0017272531978566132,0.0,0.0,0.00021590664973207666
1,music/She_Came_In_Through_The_Bathroom_Window/beatles+Abbey_Road+13-She_Came_In_Through_The_Bathroom_Windowmp3, D, major, 162.58531189,0.4026043935448148,0.30196601886987506,0.1394505434005751,0.36639676113360325,0.9728488712880479,0.002524413540314047,0.1724876242959965,0.08431290349249833,0.30532394119571565
2,music/Waiting_In_Vain/annie_lennox+Medusa+09-Waiting_In_Vainmp3, C#, major, 161.648529053,0.47210876115866074,0.4233203140915922,0.08270966523112551,0.5708502024291497,0.9235542502600684,0.0008842547342101364,0.11022124164527332,0.05029338103468423,0.32924275882309556
3,music/Yesterday/en_vogue+Funky_Divas+09-Yesterdaymp3, F, major, 161.960662842,0.4510718989599371,0.5814094117702521,0.13346485510620026,0.3633603238866397,0.9554039664183659,0.0052765032086445444,0.29286854993532463,0.37460121556220033,0.39468209060594556
4,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3, B, major, 143.92578125,0.5776275217439304,0.5213787084045665,0.6973491156293673,0.3765182186234818,0.9229841114397119,0.0014015557727663367,0.11070002152108749,0.04223224917833335,0.40627393778915566
5,music/Come_Together/beatles+1+25-Come_Togethermp3, D, minor, 172.265731812,0.46189345709451624,0.435150269033275,0.5105715708798184,0.45040485829959515,0.963357790012589,0.00427916600041898,0.3287087905180075,0.13145649834527368,0.41072780002293674
6,music/Straight_From_The_Heart/bryan_adams+So_Far_So_Good+02-Straight_From_The_Heartmp3, C, major, 84.6679153442,0.5727234021431132,0.4961452762848321,0.8103400241501982,0.32186234817813764,0.9564233785519504,0.0009825953541568967,0.12073726325154631,0.042888491914803165,0.41526284747859227
7,music/Let_It_Be/beatles+1+26-Let_It_Bemp3, C, major, 139.700973511,0.5666538010264556,0.5219029015320367,0.707449633070274,0.3522267206477733,0.9427162184851784,0.003419639496382871,0.12971599182744042,0.11230148474520932,0.41704829885384376
8,music/Claudette/everly_brothers+The_Fabulous_Style_of+01-Claudettemp3, E, major, 155.37802124,0.537097631381436,0.4685181063317021,0.6121841951964373,0.33704453441295545,0.9623942546843908,0.005701551835667522,0.2564729737807476,0.1642258644298935,0.4179548890066538
9,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3, D, major, 107.710151672,0.5383801017897504,0.4833226308184612,0.7024465641497295,0.3714574898785425,0.9615910269728872,0.0013060056868079328,0.22198762261189606,0.08129134988836696,0.42022284897455525
10,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.5672951004161793,0.5565760191156905,0.6676895873964596,0.41295546558704455,0.9880175530396877,0.00573074931465623,0.05948126676652228,0.15187150137229893,0.4262021553760674
11,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.5844506186204895,0.5842467960643929,0.6336696477529526,0.40789473684210525,0.9448531155684289,0.0037855232268095614,0.15742929308509457,0.10405467728807619,0.42754805105604365
12,music/Don_t_Let_It_Bring_You_Down/annie_lennox+Medusa+04-Don_t_Let_It_Bring_You_Downmp3, F, major, 137.225463867,0.584363625782743,0.5101997604477478,0.7663924907620953,0.32793522267206476,0.9307584271781808,0.001436786645801686,0.2178369275706879,0.08775532491482767,0.42833482074676865
13,music/God_Only_Knows/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+07-God_Only_Knowsmp3, A, major, 116.500022888,0.5531051265439838,0.5068466013650504,0.7613795510444781,0.3441295546558704,0.9496778720327095,0.00032617583030948854,0.14099741120436843,0.179901223110088,0.42954543947335727
14,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.5506829344271695,0.5049207211351153,0.6469537875673563,0.4048582995951417,0.9944793047720704,0.002010772990195644,0.13989055659230623,0.1976950122703769,0.43018642366871657
15,music/Night_Time_Is_The_Right_Time/aretha_franklin+Aretha_Now+04-Night_Time_Is_The_Right_Timemp3, F, major, 103.113929749,0.5884037220782088,0.5340286432297866,0.7537400819603424,0.3188259109311741,0.9595145896559865,0.005934493780722861,0.2551700927258871,0.05149270909279112,0.4333887804318624
16,music/Let_It_Be/beatles+Let_It_Be+06-Let_It_Bemp3, C, major, 137.028686523,0.561623920505748,0.504839130594365,0.7010510340266961,0.3582995951417004,0.9116447901878041,0.005412761067598243,0.1798184956702454,0.24688988801168327,0.43369745190073006
17,music/Come_Together/aerosmith+Live_Bootleg+06-Come_Togethermp3, D, minor, 163.776016235,0.5071181365304022,0.5242769404523746,0.38101234472497214,0.5,0.9484405657599505,0.006044048733668884,0.34614439979108097,0.26289465165074255,0.434491385955399
