,original vs detected,count
0,"(Strange_Little_Girl, Strange_Little_Girl)",1
1,"(Never_Let_Me_Down_Again, Never_Let_Me_Down_Again)",1
2,"(Blue_Collar_Man, Blue_Collar_Man)",1
3,"(We_Can_Work_It_Out, We_Can_Work_It_Out)",1
4,"(I_Can_t_Get_Next_To_You, I_Can_t_Get_Next_To_You)",1
5,"(Straight_From_The_Heart, Straight_From_The_Heart)",1
6,"(God_Only_Knows, God_Only_Knows)",1
7,"(A_Whiter_Shade_Of_Pale, A_Whiter_Shade_Of_Pale)",1
8,"(Grand_Illusion, Grand_Illusion)",1
9,"(Addicted_To_Love, Addicted_To_Love)",1
10,"(Time, Time)",1
11,"(Purple_Rain, Purple_Rain)",1
12,"(Let_It_Be, Let_It_Be)",1
13,"(Downtown_Lights, Downtown_Lights)",1
14,"(Don_t_Let_It_Bring_You_Down, Don_t_Let_It_Bring_You_Down)",1
15,"(Caroline_No, Caroline_No)",1
16,"(Lady, Lady)",1
17,"(Abracadabra, Abracadabra)",1
18,"(White_Room, White_Room)",1
19,"(More_Than_Words, More_Than_Words)",1
20,"(I_Love_You, I_Love_You)",1
21,"(Lodi, Lodi)",1
