,original vs detected,count
0,"(HipHop, WorldMusic)",3
1,"(Electronic, Metal)",6
2,"(Electronic, Electronic)",6
3,"(Electronic, Pop)",18
4,"(Pop, Soundtrack)",3
5,"(Rock, WorldMusic)",9
6,"(Metal, Pop)",15
7,"(Electronic, Reggae)",7
8,"(Reggae, Rock)",14
9,"(Reggae, Electronic)",7
10,"(WorldMusic, Jazz)",19
11,"(Electronic, HipHop)",9
12,"(HipHop, Rock)",15
13,"(Soundtrack, Soundtrack)",34
14,"(Pop, Reggae)",7
15,"(Rock, Rock)",26
16,"(Pop, Rock)",25
17,"(Electronic, Rock)",22
18,"(Electronic, Klassik)",1
19,"(WorldMusic, Klassik)",9
20,"(Pop, WorldMusic)",10
21,"(Rock, Reggae)",3
22,"(Reggae, Metal)",9
23,"(Metal, Jazz)",8
24,"(WorldMusic, WorldMusic)",9
25,"(WorldMusic, Reggae)",4
26,"(HipHop, Reggae)",19
27,"(Rock, HipHop)",2
28,"(Soundtrack, Klassik)",24
29,"(Metal, Metal)",40
30,"(WorldMusic, Pop)",11
31,"(Metal, Reggae)",1
32,"(Metal, WorldMusic)",5
33,"(Reggae, Reggae)",23
34,"(HipHop, Jazz)",8
35,"(Soundtrack, Electronic)",4
36,"(Reggae, Jazz)",5
37,"(Pop, HipHop)",3
38,"(HipHop, Pop)",10
39,"(Metal, Rock)",27
40,"(HipHop, Metal)",11
41,"(WorldMusic, Rock)",12
42,"(Pop, Pop)",28
43,"(Reggae, HipHop)",20
44,"(Pop, Jazz)",9
45,"(WorldMusic, Electronic)",10
46,"(Electronic, WorldMusic)",9
47,"(Reggae, WorldMusic)",8
48,"(Rock, Jazz)",14
49,"(Soundtrack, Pop)",2
50,"(Rock, Metal)",22
51,"(Rock, Electronic)",7
52,"(HipHop, Electronic)",6
53,"(Electronic, Soundtrack)",5
54,"(Metal, Soundtrack)",3
55,"(HipHop, HipHop)",28
56,"(Electronic, Jazz)",17
57,"(Soundtrack, WorldMusic)",20
58,"(Pop, Metal)",11
59,"(Metal, HipHop)",1
60,"(Pop, Electronic)",4
61,"(WorldMusic, Metal)",8
62,"(Soundtrack, Jazz)",14
63,"(Rock, Pop)",17
64,"(WorldMusic, Soundtrack)",18
65,"(Reggae, Pop)",14
66,"(Soundtrack, Metal)",2
