,original vs detected,count
0,"(Rock&Pop, World)",1
1,"(Hip-Hop, Rock&Pop)",3
2,"(Blues, Blues)",2
3,"(Country, Alternative&Punk)",3
4,"(Soundtracks&More, NewAge)",1
5,"(Comedy&SpokenWord, Electronic&Dance)",4
6,"(Comedy&SpokenWord, EasyListening&Vocals)",3
7,"(Hip-Hop, Childrens's)",2
8,"(Alternative&Punk, Electronic&Dance)",7
9,"(Religious, Blues)",2
10,"(Latin, EasyListening&Vocals)",2
11,"(Rock&Pop, Folk)",3
12,"(Folk, R&B&Soul)",5
13,"(Blues, Jazz)",1
14,"(Alternative&Punk, Reggae)",1
15,"(World, Childrens's)",1
16,"(Electronic&Dance, Alternative&Punk)",7
17,"(Hip-Hop, Comedy&SpokenWord)",1
18,"(Country, World)",1
19,"(Childrens's, Religious)",5
20,"(World, Electronic&Dance)",3
21,"(Childrens's, Rock&Pop)",4
22,"(Soundtracks&More, Electronic&Dance)",2
23,"(Reggae, Soundtracks&More)",4
24,"(Rock&Pop, Hip-Hop)",2
25,"(R&B&Soul, R&B&Soul)",10
26,"(Rock&Pop, Religious)",3
27,"(EasyListening&Vocals, R&B&Soul)",1
28,"(Latin, Country)",3
29,"(Electronic&Dance, Childrens's)",1
30,"(Rock&Pop, R&B&Soul)",3
31,"(Reggae, NewAge)",5
32,"(Hip-Hop, Electronic&Dance)",8
33,"(Latin, Religious)",2
34,"(NewAge, Classical)",2
35,"(Blues, Comedy&SpokenWord)",3
36,"(Blues, Latin)",1
37,"(R&B&Soul, Religious)",3
38,"(NewAge, EasyListening&Vocals)",2
39,"(Soundtracks&More, Latin)",2
40,"(Alternative&Punk, Classical)",1
41,"(Alternative&Punk, Folk)",2
42,"(Country, Religious)",5
43,"(World, Folk)",2
44,"(Jazz, Jazz)",2
45,"(Blues, NewAge)",3
46,"(Alternative&Punk, Hip-Hop)",2
47,"(R&B&Soul, Blues)",5
48,"(Reggae, Rock&Pop)",1
49,"(Comedy&SpokenWord, World)",1
50,"(Rock&Pop, Jazz)",3
51,"(Alternative&Punk, Alternative&Punk)",1
52,"(Electronic&Dance, Religious)",1
53,"(Country, Latin)",4
54,"(Latin, Alternative&Punk)",3
55,"(Jazz, Hip-Hop)",7
56,"(Classical, Country)",2
57,"(R&B&Soul, NewAge)",3
58,"(Latin, Folk)",3
59,"(Alternative&Punk, Childrens's)",1
60,"(Blues, R&B&Soul)",7
61,"(Latin, R&B&Soul)",5
62,"(Blues, Classical)",2
63,"(Religious, R&B&Soul)",1
64,"(Alternative&Punk, EasyListening&Vocals)",4
65,"(Alternative&Punk, R&B&Soul)",3
66,"(Soundtracks&More, Comedy&SpokenWord)",1
67,"(R&B&Soul, Soundtracks&More)",3
68,"(Jazz, Rock&Pop)",6
69,"(Comedy&SpokenWord, Hip-Hop)",6
70,"(Classical, Comedy&SpokenWord)",1
71,"(Jazz, Folk)",4
72,"(Latin, Childrens's)",3
73,"(EasyListening&Vocals, Religious)",3
74,"(Hip-Hop, Soundtracks&More)",8
75,"(NewAge, Soundtracks&More)",4
76,"(Folk, Rock&Pop)",1
77,"(Comedy&SpokenWord, Folk)",1
78,"(Religious, Reggae)",2
79,"(Soundtracks&More, Country)",5
80,"(Classical, Blues)",1
81,"(NewAge, Alternative&Punk)",10
82,"(Classical, Electronic&Dance)",3
83,"(Religious, Electronic&Dance)",3
84,"(Comedy&SpokenWord, Reggae)",4
85,"(Blues, Rock&Pop)",5
86,"(Electronic&Dance, Blues)",4
87,"(NewAge, Comedy&SpokenWord)",2
88,"(Blues, EasyListening&Vocals)",2
89,"(Blues, World)",1
90,"(Folk, Alternative&Punk)",1
91,"(Rock&Pop, NewAge)",3
92,"(Alternative&Punk, Comedy&SpokenWord)",2
93,"(Classical, EasyListening&Vocals)",3
94,"(Religious, Jazz)",2
95,"(Childrens's, Comedy&SpokenWord)",4
96,"(R&B&Soul, Hip-Hop)",6
97,"(Reggae, Religious)",4
98,"(Reggae, R&B&Soul)",3
99,"(World, Blues)",1
100,"(Jazz, Alternative&Punk)",1
101,"(Folk, Jazz)",3
102,"(EasyListening&Vocals, Blues)",3
103,"(World, EasyListening&Vocals)",2
104,"(Religious, Religious)",4
105,"(Reggae, Blues)",2
106,"(Jazz, R&B&Soul)",5
107,"(Rock&Pop, Soundtracks&More)",1
108,"(Childrens's, Electronic&Dance)",3
109,"(Country, Folk)",1
110,"(Electronic&Dance, Folk)",1
111,"(Religious, Soundtracks&More)",7
112,"(Electronic&Dance, Hip-Hop)",6
113,"(Classical, NewAge)",4
114,"(Alternative&Punk, Religious)",2
115,"(Childrens's, Hip-Hop)",3
116,"(R&B&Soul, Reggae)",1
117,"(R&B&Soul, Alternative&Punk)",2
118,"(World, R&B&Soul)",5
119,"(Hip-Hop, NewAge)",5
120,"(Religious, Hip-Hop)",3
121,"(R&B&Soul, Comedy&SpokenWord)",2
122,"(Alternative&Punk, NewAge)",5
123,"(EasyListening&Vocals, Hip-Hop)",9
124,"(Rock&Pop, Country)",2
125,"(NewAge, Hip-Hop)",3
126,"(Reggae, Jazz)",5
127,"(NewAge, Country)",2
128,"(R&B&Soul, Latin)",1
129,"(R&B&Soul, EasyListening&Vocals)",4
130,"(Soundtracks&More, Alternative&Punk)",8
131,"(R&B&Soul, Rock&Pop)",8
132,"(Alternative&Punk, Latin)",2
133,"(Reggae, Electronic&Dance)",3
134,"(Blues, Childrens's)",2
135,"(Childrens's, Jazz)",2
136,"(Jazz, Childrens's)",2
137,"(NewAge, Jazz)",2
138,"(Electronic&Dance, Rock&Pop)",1
139,"(Jazz, EasyListening&Vocals)",3
140,"(Folk, Childrens's)",3
141,"(Blues, Hip-Hop)",5
142,"(Folk, NewAge)",3
143,"(EasyListening&Vocals, Folk)",3
144,"(NewAge, NewAge)",3
145,"(Latin, Rock&Pop)",5
146,"(Classical, Religious)",2
147,"(Classical, World)",1
148,"(Country, Jazz)",2
149,"(Childrens's, Country)",1
150,"(NewAge, World)",4
151,"(Soundtracks&More, Hip-Hop)",3
152,"(NewAge, R&B&Soul)",6
153,"(World, Rock&Pop)",6
154,"(Classical, R&B&Soul)",2
155,"(EasyListening&Vocals, Soundtracks&More)",2
156,"(Religious, Latin)",2
157,"(Alternative&Punk, Rock&Pop)",4
158,"(NewAge, Folk)",1
159,"(EasyListening&Vocals, Comedy&SpokenWord)",2
160,"(Folk, Soundtracks&More)",6
161,"(Country, Electronic&Dance)",3
162,"(Reggae, World)",2
163,"(Rock&Pop, Rock&Pop)",8
164,"(Country, Reggae)",3
165,"(Blues, Alternative&Punk)",2
166,"(Childrens's, Childrens's)",4
167,"(EasyListening&Vocals, Rock&Pop)",13
168,"(Comedy&SpokenWord, Latin)",1
169,"(Folk, Latin)",5
170,"(EasyListening&Vocals, Country)",1
171,"(Electronic&Dance, Country)",1
172,"(Childrens's, EasyListening&Vocals)",2
173,"(Country, Rock&Pop)",4
174,"(Jazz, Electronic&Dance)",2
175,"(World, Hip-Hop)",5
176,"(Electronic&Dance, NewAge)",1
177,"(Folk, Electronic&Dance)",6
178,"(Folk, EasyListening&Vocals)",1
179,"(Blues, Soundtracks&More)",2
180,"(World, Jazz)",7
181,"(Electronic&Dance, Comedy&SpokenWord)",1
182,"(Folk, Hip-Hop)",3
183,"(Jazz, NewAge)",1
184,"(Hip-Hop, EasyListening&Vocals)",3
185,"(Electronic&Dance, Latin)",2
186,"(Childrens's, Reggae)",1
187,"(Reggae, Country)",1
188,"(Religious, NewAge)",3
189,"(Hip-Hop, Latin)",3
190,"(Reggae, Folk)",2
191,"(EasyListening&Vocals, Childrens's)",2
192,"(NewAge, Blues)",2
193,"(Religious, Comedy&SpokenWord)",4
