,"original vs detected","count"
163,"(Comedy&SpokenWord, Comedy&SpokenWord)",28
130,"(Classical, Classical)",25
206,"(Jazz, Jazz)",20
179,"(Country, Alternative&Punk)",17
183,"(World, Country)",17
24,"(EasyListening&Vocals, Jazz)",16
90,"(Rock&Pop, Rock&Pop)",16
159,"(Electronic&Dance, Electronic&Dance)",16
264,"(Alternative&Punk, Rock&Pop)",16
231,"(Reggae, R&B&Soul)",15
307,"(Reggae, Reggae)",15
319,"(Alternative&Punk, Country)",15
56,"(Folk, Jazz)",14
76,"(R&B&Soul, Country)",14
167,"(Folk, Folk)",14
7,"(Blues, Jazz)",13
89,"(EasyListening&Vocals, Classical)",13
97,"(Country, Rock&Pop)",13
290,"(Hip-Hop, R&B&Soul)",13
15,"(Rock&Pop, Religious)",12
49,"(Blues, EasyListening&Vocals)",12
72,"(Childrens's, Jazz)",12
106,"(Soundtracks&More, Jazz)",12
116,"(Latin, Latin)",12
124,"(Religious, Alternative&Punk)",12
128,"(Religious, Rock&Pop)",12
132,"(Jazz, Blues)",12
153,"(Country, Country)",12
155,"(World, Religious)",12
225,"(Folk, Alternative&Punk)",12
249,"(Rock&Pop, Country)",12
261,"(Childrens's, Country)",12
285,"(Hip-Hop, Reggae)",12
304,"(Latin, Jazz)",12
315,"(Classical, Latin)",12
18,"(R&B&Soul, Religious)",11
22,"(Blues, NewAge)",11
29,"(Latin, Alternative&Punk)",11
74,"(NewAge, Jazz)",11
207,"(Alternative&Punk, Alternative&Punk)",11
219,"(Religious, Folk)",11
330,"(EasyListening&Vocals, Latin)",11
21,"(World, Folk)",10
25,"(Childrens's, World)",10
75,"(Electronic&Dance, Rock&Pop)",10
103,"(Reggae, Country)",10
125,"(Childrens's, Folk)",10
137,"(Reggae, Alternative&Punk)",10
142,"(R&B&Soul, Jazz)",10
150,"(Folk, Country)",10
180,"(Blues, Blues)",10
196,"(NewAge, Classical)",10
241,"(Alternative&Punk, Religious)",10
259,"(Classical, Religious)",10
260,"(Country, Jazz)",10
287,"(EasyListening&Vocals, EasyListening&Vocals)",10
5,"(Latin, EasyListening&Vocals)",9
14,"(R&B&Soul, R&B&Soul)",9
54,"(Religious, Jazz)",9
65,"(Comedy&SpokenWord, Blues)",9
73,"(Jazz, Childrens's)",9
100,"(World, Jazz)",9
133,"(Soundtracks&More, EasyListening&Vocals)",9
158,"(Jazz, Country)",9
182,"(Religious, Blues)",9
194,"(Latin, Country)",9
