,original vs detected,count
0,"(Soundtracks&More, NewAge)",5
1,"(Comedy&SpokenWord, EasyListening&Vocals)",3
2,"(Comedy&SpokenWord, Electronic&Dance)",1
3,"(Alternative&Punk, Electronic&Dance)",5
4,"(Hip-Hop, Country)",7
5,"(Latin, EasyListening&Vocals)",6
6,"(Folk, R&B&Soul)",7
7,"(Blues, Jazz)",7
8,"(Electronic&Dance, Alternative&Punk)",3
9,"(Alternative&Punk, Reggae)",1
10,"(World, Childrens's)",2
11,"(Childrens's, Religious)",3
12,"(Rock&Pop, Hip-Hop)",2
13,"(World, Electronic&Dance)",1
14,"(R&B&Soul, R&B&Soul)",15
15,"(Rock&Pop, Religious)",5
16,"(Reggae, NewAge)",1
17,"(Blues, Latin)",4
18,"(R&B&Soul, Religious)",11
19,"(R&B&Soul, Blues)",2
20,"(World, Folk)",12
21,"(Blues, NewAge)",13
22,"(Alternative&Punk, Hip-Hop)",2
23,"(Reggae, Rock&Pop)",3
24,"(EasyListening&Vocals, Jazz)",9
25,"(Childrens's, World)",3
26,"(Rock&Pop, Jazz)",6
27,"(Electronic&Dance, Religious)",1
28,"(Country, Latin)",3
29,"(Latin, Alternative&Punk)",11
30,"(Classical, Country)",2
31,"(Blues, R&B&Soul)",2
32,"(Latin, Folk)",7
33,"(Religious, R&B&Soul)",5
34,"(World, NewAge)",5
35,"(Alternative&Punk, R&B&Soul)",3
36,"(Jazz, World)",1
37,"(Classical, Comedy&SpokenWord)",4
38,"(Comedy&SpokenWord, Hip-Hop)",5
39,"(EasyListening&Vocals, Religious)",3
40,"(Comedy&SpokenWord, Childrens's)",5
41,"(Classical, Blues)",1
42,"(Comedy&SpokenWord, Folk)",6
43,"(Folk, Rock&Pop)",4
44,"(Religious, Electronic&Dance)",1
45,"(Soundtracks&More, R&B&Soul)",4
46,"(Comedy&SpokenWord, Reggae)",5
47,"(Blues, Rock&Pop)",3
48,"(Electronic&Dance, Blues)",1
49,"(NewAge, Comedy&SpokenWord)",4
50,"(Blues, EasyListening&Vocals)",9
51,"(Blues, World)",2
52,"(Classical, EasyListening&Vocals)",10
53,"(Alternative&Punk, Comedy&SpokenWord)",1
54,"(Religious, Jazz)",9
55,"(Jazz, Alternative&Punk)",7
56,"(Folk, Jazz)",12
57,"(EasyListening&Vocals, Blues)",4
58,"(Jazz, R&B&Soul)",8
59,"(Rock&Pop, Soundtracks&More)",6
60,"(Alternative&Punk, World)",1
61,"(Country, Folk)",4
62,"(Religious, Hip-Hop)",2
63,"(World, R&B&Soul)",2
64,"(Comedy&SpokenWord, Blues)",9
65,"(R&B&Soul, Comedy&SpokenWord)",3
66,"(Reggae, Jazz)",2
67,"(Soundtracks&More, Alternative&Punk)",7
68,"(Alternative&Punk, Latin)",4
69,"(Blues, Childrens's)",2
70,"(Childrens's, Jazz)",12
71,"(Jazz, Childrens's)",9
72,"(NewAge, Jazz)",10
73,"(Electronic&Dance, Rock&Pop)",10
74,"(R&B&Soul, Country)",16
75,"(Latin, Rock&Pop)",9
76,"(Classical, World)",9
77,"(NewAge, R&B&Soul)",6
78,"(NewAge, World)",6
79,"(Childrens's, Latin)",5
80,"(Childrens's, NewAge)",4
81,"(EasyListening&Vocals, Soundtracks&More)",5
82,"(World, Rock&Pop)",6
83,"(Religious, Latin)",7
84,"(NewAge, Folk)",5
85,"(EasyListening&Vocals, Comedy&SpokenWord)",1
86,"(EasyListening&Vocals, Classical)",12
87,"(Rock&Pop, Rock&Pop)",15
88,"(Country, Reggae)",3
89,"(Folk, Latin)",5
90,"(EasyListening&Vocals, Country)",9
91,"(Electronic&Dance, Country)",2
92,"(Childrens's, EasyListening&Vocals)",6
93,"(Folk, EasyListening&Vocals)",3
94,"(Country, Rock&Pop)",7
95,"(World, Jazz)",11
96,"(Electronic&Dance, Comedy&SpokenWord)",5
97,"(Electronic&Dance, Latin)",8
98,"(Reggae, Country)",18
99,"(Childrens's, Reggae)",2
100,"(Hip-Hop, Latin)",1
101,"(Reggae, Folk)",7
102,"(Hip-Hop, World)",1
103,"(Soundtracks&More, Jazz)",5
104,"(NewAge, Blues)",2
105,"(R&B&Soul, World)",1
106,"(Country, R&B&Soul)",5
107,"(Rock&Pop, Alternative&Punk)",4
108,"(NewAge, Religious)",2
109,"(Latin, Comedy&SpokenWord)",3
110,"(Classical, Soundtracks&More)",9
111,"(Latin, Latin)",9
112,"(Blues, Religious)",8
113,"(Country, NewAge)",1
114,"(Blues, Folk)",9
115,"(World, Latin)",6
116,"(Comedy&SpokenWord, Soundtracks&More)",3
117,"(Rock&Pop, Electronic&Dance)",5
118,"(Religious, Alternative&Punk)",14
119,"(Childrens's, Folk)",10
120,"(Soundtracks&More, Childrens's)",3
121,"(Blues, Country)",11
122,"(Religious, Rock&Pop)",10
123,"(Rock&Pop, Comedy&SpokenWord)",5
124,"(Classical, Classical)",31
125,"(Religious, Country)",9
126,"(Jazz, Blues)",7
127,"(Soundtracks&More, EasyListening&Vocals)",9
128,"(Classical, Alternative&Punk)",1
129,"(Jazz, Religious)",5
130,"(Soundtracks&More, Classical)",3
131,"(Reggae, Alternative&Punk)",9
132,"(Comedy&SpokenWord, NewAge)",1
133,"(Hip-Hop, Religious)",1
134,"(Latin, Soundtracks&More)",1
135,"(R&B&Soul, Jazz)",12
136,"(Soundtracks&More, Folk)",4
137,"(EasyListening&Vocals, NewAge)",6
138,"(Childrens's, Blues)",6
