,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Train_In_Vain/annie_lennox+Medusa+05-Train_In_Vainmp3, E, major, 106.013427734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/My_Generation/green_day+Kerplunk+16-My_Generationmp3, F, minor, 106.568016052,0.512190203687732,0.4786543954942422,0.5104728512396436,0.3622641509433962,0.9994345992304314,0.0043126448476885765,0.18756976118345814,0.19189058634089987,0.40584864912093654
2,music/I_Can_t_Get_Next_To_You/temptations+The_Temptations_The_Ultimate_Collection+14-I_Can_t_Get_Next_To_Yoump3, F, minor, 108.69228363,0.5460035433033362,0.4697740911052519,0.5623508900333707,0.3452830188679245,0.9733629295852332,0.002189100346981244,0.1734727528438014,0.24402842676596728,0.4145580941064833
3,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3, D, major, 107.710151672,0.5152089361882981,0.4599233502079524,0.5002820092170541,0.3594339622641509,0.977587520804796,0.00199310840632392,0.2817308354952874,0.22176443070306046,0.4147405191608654
4,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3, B, major, 143.92578125,0.5542299259830276,0.4360612752423304,0.7041617149824071,0.41037735849056606,0.9400161972774186,0.00045713160612162977,0.1329598618341407,0.14734515777870882,0.41570107789934
5,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.5632595606171965,0.5829873013528433,0.6285420805213074,0.35283018867924526,0.989338030578227,0.0007209580979751527,0.11931955853989394,0.11605475399333974,0.4191315540475035
6,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.6702764077037445,0.5293174821736251,0.6059967472404313,0.42547169811320756,0.9471968708890505,0.0019190052652631952,0.11381810631523158,0.12660257932599445,0.4275748621283185
7,music/I_Love_You/celine_dion+Falling_Into_You+09-I_Love_Yoump3, E, major, 88.5106048584,0.573331146629227,0.403698830792891,0.7972013382401584,0.36698113207547167,0.9497858275321537,0.00016658973862060915,0.16180276950763323,0.19195974878865724,0.43061592291310163
8,music/Night_Time_Is_The_Right_Time/aretha_franklin+Aretha_Now+04-Night_Time_Is_The_Right_Timemp3, F, major, 103.113929749,0.5636307079938476,0.49364489045715115,0.6060864135775755,0.4018867924528302,0.9693755385781903,0.007548611745382345,0.2850385435977516,0.13773293162450423,0.4331180537534042
9,music/Let_It_Be/beatles+1+26-Let_It_Bemp3, C, major, 139.700973511,0.6082501885047633,0.4879338102624108,0.711377122979333,0.37641509433962267,0.8771743075117248,0.0022961424546450015,0.24743752045979864,0.15678846715350364,0.4334590817082252
10,music/Walk_This_Way/run_dmc+Raising_Hell+04-Walk_This_Waymp3, C, major, 105.573783875,0.5456375711060485,0.723069985512066,0.2059453231016913,0.41226415094339625,0.9695554732794147,0.014668571757387255,0.3968335794903487,0.20865345963896204,0.4345785143536643
11,music/More_Than_Words/westlife+Westlife+13-More_Than_Wordsmp3, F#, major, 93.9014434814,0.5955371085091307,0.40936531967999196,0.8412690383542943,0.35,0.9594572353212516,0.001486395005656504,0.19316265003614227,0.1733430406578532,0.4404525984455401
12,music/What_s_Going_On/marvin_gaye+Live+12-What_s_Going_Onmp3, A, major, 95.2801818848,0.5912467016246216,0.4319734458763007,0.7458029597072892,0.35377358490566035,0.9792838426903692,0.0009373854114163241,0.2159592876061719,0.20665222754745294,0.4407036794211603
13,music/Lady/styx+Return_To_Paradise_Disc_1_+05-Ladymp3, G, major, 128.87399292,0.5736231549798598,0.4097933295887137,0.7322649040231928,0.3613207547169811,0.9588534585545484,0.001452651803978872,0.2751275379385985,0.21990846058390437,0.44154303152372215
