,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Alternative&Punk/American_Hi-Fi-Maybe_Wont_Domp3, C, major, 131.01852417,0.0,0.0,0.0,0.0,0.0,5.23054934282046e-08,0.0,0.0,6.538186678525575e-09
1,music/Country/Eddie_G-Rockin_The_Countrymp3, E, major, 130.709503174,0.1780749139847647,0.11179238539340264,0.0581784172280515,0.22523744911804613,0.9451520826421655,8.67812241712818e-07,0.054795072704102964,0.03163323408934399,0.20060805287151487
2,music/Country/Eddie_G-Come_To_The_Rockmp3, D, major, 131.997161865,0.16846323829812795,0.13110948046940477,0.2208495498537225,0.22388059701492538,0.9552558054657475,7.079519988747288e-07,0.06266967770095394,0.03895304096340882,0.2251477622147862
3,music/Childrens's/Mike_Burn_-_UK-Do_your_bestmp3, E, major, 132.088638306,0.17338802952014334,0.15421964840116603,0.18997483039779453,0.21031207598371776,0.9634273726800019,3.2361375431373656e-06,0.0892551508579337,0.035318265830386,0.2269873262260858
4,music/Blues/Red_Mercury_Blues_Band-Its_Always_A_Fightmp3, C, major, 129.948226929,0.18733781394689705,0.1464201156833687,0.1974743220708252,0.21370420624151967,0.9692900601322236,5.574716231992173e-06,0.06678269858107538,0.0647628086392019,0.23072220000141794
5,music/Country/Roy_Curry-Old_Dominionmp3, G, major, 131.566040039,0.1777527820747137,0.23880081203008985,0.12722728060301425,0.21099050203527817,0.9503826598646563,3.2327944222165153e-06,0.11876887332278944,0.043004235611110816,0.23336629729200936
6,music/Country/Nashville_Electric_Cooperative-Where_Love_Was_Bornmp3, D, major, 131.810073853,0.1820882668813715,0.2772050414277546,0.16771385483724538,0.2259158751696065,0.9249066464638992,2.5127065351729254e-06,0.09012496574211191,0.027958960864277616,0.23698951551160025
7,music/Comedy&SpokenWord/Stonefree-Pack_Up_Your_Pipemp3, D, major, 129.767196655,0.19121308364162304,0.1113679268309413,0.22874879272344778,0.3168249660786974,0.9057497300399371,1.0675766695053144e-06,0.04804237918264579,0.09629985613645922,0.23728097527630265
8,music/EasyListening&Vocals/Bobbie_J-Without_Yoump3, G, major, 129.881668091,0.18581389976997334,0.15124009936170876,0.294332638883532,0.25848032564450474,0.8837219241631262,1.4772734074947151e-06,0.09193154790302076,0.05962722209633144,0.2406436418869506
9,music/Religious/Sum_of_One-Thats_my_Jesusmp3, E, major, 129.971847534,0.19801610302778275,0.1430953556667142,0.24643305778846913,0.2591587516960651,0.9613760143007295,4.197014967969894e-06,0.07239879290208301,0.04633597136704901,0.24085228047048263
10,music/Blues/Red_Mercury_Blues_Band-You_an_Memp3, B, major, 129.965164185,0.20543920041259434,0.12137200306767541,0.2402096126805624,0.257123473541384,0.9582606683438025,6.2555441374576875e-06,0.08031885880573812,0.06537867641928075,0.2410135936018969
