,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Childrens's/Robin_And_The_Giant-Myths_Of_Wintermp3, A#, minor, 120.524238586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Soundtracks&More/Dean_Stevenson-Broken_Spiritmp3, C, minor, 119.999137878,0.12595440429923574,0.08331225561127276,0.11828608431891903,0.17523056653491437,0.872842113900784,0.05535649706765022,0.23345625039846174,0.07160328135464131,0.21700518168573496
2,music/Alternative&Punk/TV_On_The_Radio-Staring_At_The_Sunmp3, C, minor, 119.988815308,0.14978163101015923,0.12077403604313221,0.13521683431213588,0.22134387351778656,0.9519820401762128,0.09338493783035767,0.03600787189146482,0.08863829479604939,0.2246411899471623
3,music/NewAge/Afshin-i2mp3, F#, major, 119.984458923,0.1754926013909292,0.13260910895871386,0.10645353580527366,0.2088274044795784,0.8476493437023035,0.06952080606477416,0.20139853914654124,0.07639980348341852,0.22729389287894156
4,music/Jazz/Phil_Rose-Emilymp3, A, major, 120.010345459,0.16457176937476367,0.09705125500740305,0.11475100414193931,0.18379446640316205,0.9430770055773445,0.027596652378967405,0.23268758616893326,0.08224037851649846,0.23072126469612647
5,music/Soundtracks&More/Matti_Paalanen-Bazaar_of_Tal-Mashadmp3, C#, major, 119.987457275,0.12180233301411383,0.08393291211966833,0.10946225427409402,0.19828722002635046,0.9112197772875876,0.07930324056233866,0.28788265291721504,0.06929426774475296,0.23264808224326508
6,music/Folk/Kunle_Kuti-Narrowmp3, G, major, 119.997451782,0.14951347114007849,0.06546595731333751,0.2003065053802173,0.23386034255599472,0.9375440479494895,0.025258295861015554,0.1883775160800648,0.08069100780153587,0.2351271430102167
7,music/Religious/Stickleback-Wheres_Your_Faithmp3, G, major, 120.034591675,0.1585397509623073,0.10495516660798536,0.10343250238814097,0.16930171277997366,0.8653164241212072,0.06790417060561031,0.3628895773919374,0.058179964051296336,0.2363149086135573
8,music/Childrens's/Richard_Swans_Childrens_Songs-God_Youre_Amazingmp3, F, major, 120.017974854,0.16957235822625533,0.1092406303581929,0.21561507377741684,0.15217391304347827,0.945743767203679,0.055547221414114265,0.23536359171665341,0.05286518121045856,0.24201521711878107
9,music/Country/Davey_T_Hamilton-What_a_woman_doesmp3, A, major, 120.0235672,0.2571408122121601,0.31994143502180983,0.10265225158889732,0.20619235836627142,0.9066219609472017,0.043196120938997565,0.06534004435676323,0.05918402280461921,0.24503362577959004
10,music/EasyListening&Vocals/Rick_DeAguiar-Walking_The_Tightropemp3, F, major, 119.93838501,0.11569164288016562,0.12550391166481237,0.11541875970109176,0.19894598155467721,0.9196959060582894,0.028762201487210724,0.26922923767567203,0.2208983371522506,0.24926824727177121
11,music/Soundtracks&More/Ryan_Silva-Song_3mp3, C, minor, 119.976791382,0.2285133708028835,0.17360882217144954,0.1597035243440682,0.16205533596837945,0.8734096152404839,0.06417664552836726,0.24078316176740042,0.09302743763910984,0.24940973918276776
12,music/Comedy&SpokenWord/Anarchy_Steering_Committee-Sex_or_Poopmp3, D, major, 119.972770691,0.1650272188853971,0.11967499263227567,0.16298602528201583,0.1383399209486166,0.9717734084016947,0.0911598270198463,0.27867032293203137,0.0692351227849132,0.24960835486084887
13,music/Religious/Jon_Adamson-Ill_Fly_Away__Will_The_Circle_Be_Unbrokenmp3, E, major, 120.376731873,0.13107986259615326,0.060183167835636105,0.09233641234329726,0.18379446640316205,0.9430910586475408,0.09214464608545941,0.34084458396499934,0.16116380179936549,0.2505797499594517
14,music/Jazz/Time_Factor-Mysterious_Travelermp3, G, minor, 119.992652893,0.16343147008324502,0.13223696260707288,0.11454639823431943,0.1844532279314888,0.9274483604125408,0.04502587226536893,0.26904106306480907,0.1685171267499154,0.250587560168595
15,music/Alternative&Punk/Loquat-Swingset_Chainmp3, D, major, 120.879577637,0.11008572825433426,0.09197065643881298,0.2302438055693038,0.2924901185770751,0.9245225816320083,0.044406779693990976,0.256084828912569,0.0625881288598543,0.2515490784922436
16,music/Rock&Pop/db4-last_summerdaymp3, A#, major, 119.990592957,0.16772663809187324,0.10462469620514828,0.11239667372427427,0.2549407114624506,0.8459464424704073,0.07229848260746861,0.306039933949304,0.14875052860917667,0.25159051339001287
17,music/World/CHILI_CHARLES-SAMBA_DUBmp3, A, minor, 119.979446411,0.1564871289460798,0.1336608495989742,0.10798075312750567,0.308300395256917,0.956060147467239,0.045424418474878665,0.24939006660110372,0.0615110276331062,0.25235184838822555
18,music/Religious/C__Worship-Shine_On_Memp3, F#, minor, 120.009033203,0.11297965246914728,0.07566492307003893,0.2542495109105998,0.34782608695652173,0.9256482867804041,0.05065388676115446,0.19372648082552893,0.07446448247650624,0.2544016637812377
19,music/Country/Roy_Curry-Bill_Cheatummp3, A, major, 119.746780396,0.20067334393266018,0.15349085347739996,0.18669382114718713,0.19235836627140976,0.9581814849505571,0.029061158128338097,0.28942487930451766,0.052930528221241016,0.2578518044291639
20,music/Latin/German_Bense-A_dream_that_to_fulfillmp3, D, major, 120.018737793,0.16490024778250925,0.0657926475089063,0.32915447646616885,0.22332015810276679,0.886559491219407,0.04727086386244929,0.28144107720620004,0.0677778926435875,0.25827710684899935
21,music/EasyListening&Vocals/JMP-Afrikamp3, D, minor, 120.033081055,0.18113682041889034,0.1590658897754185,0.16869450086684137,0.13899868247694336,0.9138108065237985,0.10946860454506971,0.2677371789767656,0.12989213561668134,0.2586005774000511
22,music/Folk/The_Peg_Twisters-Briarpicker_Brownmp3, D, major, 120.162200928,0.14299140819185402,0.09858323585528066,0.2886473719221985,0.11989459815546773,0.9411763932906632,0.044876774722765515,0.3190791576260141,0.11827766784705927,0.25919082595141285
23,music/Comedy&SpokenWord/Anarchy_Steering_Committee-My_Daughter_the_Campus_Slutmp3, C#, minor, 119.979225159,0.22902323096615035,0.19218769118481893,0.11662560124548219,0.17457180500658762,0.9831611924944126,0.03434891777225026,0.31478918070964484,0.035885854455914155,0.26007418422940765
24,music/Country/Eddie_G-Note_On_My_Pillowmp3, F, major, 119.978996277,0.1283539450725527,0.23396512349997362,0.24914265505139765,0.18379446640316205,0.9060217648986946,0.03435145592489029,0.2997179067879794,0.05391363821514743,0.2611576194817247
25,music/EasyListening&Vocals/John_Rhyman-Voice_of_the_heartmp3, C, major, 119.978652954,0.1769304837569965,0.1328301005446817,0.15307750909177664,0.1370223978919631,0.9048825155329915,0.08946800983345116,0.3516427556609129,0.14351479117114682,0.26117107043549004
26,music/Latin/Alfred_Gomez_Jr-El_Malibump3, F, major, 120.013412476,0.2439527663623234,0.20610001810217485,0.12106646750678082,0.2536231884057971,0.9206213200303037,0.030673565141345262,0.23267269694065562,0.09009866988671998,0.26235108654701256
27,music/Comedy&SpokenWord/Tales_2_Tell-Black_Dogmp3, A, major, 119.996070862,0.09869488040116282,0.1008687224071632,0.2297484943718464,0.2246376811594203,0.9548368429084588,0.06632487594917584,0.34920551113590725,0.08119600350378982,0.26318912647961556
28,music/Comedy&SpokenWord/Anarchy_Steering_Committee-Runnin_Out_of_Lovemp3, G#, minor, 119.919189453,0.23245557657858687,0.17863530690572813,0.1477057473501225,0.152832674571805,0.9659586059741516,0.04582104246249979,0.3094312704837222,0.07322591123413856,0.26325826694509435
29,music/EasyListening&Vocals/Piano_Stories-Sherif_Francis-Rising_Sunmp3, F, minor, 120.03289032,0.25002184948955875,0.18795256106165456,0.14731428870823327,0.2615283267457181,0.8537803057950083,0.09288539045960244,0.27452425605891284,0.06764037578033397,0.26695591926237777
30,music/Comedy&SpokenWord/Anarchy_Steering_Committee-Show_Me_the_Green_Peoplemp3, G#, major, 119.972183228,0.1742026873322548,0.10226908513578076,0.11169685018005787,0.1831357048748353,0.9933195054731782,0.11864111456226986,0.3257876599655193,0.129178015424284,0.26727882786852253
31,music/Folk/The_Fall_Guys-Bells_Of_Changemp3, C, major, 120.011940002,0.21617977945962027,0.3107441974286776,0.10662689238536222,0.1732542819499341,0.8090594785365796,0.05434508710347482,0.2617764270211789,0.21680884883094093,0.26859937408947104
32,music/NewAge/Ancient_Teknologi-Forestmp3, A, major, 120.042602539,0.16772954360910178,0.11491731074261843,0.23207944626940102,0.1732542819499341,0.9659110681075967,0.06498357547666891,0.3023704707616503,0.1291843756011714,0.26880375906476783
33,music/EasyListening&Vocals/Narutofan-Morningmp3, C, major, 119.987747192,0.1700081858105386,0.24688176389475733,0.11136142279872345,0.1469038208168643,0.8884880041830678,0.12461587764973901,0.2981295315863011,0.1681868543600547,0.26932193263750576
34,music/Soundtracks&More/Dean_Stevenson-Solitudemp3, C#, major, 120.034568787,0.11616360541371466,0.0907860666029433,0.13964971281493754,0.2971014492753623,0.9216122550065096,0.0820770741645085,0.28382440117692137,0.22556548883218533,0.26959750666088533
35,music/Country/Bernard_Glansbeek-SH_Ramblemp3, A#, major, 122.183082581,0.14368011262559582,0.08809797794103873,0.42924399081980835,0.15151515151515152,0.9319698668508175,0.06210779385314016,0.26619775733484763,0.09315857089941007,0.27074640272997624
36,music/EasyListening&Vocals/Nancy_Galvao-Opium_Rainmp3, F, major, 119.950561523,0.204033574607484,0.1906146967607384,0.12296213919423515,0.1310935441370224,0.9258775868815867,0.09545424865406485,0.3989258943401131,0.10694161887046444,0.2719879129307136
37,music/Classical/Michael_Pillitiere-Strings_Harp_and_Windsmp3, G, minor, 120.026725769,0.11940194964080059,0.16621673056309752,0.10024250975138073,0.31225296442687744,0.9066208005972846,0.1453709435750862,0.36851168859035355,0.0639086269111336,0.2728157767570018
38,music/Comedy&SpokenWord/Anarchy_Steering_Committee-Putting_My_Daughter_to_Sleepmp3, F, major, 119.981491089,0.23345085182017095,0.18230924017004269,0.10916797028132816,0.14624505928853754,0.9490739317960429,0.09079935225464744,0.32573779828248406,0.14721473915591013,0.2729998678811455
39,music/World/Mynta-Teabreakmp3, D, major, 120.506034851,0.27895493194116444,0.23898938694431757,0.021603835773088716,0.20685111989459815,0.9622732060901041,0.0809767782777504,0.31929364983409975,0.07745070851199222,0.2732992021583894
40,music/Comedy&SpokenWord/Anarchy_Steering_Committee-When_I_Go_Off_to_Schoolmp3, G#, minor, 119.988121033,0.24276597879514786,0.19900778725373522,0.11601823922202273,0.1613965744400527,0.985037123796369,0.09346708380193308,0.3152634006911404,0.08127009429366336,0.2742782852867581
41,music/Electronic&Dance/Dj_Catzy-Fountainmp3, A, major, 119.983535767,0.14333373623172235,0.11662399738198233,0.12321357231272156,0.40711462450592883,0.9619965339370184,0.05081350311798447,0.29735687710365694,0.10013204804817298,0.2750731115798985
