,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Comedy&SpokenWord/A_Cast_Of_Thousands-Around_the_Block_From_Sesame_Streetmp3, A, minor, 151.664703369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Comedy&SpokenWord/Distorted_View-Special_Ed_Slow-Downmp3, F, minor, 103.652191162,0.14276675240472944,0.15848311307854798,0.1442525396482523,0.3918732782369146,0.9617803893841801,5.396319269798169e-08,0.028692063530847217,0.1452034083817306,0.24663144982854937
2,music/Comedy&SpokenWord/Distorted_View-The_Queefton_Schoolmp3, D#, major, 139.768386841,0.180398266561049,0.1736442448934619,0.13717058687082828,0.3918732782369146,0.9684206476696102,1.0748337299100858e-06,0.07955175038387897,0.0787244501602926,0.2512230374512207
3,music/Comedy&SpokenWord/David_Cross-My_Wifes_Crazymp3, F, minor, 101.620635986,0.1788808230434303,0.1757005332168916,0.12241351721669609,0.3884297520661157,0.9878448852649234,1.8495469096245526e-06,0.08342244429413688,0.09007337491073977,0.25334589744498043
4,music/Comedy&SpokenWord/David_Cross-Certain_Leaders_In_Government_Look_Or_Act_Like_Certain_Pop_Culture_Refmp3, G#, minor, 147.951217651,0.20251062377397813,0.2221408259157074,0.11007415745924706,0.39325068870523416,0.9873829334440977,1.939201722823549e-06,0.09711632906632775,0.06975228436699665,0.26027872274166397
5,music/Comedy&SpokenWord/Resonations-Indiamp3, F, major, 143.649673462,0.21665597325674524,0.1620170491592636,0.162373193491727,0.5661157024793388,0.9532314054846417,7.387886818544523e-07,0.04609004016256151,0.0403992090217665,0.26836041398059074
6,music/Latin/Estilo_Moleque-Cosme_e_Damiaomp3, F, major, 122.610435486,0.22267452198263643,0.1397046065135964,0.25630397184967635,0.39669421487603307,0.9654333223488224,5.177809683690883e-06,0.11949331467466817,0.12315946422211736,0.2779335742846542
7,music/Soundtracks&More/One_Christmas_Eve-Keris_Lamentmp3, C, minor, 107.964691162,0.25269257390853767,0.15476943173324992,0.18390847310105987,0.41460055096418735,0.9774175719338295,2.2565793884444813e-06,0.10707372597336953,0.13489974302318974,0.2781705409021015
8,music/Comedy&SpokenWord/Bard_Marc_Gunn-Middle_Earth_Bragging_Songmp3, D, major, 99.88671875,0.20440920484147235,0.18033843747885686,0.2446271484663135,0.41735537190082644,0.9662321890520418,3.7550537712582586e-06,0.11756777590485105,0.09767100052480714,0.27852561040286755
9,music/Comedy&SpokenWord/The_One_Act_Players-Gas_Town_Mystery_1_-_Mondaymp3, F, major, 165.344314575,0.20654211562771746,0.23604051609516433,0.2056292584975283,0.4097796143250689,0.9876922137216904,5.051347221810396e-07,0.06675741760331165,0.1310464971936385,0.28043601727485523
10,music/Comedy&SpokenWord/Ed_Shepp-Ed_Shepp_Exposes_Christina_Aguileramp3, G, major, 117.986236572,0.2887075921874958,0.17259559735096736,0.11031903096174409,0.3918732782369146,0.995775631108233,2.4019873990291483e-06,0.08110006500951503,0.20739622106718222,0.28097122723868134
11,music/Comedy&SpokenWord/Tex_Brashear-The_Three_Stooges_Bonanzamp3, A, major, 129.512268066,0.2636838444230004,0.2867494857614787,0.13706538141572974,0.43526170798898073,0.9696262624800996,1.6861216857023115e-06,0.09264044974413849,0.0868437807234586,0.28398407483232146
12,music/Comedy&SpokenWord/Billy_Collins-Nostalgiamp3, A, major, 110.85534668,0.3081008446744529,0.2724360662769131,0.13482913883566805,0.38360881542699726,0.9844497296278203,5.854485461143311e-06,0.1536802778390561,0.06172311809937943,0.2873542306582186
13,music/Comedy&SpokenWord/Coolerthanyou_Productions-They_Knew_Too_Muchmp3, D#, major, 151.986190796,0.2091260145384587,0.21835422285591644,0.1106528900731551,0.41046831955922863,0.9953035009326412,4.538600626032973e-06,0.1311443000543761,0.2303470080368006,0.28817509933140034
14,music/Comedy&SpokenWord/Distorted_View-The_Giggletime_Playersmp3, G, major, 143.18006897,0.16420277051846918,0.13856546738845224,0.13551430090571973,0.38705234159779617,0.9822953124661252,1.5146109649907838e-06,0.08093338459517552,0.4175163150162628,0.28826017588737074
15,music/Blues/The_Milkshake_Duo-my_mama_told_memp3, B, minor, 136.212097168,0.21846574464862084,0.25402756719595554,0.17597329631367825,0.3918732782369146,0.976040458280847,2.0863272120153206e-06,0.07765511822991158,0.22187514506412317,0.2894890867871579
16,music/Comedy&SpokenWord/Patton_Oswalt-80s_Metalmp3, F, minor, 123.237609863,0.2568176211751266,0.3849728506527503,0.17214482626631777,0.38705234159779617,0.9840916344330344,1.231811240654863e-06,0.0925329080528656,0.07539475877354908,0.294126021595335
17,music/Childrens's/Rip_Krinkle-medley_of_songs_from_the_magic_lunchboxmp3, G, major, 143.802093506,0.2522729219585214,0.26572662358688953,0.2766575700668038,0.39807162534435264,0.9741701788540181,3.053514832432916e-06,0.10951208414030819,0.08080527830614077,0.29465241697148337
18,music/Childrens's/Kids_Zong_of_the_Week-Counting_to_a_Millionmp3, C, major, 117.415458679,0.32298605220673443,0.21934639507915532,0.23498039311571386,0.40771349862258954,0.954562653817083,2.3533392255784196e-06,0.10128482525612341,0.12181953262005826,0.2953369630070855
19,music/Comedy&SpokenWord/Billy_Collins-Forgetfulnessmp3, A, major, 136.52684021,0.3156282278167548,0.2961008582417682,0.1477228684556842,0.39325068870523416,0.9844881309202502,7.614243648679322e-06,0.1627930630444333,0.06391128778746095,0.29548784240190434
20,music/Comedy&SpokenWord/Todd_Justice-Here_Kitty_Kittymp3, F#, major, 117.392150879,0.23112069416160805,0.41376542268255206,0.1219336501722338,0.41391184573002754,0.968019390503937,2.6948474207047264e-06,0.1312671814635508,0.08723587338978232,0.29590709411888905
21,music/R&B&Soul/Bettye_Lavette-Down_To_Zeromp3, A#, major, 162.130477905,0.2132105918749926,0.23647552897058008,0.2994896311426676,0.3973829201101928,0.973866408614123,3.809791660867635e-06,0.13487542655976614,0.1145114089062541,0.29622696574627966
22,music/Blues/Mark_S_Moody-Organized_Slime_Bluesmp3, G#, minor, 90.6922302246,0.2525985415371724,0.28921588331061004,0.20175493605173558,0.4035812672176309,0.9765024476088707,5.005623386958042e-06,0.12462474357874952,0.12899803814216193,0.29716010788378977
23,music/Folk/Virginia_La_Iacona-Con_Locuramp3, D, minor, 106.981773376,0.20386075024429814,0.2250593172896407,0.2882690449871836,0.40082644628099173,0.9611515766732266,4.444848631769679e-06,0.13321477273476157,0.1688051107762825,0.2976489329793771
24,music/Jazz/Astroflava-The_Tree_Songmp3, D#, major, 110.682807922,0.2724158578404158,0.12990659113266959,0.3139200610927506,0.4228650137741047,0.9798477946127564,5.704051610419722e-06,0.17910577877038328,0.09010228728364232,0.29852113606979164
25,music/Latin/Llave_de_Paso-Saliste_tmp3, A, major, 108.267524719,0.253123911342188,0.23789064713787783,0.24127825228951227,0.39600550964187325,0.9531361697367533,6.0009718294359916e-06,0.19327910229936338,0.11982814197191152,0.2993184669239136
26,music/Comedy&SpokenWord/Billy_Collins-Shoveling_Snow_with_the_Buddhamp3, A#, minor, 122.89642334,0.31654367814381484,0.21236661151662936,0.18619326527946156,0.40702479338842973,0.9907812447037606,3.828413720711337e-06,0.13555087334980243,0.1545152369446071,0.3003724414675283
27,music/Reggae/Dingo__The_Hardmore_Crew-I_Guaranteemp3, C, minor, 163.117492676,0.286145704912253,0.21676022283377985,0.34107127737745857,0.44214876033057854,0.9606369258565679,2.8386378273991007e-06,0.07930855454952702,0.0821330375214884,0.30102591525243505
28,music/Comedy&SpokenWord/Diarrhea_Jones-Family_Funmp3, E, minor, 111.376930237,0.22589186949804504,0.1867664293975081,0.1848273094305132,0.39669421487603307,0.9687436374749111,3.6281671141288453e-06,0.08418530927847058,0.36714097533576645,0.30178167168229525
29,music/Comedy&SpokenWord/Tom_Domer-Dr_Atkins_Low_Carb_Christmasmp3, C, major, 150.761657715,0.3284993826248973,0.34580496460186494,0.126304169448887,0.4090909090909091,0.9697509656020961,1.8329590150013315e-06,0.057640026010723856,0.1773034457355946,0.30179946200924845
30,music/Comedy&SpokenWord/chuckie_steel-intromp3, A, minor, 122.716423035,0.28201910753048814,0.3065020329450528,0.2338790560316309,0.41735537190082644,0.9942555689515279,1.3408486978803388e-05,0.1507292425132835,0.05758865468323952,0.3052928053803785
31,music/Comedy&SpokenWord/Tales_2_Tell-The_Sea_Called_Me_One_Nightmp3, A, minor, 136.041763306,0.3843699931279817,0.2323305796595977,0.1258240678653023,0.42355371900826444,0.9857017826477188,6.818838822072607e-06,0.15728870480589005,0.13477830278450317,0.30548174609226003
32,music/Rock&Pop/Across_Five_Aprils-Blue_Eyed_Suicidemp3, D, major, 172.265472412,0.27434279409166684,0.16713950313037004,0.22439014551041694,0.4056473829201102,0.9691135410167404,2.0751155005257204e-05,0.266289701030153,0.14131849071102717,0.30603278869568623
33,music/NewAge/Larri-Afro_-_Persian_Boogiemp3, C, major, 155.28918457,0.31524034130388245,0.265145455206677,0.21728620469026647,0.4056473829201102,0.9684109761138673,4.401241242521825e-06,0.17108230972219993,0.11196051391202168,0.3068471981387835
34,music/Childrens's/dae_hong-odemp3, G, major, 154.802764893,0.28698200397363677,0.28269720216129557,0.2456522603356114,0.40702479338842973,0.9448417818458299,7.488222659591089e-06,0.1963515249152918,0.0946020227528616,0.30726988469945204
35,music/World/Brobdingnagian_Bards-Whiskey_in_the_Jarmp3, C, major, 123.279945374,0.23157242157180344,0.18331499575868168,0.28149775393609416,0.39669421487603307,0.973353403636789,6.929272399781006e-06,0.2574244963088707,0.13448406192591833,0.30729353466082376
36,music/Blues/The_Milkshake_Duo-american_girlsmp3, G, major, 129.221725464,0.25026273259835935,0.23088926792923387,0.34004707434726006,0.3953168044077135,0.9790173473597773,3.1378314093668387e-06,0.09910930657021459,0.1836637305136634,0.30978867519470393
37,music/Folk/Mali_Woods-Starsmp3, A#, minor, 144.017318726,0.38978883806418946,0.3014236648835071,0.23038720825971737,0.3973829201101928,0.9587670973014242,5.9716228758615754e-06,0.11070291188777472,0.10322706280355923,0.3114607093666551
38,music/Jazz/Ryles_Jazz_Orchestra-Wind_Machinemp3, G#, major, 154.328811646,0.30020331787606175,0.2857998806788539,0.18904729856666105,0.3939393939393939,0.9596582416813998,1.1482123984917954e-05,0.26978454481795233,0.09512952435796214,0.31169671050528375
39,music/Comedy&SpokenWord/Billy_Collins-Nightclubmp3, A, major, 90.4051055908,0.3538196554985876,0.3295039758874417,0.18670063203602708,0.39462809917355374,0.9892348653771671,6.706681911876651e-06,0.1613881299929265,0.08382583243289186,0.3123884871350635
40,music/Comedy&SpokenWord/Steve_Marshall-I_Wish_I_Was_Blackmp3, D, minor, 132.836761475,0.22238062014527774,0.2555475220306798,0.24233857434456282,0.42424242424242425,0.9936440172387885,6.9434081331462555e-06,0.192181837507699,0.1706771765811032,0.3126273894373336
41,music/Comedy&SpokenWord/Billy_Collins-Marginaliamp3, A#, major, 89.0575027466,0.33365060613796005,0.2741136610062772,0.18170333627210855,0.39807162534435264,0.9848366542400958,4.693050268954036e-06,0.1400440974026173,0.1908248992480916,0.3129061965877215
42,music/Country/Bernard_Glansbeek-Ric-O-Chetmp3, G, major, 119.403892517,0.30961714349163394,0.2733784728108319,0.23106616970172017,0.4049586776859504,0.9788434207929642,1.121926477969891e-05,0.21057027278188006,0.09531397147019458,0.3129699184999944
43,music/Comedy&SpokenWord/Billy_Collins-The_Best_Cigarettemp3, A, major, 89.9503326416,0.331749473342407,0.28866504869922227,0.2273914400491031,0.4283746556473829,0.9921348414351715,7.885026467570663e-06,0.17453479102939734,0.061979890460810164,0.3131047532112453
44,music/Blues/Marcia_Ball-Big_Shotmp3, G, major, 163.196548462,0.19990406933374238,0.19197227002530146,0.43742924247850623,0.4084022038567493,0.9587838178762738,6.107534028716747e-06,0.18664099069916057,0.12826453957320919,0.3139254051721214
45,music/Alternative&Punk/Alexisonfire-A_Dagger_Through_The_Heart_of_St_Angelesmp3, B, major, 139.725219727,0.3372952846354873,0.25532546968865905,0.13593469762395452,0.40702479338842973,0.9804337714952137,1.384764816232751e-05,0.2861475560699325,0.11121676926609915,0.31417402372699227
46,music/Comedy&SpokenWord/soundofspirit-Sept_11_A_BIG_DISASTERmp3, A, minor, 162.621017456,0.4250520743307413,0.44792961001092596,0.10036562303793366,0.39944903581267216,0.9535602944053061,2.4536188478467115e-06,0.09504930826160647,0.09706951326241803,0.31480973909255644
47,music/Hip-Hop/Freestyle-Rumblin_Pavement_Ft_Akrobatikmp3, A, minor, 98.2836151123,0.34812016817175695,0.2486478795364068,0.38849148189088256,0.4056473829201102,0.9786395016367839,2.412248727666858e-06,0.06419600700246801,0.08550007922687429,0.3149056140792513
48,music/Folk/The_Good_Folk-Canned_Goodsmp3, G, major, 162.871856689,0.2563434528667687,0.2331830043346914,0.30581142796564753,0.4035812672176309,0.9434283472059806,6.495941479367798e-06,0.2108236132443928,0.1679471347808909,0.3151405929446852
49,music/Blues/Bernie_Clarke_and_the_Rhythm_Sharks-Married_Manmp3, C, major, 99.3605194092,0.24880092629159412,0.2398013416929705,0.46441695567750024,0.3884297520661157,0.9759116215138118,4.272319178460153e-06,0.11997259455470444,0.08734490488473388,0.3155852961250761
