,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Jazz/Blue_Train-7_4_Nowmp3, F, minor, 87.2446517944,0.0,0.0,0.0,0.0,0.0,1.0354205311132052e-07,0.0,0.0,1.2942756638915065e-08
1,music/Latin/Camping-This_Is_Where_We_Livemp3, B, minor, 87.2199554443,0.20284572700037964,0.13090849132092858,0.20460633597577246,0.2765957446808511,0.9915649938870406,2.2653171011052572e-06,0.09298668792982626,0.1187060349081944,0.2522770351275117
2,music/Jazz/Minus_8-At_The_Beachmp3, D, minor, 87.0419540405,0.2239230390583054,0.156423911703595,0.34440074870086923,0.28539985326485695,0.977876826607915,1.068336455533593e-06,0.06418898148076792,0.05805678814989784,0.2637839021628329
3,music/World/Benjamin_Barrile_-_Flamenco_Guitar-Tangosmp3, C#, minor, 88.7393875122,0.21493265913356063,0.17675934266258847,0.2389857885972382,0.2905355832721937,0.9741414208618147,2.313273475269104e-06,0.09285906445402645,0.16806298280155357,0.26953489438205636
4,music/EasyListening&Vocals/Tiki_King_and_the_Idol_Pleasures-Well_dancemp3, C, major, 87.6459197998,0.25333269591797447,0.25267690549762095,0.2120348111339974,0.32868672046955244,0.9785389262798373,2.860700893684453e-06,0.09303397249411618,0.05370202433887199,0.27150111460410803
5,music/Latin/La_Preferencia-Sueno_de_Amormp3, C, minor, 88.402557373,0.26771050224735615,0.21026234156670842,0.3180375145191785,0.31988261188554656,0.9826372159610766,1.4352978210415411e-06,0.047950255455344155,0.030873499343364055,0.2721694220345494
6,music/Jazz/Blue_Train-Lets_Play_Dress_Upmp3, G, major, 85.707901001,0.20394161722522736,0.2134767631172351,0.342657401544779,0.3235509904622157,0.9647081354948082,1.4494440446710756e-06,0.0668480450288168,0.06562692013152237,0.2726014153060811
7,music/Religious/JADE_TRINI_GORING-I_REALIZEmp3, C, minor, 87.0627059937,0.2951828211692434,0.20732507207740558,0.2641994869083022,0.2846661775495231,0.9670006961916207,4.530700327441187e-06,0.08506910100068384,0.09766816859900507,0.27513950677451393
8,music/Rock&Pop/The_String_Cheese_Incident-Sometimes_A_Rivermp3, A#, major, 87.9026489258,0.22494722005528361,0.22028883191778503,0.31200049732864726,0.28246515040352166,0.9818524666565307,2.4865483191901063e-06,0.10716055169623971,0.09572862646647579,0.27805572888410035
9,music/Folk/Janis_Ian-The_Great_Dividemp3, D#, major, 88.4179458618,0.2479680899455341,0.24675181420877,0.2952710793374587,0.30520909757887016,0.9752523400035278,2.075666116892589e-06,0.07623171485918935,0.09569446953325939,0.2802975851415908
10,music/NewAge/Rasika-The_Fates_Will_Find_A_Waymp3, C, major, 86.4466094971,0.28284900380216,0.21559811048161162,0.27545306111396334,0.2773294203961849,0.9813518198094309,2.209275193614892e-06,0.0866802306562844,0.13548128697583697,0.28184314281383327
11,music/EasyListening&Vocals/Victoria_Horne-Moonglowmp3, C, major, 87.0908355713,0.25966187379566497,0.28873733402069846,0.22197326588831834,0.3147468818782098,0.9766388236202844,1.8616405300542795e-06,0.10503959464351516,0.08939856098849591,0.2820247745594646
12,music/Rock&Pop/Phil_Rose-Drowned_Dreamsmp3, D, minor, 87.9752197266,0.2148862115934249,0.191637694837225,0.3953744307909617,0.29860601614086574,0.94253631043109,2.6204355268719724e-06,0.10616856588653693,0.11207875268447662,0.2826613253500135
13,music/Hip-Hop/Just_Jack-Snowflakesmp3, C, minor, 86.9806442261,0.2700434084954164,0.29467918202882143,0.2726652467445778,0.2846661775495231,0.9499912098842882,2.5044208735119157e-06,0.08004267687677546,0.1238784542275089,0.2844961075284731
14,music/Rock&Pop/Rai-What_ifmp3, D, major, 86.6441802979,0.2771535334053341,0.24116105787347608,0.25119620859006997,0.3191489361702128,0.980691565751698,5.384316580869097e-06,0.1599617402053452,0.05433277349131122,0.28545639997550354
15,music/Country/Allison_Melnyk-When_You_Say_Nothing_at_Allmp3, D#, major, 86.1362533569,0.26617832781552975,0.22233931199700843,0.3676822899925764,0.2743947175348496,0.9685177102296468,2.132029951164042e-06,0.09895117681905212,0.09917878169395043,0.28715555601407067
16,music/World/pubside_down-rockin_landladymp3, A, minor, 117.157798767,0.24692093991819627,0.2245648206331927,0.4414587877685773,0.28539985326485695,0.9698009338802304,2.728229493834232e-06,0.0799557601636089,0.04948911764413221,0.287199117687786
17,music/Alternative&Punk/Circa_Survive-Handshakes_At_Sunrisemp3, G#, minor, 112.549674988,0.23960649253396127,0.20425064515720467,0.45557376293076496,0.28686720469552457,0.9749646480142371,2.9269556810022783e-06,0.09831849099285354,0.057920704583860436,0.28968810948301094
18,music/Alternative&Punk/Coheed_and_Cambria-Devil_In_Jersey_Citymp3, G, major, 85.859664917,0.2564254058024781,0.2913609440594562,0.28902040236287246,0.30814380044020545,0.9844331957982553,2.099223306285766e-06,0.12892064976775672,0.059497544575754624,0.2897255052537606
19,music/Rock&Pop/Atreyu-Right_Side_of_the_Bedmp3, C, minor, 86.3360671997,0.21974675136818575,0.1940097659852832,0.27423018632982465,0.29126925898752754,0.9853262785521799,5.118577699846974e-06,0.17383181697835617,0.17978184866124913,0.28977512818003826
20,music/Alternative&Punk/Showroom-The_Residence_of_Benmp3, A, major, 89.2017593384,0.23130957777997233,0.16436355566234154,0.43492961555769055,0.3360234776228907,0.9789416760466302,4.726303838372887e-06,0.11748623145592506,0.05540877668618045,0.28980845463943367
21,music/Reggae/DJ_Lady_Saw-Save_Your_Lovemp3, B, minor, 86.825592041,0.3146662268727126,0.23054311333009714,0.38066691023074817,0.26412325752017607,0.9851556012849837,2.906877563672115e-06,0.08380295176345949,0.05960506835309428,0.2898207545291044
22,music/Religious/Gene_A_Miller-How_Great_Thou_Artmp3, A#, major, 87.9622192383,0.26675607747381763,0.3004211093656674,0.31609297381836565,0.2721936903888481,0.9714645077009846,4.036506430092957e-06,0.12257505566528525,0.07288036495869882,0.29029847698476213
23,music/Electronic&Dance/Pieter_K-It_Could_Have_Been_Yoump3, D#, major, 86.5237503052,0.33184050203422394,0.17745909636232787,0.2534278855849105,0.33528980190755686,0.9700834346994772,4.654893891028572e-06,0.11521577744678645,0.14168255235148,0.29062546316008175
24,music/Blues/Tony_Houston-Cost_of_Livingmp3, A, minor, 119.660896301,0.24533414504726142,0.22900110327869902,0.417597222356761,0.38004402054292,0.9447216476423597,2.0490011346415223e-06,0.07245170458222377,0.039046897062675966,0.29102484868925443
25,music/Latin/Rocky_Mountain_Gold_Vol_1-Cumbia_Tropicalmp3, D, minor, 102.020103455,0.27329261347401534,0.18982930154232042,0.5510126769270329,0.27586206896551724,0.9629524588061481,2.11478034085323e-06,0.05819362754725765,0.022934594173056818,0.29175993202696116
