,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Latin/Alfred_Gomez_Jr-Abuelamp3, D, major, 90.0431518555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Latin/Alfred_Gomez_Jr-Rosamp3, G, minor, 89.9958648682,0.25814997088276603,0.19874375376657497,0.15037625765940013,0.1521311475409836,0.8473136093214295,0.06282980309801538,0.14233113942488293,0.0503176643324292,0.23277416825331027
2,music/Religious/Randy_Vild-Jamesmp3, E, major, 90.0314254761,0.24457607273376014,0.23458781230026604,0.09229627811043872,0.17245901639344263,0.8657908019032277,0.053008590431995455,0.1543999876631195,0.10762754323426262,0.2405932628463141
3,music/Comedy&SpokenWord/ANN_CHALADA-A_CHIPMONKS_LOVE_SONGmp3, D, major, 89.9689483643,0.21669231827871172,0.20710590049548852,0.1157218969371957,0.15278688524590164,0.9327048767622546,0.051012420737053914,0.21307550588152077,0.06508052255437756,0.24427254086156303
4,music/Jazz/John_Devitt-Lets_Face_itmp3, D, major, 90.0202331543,0.21934882051378032,0.22075689362648102,0.12847759075836618,0.17770491803278687,0.9045392718561694,0.07490485536590101,0.19112057080832034,0.05075352223188422,0.2459508053992112
5,music/Latin/Alfred_Gomez_Jr-La_Reina_Peinandosemp3, D, minor, 90.0469894409,0.27727646931709765,0.22286943424292488,0.13579533513534348,0.23081967213114754,0.9001730317851823,0.04176380382552328,0.12190709136445294,0.03966641315907175,0.24628390637009295
6,music/Blues/Ageing_hippie_groove_syndicate-ageing_hippie_groovemp3, C, minor, 89.9438781738,0.2703723194051104,0.23193005313465392,0.13663022961864307,0.16262295081967212,0.8711964251047248,0.08114726128820111,0.09487915509601443,0.13158827007281054,0.2475458330674788
7,music/EasyListening&Vocals/Janet_Murphy-Ive_Got_Somethingmp3, E, minor, 89.9921417236,0.2718301771991668,0.19723336005631442,0.17593541997089732,0.17442622950819672,0.9341528012758162,0.036752235528045143,0.16378236994350792,0.08123344342257569,0.254418254613065
8,music/Alternative&Punk/Taking_Back_Sunday-Timberwolves_at_New_Jerseymp3, C, major, 89.9130630493,0.21420456121062445,0.12452599892321659,0.11837815036219407,0.15672131147540982,0.9258819400566476,0.18553294162714032,0.1715581462107191,0.16558084312810856,0.25779798662425757
9,music/EasyListening&Vocals/BARBARA_HASCAKOVA-Only_We_Are_Heremp3, C#, major, 89.8469924927,0.2826069020593779,0.2176755607638684,0.11193018026230644,0.2019672131147541,0.9169360707566758,0.03336427439687772,0.2302221059420848,0.08567446337493113,0.26004709633385953
10,music/Soundtracks&More/Altham__McKerron-Servos_Revengemp3, A, minor, 90.0223846436,0.2620826862479171,0.21803226726648148,0.13047521862072986,0.14754098360655737,0.9464668592583194,0.05299532323032405,0.22963284777228282,0.10331132748238284,0.26131718918562435
11,music/R&B&Soul/Jennifer_Johns-Ghetto_Storiesmp3, A, major, 90.0262756348,0.3185652265104452,0.17526562927797704,0.15962829827018038,0.1901639344262295,0.9392925412081157,0.06554439695764745,0.18702615498355543,0.06330567545077082,0.2623489821356152
12,music/R&B&Soul/KWESI-Free_Either_Waymp3, F, major, 89.9838104248,0.3288748221650876,0.23667882963118703,0.14381459709241207,0.1822950819672131,0.9633140386367749,0.07706476956216263,0.13334797996393252,0.04325357262146769,0.26358046145502967
13,music/R&B&Soul/Xavier_Aeon-Rock-A-Byemp3, B, major, 89.9976425171,0.3006910739172514,0.2260100090935474,0.12276292741772031,0.17049180327868851,0.9621231975774508,0.03997641313340758,0.18651683320050463,0.10749023161931966,0.26450781115473626
14,music/Alternative&Punk/Martina_Topley-Bird-Anythingmp3, F, major, 89.986000061,0.2532218264468621,0.23478114712692325,0.11466420549855147,0.19934426229508198,0.9423686719187389,0.08539345373244815,0.25178528308213843,0.04420676357783319,0.26572070170982215
15,music/EasyListening&Vocals/smooth_gardener-chill_in_the_parkmp3, C, major, 89.9974060059,0.2847569756229985,0.1774291675353645,0.13157016625013493,0.16262295081967212,0.9358186729060549,0.11375726366136851,0.27642632448489346,0.044231244517133415,0.2658265957247025
