,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/R&B&Soul/AWun-Im_Sorrymp3, F#, major, 107.94846344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Country/Nora_OConnor-My_Backyardmp3, D, major, 108.717941284,0.20313431316584682,0.16331221758486886,0.12744413049282227,0.1389786683904331,0.9331435515870212,9.513533184548589e-06,0.10992664048483358,0.06885861754112656,0.2181009565975171
2,music/Rock&Pop/Cat_Power-The_Greatestmp3, C, major, 107.41230011,0.16609563309077677,0.15690590312855995,0.17230532930054213,0.1667744020685197,0.9433399883890715,6.798702828549612e-06,0.08480183140520421,0.05532226127526311,0.21819401842009573
3,music/EasyListening&Vocals/John_Rhyman-Fantasia_of_the_heartmp3, A#, major, 107.8542099,0.15012234326547705,0.16318654037358654,0.09053720635450521,0.14608920491273433,0.9372392970468326,1.3284256662310237e-05,0.15526816315153075,0.15341184993982465,0.22448348616264416
4,music/Folk/Juan_Cautivo_Miranda-Cancion_del_Amor_Cautivomp3, D, major, 107.60194397,0.15374132537239818,0.14394337376170557,0.1987503745003139,0.13510019392372333,0.9079778046762009,6.349613809408026e-06,0.10997051462768309,0.1599545289120948,0.22618055817349114
5,music/World/CELTIC_TRIBE-pipe_of_inspirationmp3, D#, major, 107.676353455,0.19005715827913627,0.1145872933151392,0.14540431486778327,0.14673561732385262,0.9552833654144185,2.157572001649065e-05,0.1931225791341518,0.0668407356383858,0.22650657996161053
6,music/Blues/Red_Mercury_Blues_Band-Thinkin_About_Yoump3, C, major, 108.048965454,0.22880069081539672,0.21607187511624096,0.08054393100093464,0.15061409179056237,0.9532667690440078,1.2646833497645071e-05,0.11051968530648672,0.07659434289746404,0.22705300410057386
7,music/Country/Terry-The_Legend_of_John_Wesley_Hardenmp3, D, minor, 107.632209778,0.20489424437971954,0.1709802519488026,0.16766829560880261,0.19844861021331608,0.9526294571666133,6.8552218411262096e-06,0.0855072783416331,0.053772350559695065,0.22923841793005292
8,music/Religious/Randy_Vild-Invisiblemp3, A, major, 107.031471252,0.1479007098165128,0.13655878196186802,0.23050350862498384,0.19586296056884292,0.9197844477970605,1.4024498491384979e-05,0.13099634284398415,0.07984980075627289,0.23018382210850208
9,music/Religious/Hope_Carr-Midst_of_the_Stormmp3, C, major, 107.998390198,0.12925254329577288,0.10359280170959687,0.05496045045139369,0.367808661926309,0.9414000924800301,3.7781859537168803e-06,0.07911197127700859,0.17058814377088666,0.23083980538711893
