,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Reggae/Adrian_Xavier-Unleash_da_Lionmp3, D, minor, 90.0264968872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Reggae/Amani_aka_Specialist-No_Warmp3, A, major, 89.9808578491,0.32965878165238427,0.3022883775592831,0.026530145702952295,0.17101827676240208,0.9677704260405497,4.667869832513734e-07,0.042475854810436614,0.06452683891296264,0.23803364602849428
2,music/Jazz/Victor_and_Pablo_Escalona-A_Night_to_Remembermp3, C#, minor, 90.0481414795,0.4093041306114087,0.3303405366325325,0.044591819818076826,0.1664490861618799,0.8983036254731307,7.227932884632363e-07,0.049563353167107034,0.1316898707698029,0.2537803931784034
3,music/EasyListening&Vocals/Naveen_Singh-Mohabbatein_Lutaaungamp3, A, major, 90.0000305176,0.3491526927079332,0.32412019743745724,0.08506591354274642,0.1514360313315927,0.9481001516208721,1.1119143596332564e-06,0.039123390153866094,0.13541515503985643,0.2540518304685855
4,music/Alternative&Punk/Less_Than_Jake-Look_What_Happenedmp3, E, major, 89.7636108398,0.38264912734053624,0.3581984385331815,0.14513434710670572,0.12859007832898173,0.8937582441517956,7.235780325118445e-07,0.08579560458935001,0.044692291941201674,0.2548523569462231
5,music/R&B&Soul/Jennifer_Johns-Ghetto_Storiesmp3, A, major, 90.0262756348,0.3649340354651041,0.2918109595847251,0.15789690816768343,0.20430809399477806,0.9257587488180397,1.0287558586960228e-06,0.05892297841874563,0.12055436450029912,0.26552338971315426
6,music/Latin/Alfred_Gomez_Jr-Rosamp3, G, minor, 89.9958648682,0.4283844683610019,0.46090844035988054,0.052047354653457965,0.15404699738903394,0.8810179972239683,9.026071043347789e-07,0.04633054259028699,0.10375072507558976,0.26581092853254046
7,music/Religious/Superchick-Me_Against_The_Worldmp3, F, major, 90.020111084,0.37330067116906335,0.3254082287418502,0.05529540034144255,0.17362924281984335,0.9642492495538514,1.4082563943280886e-06,0.09060135334830495,0.15351868825488707,0.26700053031070464
8,music/R&B&Soul/KWESI-Free_Either_Waymp3, F, major, 89.9838104248,0.3838509459921918,0.3532780587145011,0.06701879559853909,0.21148825065274152,0.9546133468747887,1.1903474752701368e-06,0.06341307901606248,0.10370007715612722,0.2671704680440534
9,music/Latin/Alfred_Gomez_Jr-Abuelamp3, D, major, 90.0431518555,0.36981780891120686,0.4083739235265844,0.10586832030526398,0.16840731070496084,0.9202917257467859,2.7786743798763844e-06,0.09015309338408205,0.07461122558491115,0.26719077335477187
10,music/R&B&Soul/Xavier_Aeon-Rock-A-Byemp3, B, major, 89.9976425171,0.4317899471305951,0.4051346601144999,0.05356492438361348,0.21344647519582247,0.9425364666124413,5.945960289447096e-07,0.03190384572791198,0.0787887410161366,0.2696457068471312
11,music/Rock&Pop/G_Love-Waitingmp3, A#, major, 89.8791503906,0.36133263027035334,0.3139554152324246,0.055908169410864766,0.16253263707571802,0.9580223393496446,1.0365720288987917e-06,0.08282580049895522,0.25086001038853945,0.2731797548498161
12,music/Childrens's/The_Miles_Of_Smiles_Show-Popcornmp3, A, major, 89.9691467285,0.40681621887142094,0.37757187274820053,0.08584336040967416,0.17754569190600522,0.900860939561945,1.2507628733623313e-06,0.0797917923020971,0.21266381150257893,0.2801368672580994
13,music/Religious/Randy_Vild-Jamesmp3, E, major, 90.0314254761,0.4670651311026216,0.4865940499007985,0.15961881681549187,0.17101827676240208,0.8305052055991722,1.3692745389721096e-06,0.07438571675823842,0.056070139568208645,0.28065733822268407
