,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/World/Voice_of_Golden_Eagle-SNOW_DANCERmp3, B, minor, 165.443283081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Latin/A_Jacarand-Um_Abrao_no_Bonfamp3, C, major, 163.888168335,0.15759211437609488,0.10382595695856137,0.349959575768129,0.3283678756476684,0.9730988419462087,1.6011781095254004e-05,0.20965346403471977,0.04713827994027457,0.271206515056594
2,music/NewAge/Naked_Skin-Oceans_Bridemp3, G, major, 165.020324707,0.17218162461578104,0.13541861142474193,0.11994401739016532,0.5155440414507773,0.907494258114964,2.2808921791855038e-05,0.2447758400513368,0.10073605974410207,0.2745146577142075
3,music/Folk/Cesare_Marilungo-noosfera_-_black_cloudmp3, E, minor, 164.802703857,0.18132318250589813,0.06730156799890268,0.13598252502517813,0.5356217616580311,0.9576353548546882,2.7733766279886346e-05,0.2523236770876197,0.07001709976650085,0.27502911283288733
4,music/EasyListening&Vocals/Jeff_Bosset-Coastlinemp3, F, major, 164.034545898,0.17843208147214157,0.11306222823659604,0.27107648660774514,0.38795336787564766,0.9718412556633316,1.6075209624475877e-05,0.2120396921068561,0.06740577153814413,0.27522836983876087
5,music/Classical/Andrei_Krylov-Memories_of_Lovemp3, F, minor, 172.26524353,0.16784185688192244,0.05818851765088889,0.4911987338773692,0.3076424870466321,0.9338469953488807,2.645904187586512e-05,0.2051861585025583,0.05452362894905319,0.2773068546623976
6,music/Jazz/Ethnic_Fusion_Sound_-_Rik_Hambra-Elephants_of_Pakistanmp3, F#, minor, 164.011199951,0.17993827346609145,0.09860279319119825,0.2760572314175993,0.39248704663212436,0.9299561177366271,2.5149807082851166e-05,0.28526846011568163,0.05900405182083341,0.2776673905234048
7,music/EasyListening&Vocals/John_Rhyman-Wishing_you_were_heremp3, A, major, 166.654495239,0.2450192545192562,0.2011482724833084,0.1928247748283024,0.35103626943005184,0.9679693659790697,1.5192769532792116e-05,0.22950553913481156,0.059818286527434164,0.28091711945897085
8,music/Classical/Christmas_Celebration-Angels_We_Have_Heard_On_Highmp3, D, major, 90.2913742065,0.20542140871925346,0.08692583068422886,0.5312537747584939,0.23186528497409326,0.9096283093965002,4.0120770629963063e-05,0.23181251008680204,0.06746886641883681,0.2830520132261048
9,music/NewAge/Rasika-The_Seduction_of_Twilightmp3, E, minor, 165.032684326,0.2790699081051356,0.07806577087140826,0.2605307182983036,0.3180051813471503,0.9485567485869162,3.763864938839317e-05,0.32771288439589724,0.06118755082177799,0.2841458001344972
10,music/Country/Steel_Creek_Band-High_Mountain_Meadowmp3, G, major, 164.818618774,0.26467084354105486,0.25799102416093345,0.14065348226863575,0.3387305699481865,0.9617856621066945,2.0134232462610844e-05,0.2672609065387481,0.04668964966825549,0.28472528405812136
11,music/Classical/Andrei_Krylov-Romancemp3, E, minor, 117.801345825,0.16842095219381506,0.0762859600320729,0.5948320320711326,0.2823834196891192,0.9057064353522097,2.4663343945853112e-05,0.2161624714350921,0.0456787156577942,0.2861868312218977
12,music/NewAge/Jorge_Grundman-Denying_the_evidentmp3, C, major, 163.447113037,0.2273933868230933,0.08363356693714415,0.3778610953584393,0.33419689119170987,0.9642089853758798,3.059568181367761e-05,0.25524952673989487,0.06747429230836277,0.28875604255204224
13,music/NewAge/Jorge_Grundman-The_day_aftermp3, G, major, 163.964111328,0.19479011301799054,0.06319828060101967,0.2962344430927214,0.5233160621761658,0.9490908417442404,1.6610834591010876e-05,0.19021654314108466,0.09631991528867807,0.2891478512370614
14,music/NewAge/David_James_Stuart-Rebeccamp3, A, major, 163.940917969,0.20757269660192998,0.10076331357564966,0.3112054294165263,0.36722797927461137,0.9595502068649016,3.199439866375714e-05,0.2872558659245077,0.08119236235361339,0.28934998105130044
15,music/EasyListening&Vocals/Jeff_in_Velvet-The_First_Timemp3, D#, major, 164.131896973,0.24458190417878148,0.1442983238778402,0.2621547223503352,0.33613989637305697,0.9573815116880761,4.1024170826101907e-05,0.3254041236011938,0.04609604438386279,0.2895121938279966
16,music/NewAge/Sacred_Spaces-This_Worldmp3, A#, minor, 117.789894104,0.17862765644048703,0.07928505480672227,0.5606637515726526,0.29857512953367876,0.9611337846356827,9.636039315636208e-06,0.17969053389753853,0.06079805409875586,0.28984795012810416
17,music/Latin/Michael_Marquez-Deseosmp3, A#, major, 165.58392334,0.30380234654663657,0.3316723247219975,0.03391541151044461,0.3588082901554404,0.9335057158201864,2.2030510798162933e-05,0.2525880102825275,0.1166156279972095,0.29136621969315507
18,music/World/Andrei_Krylov-Almansamp3, A, minor, 151.405731201,0.1686038418145239,0.0804396457693283,0.5942218448117366,0.2869170984455959,0.9749688477999522,1.660207421844382e-05,0.17433553588971323,0.059531676343052495,0.29237938661851515
19,music/NewAge/Sacred_Spaces-Criteriusmp3, A, minor, 90.4942626953,0.14562701871680758,0.09946545215334197,0.5748625301588497,0.2933937823834197,0.9373795829277173,1.6315684616198763e-05,0.22886640394370006,0.07321482397982036,0.29410323874353406
20,music/Comedy&SpokenWord/Sacred_Spaces-Night_Musicmp3, E, minor, 129.47366333,0.1936102286112905,0.13189936662801494,0.5818218612049735,0.30310880829015546,0.9198214269042684,4.7538551856328644e-05,0.13370482942138595,0.0944334351008273,0.29480593683909656
21,music/Classical/Trio_Con_Brio-Smetana_Dance_of_the_Comediansmp3, C, major, 163.586486816,0.1851914413834721,0.10867629605028367,0.3859202292543195,0.33743523316062174,0.9501990701784898,0.00011112703243400268,0.33933103294884864,0.05166916790806407,0.29481669973956676
22,music/World/Andrei_Krylov-Flight_over_the_Mountainmp3, A, minor, 163.400543213,0.2295414022537708,0.09763499161134558,0.46957015207276404,0.2959844559585492,0.9328079027525619,2.0564081819562337e-05,0.2836508738735867,0.0538071305094612,0.29537718413923236
23,music/NewAge/Behzad_Mirkhani-Elaheye_Nazmp3, E, minor, 164.035293579,0.2437487709920442,0.11084319312447849,0.44355995806782567,0.2959844559585492,0.9381283694963459,3.451452409735618e-05,0.26278210890925413,0.07195245078999223,0.29587922773282344
24,music/Classical/Andrei_Krylov-Autumnmp3, G, minor, 114.016891479,0.20638312353116545,0.08850328084656192,0.5387175017805095,0.3082901554404145,0.9474744546307041,1.8105703201251406e-05,0.20904382336694022,0.06884126519119364,0.2959089638113363
25,music/NewAge/Alex_Tiuniaev-Stringedmp3, G, major, 164.019989014,0.223407043905128,0.1467013701468893,0.2768355179870674,0.4332901554404145,0.9698417674939805,3.1988901909039666e-05,0.27590470285886154,0.05073859542872915,0.29709389277037246
26,music/Classical/Guitarist_-_Michael_Lancaster-Pachabel_Canon_in_Dmp3, D, major, 163.084609985,0.16960637035361453,0.07239157537152023,0.5232300598627674,0.34585492227979275,0.9665014561371859,2.6488964747996752e-05,0.24487515291480158,0.05437936189636871,0.2971081734725999
27,music/Soundtracks&More/Patrick_Kirst-Roseys_Arrivalmp3, G, major, 164.393371582,0.19458005101495282,0.1040847685383336,0.4740172587841081,0.34650259067357514,0.977386703593435,4.5460948602094195e-05,0.2482511435400924,0.04091807315378813,0.29822325628086094
