,original vs detected,count
0,"(Thin_Line_Between_Love_And_Hate, Thin_Line_Between_Love_And_Hate)",1
1,"(Strange_Little_Girl, Strange_Little_Girl)",1
2,"(Never_Let_Me_Down_Again, Never_Let_Me_Down_Again)",1
3,"(Blue_Collar_Man, Blue_Collar_Man)",1
4,"(Straight_From_The_Heart, Straight_From_The_Heart)",1
5,"(God_Only_Knows, God_Only_Knows)",1
6,"(A_Whiter_Shade_Of_Pale, A_Whiter_Shade_Of_Pale)",1
7,"(Time, Time)",1
8,"(I_m_Not_In_Love, I_m_Not_In_Love)",1
9,"(Purple_Rain, Purple_Rain)",1
10,"(Toys_In_The_Attic, Toys_In_The_Attic)",1
11,"(Let_It_Be, Let_It_Be)",2
12,"(All_Along_The_Watchtower, All_Along_The_Watchtower)",1
13,"(Downtown_Lights, Downtown_Lights)",1
14,"(Don_t_Let_It_Bring_You_Down, Don_t_Let_It_Bring_You_Down)",1
15,"(September_Gurls, September_Gurls)",1
16,"(Stone_Cold_Crazy, Stone_Cold_Crazy)",1
17,"(Tush, Tush)",1
18,"(Lady, Lady)",1
19,"(Abracadabra, Abracadabra)",1
20,"(White_Room, White_Room)",1
21,"(More_Than_Words, More_Than_Words)",1
22,"(I_Love_You, I_Love_You)",1
23,"(Lodi, Lodi)",1
