,original vs detected,count
0,"(HipHop, WorldMusic)",4
1,"(Electronic, Electronic)",14
2,"(Electronic, Pop)",22
3,"(Pop, Soundtrack)",3
4,"(Rock, WorldMusic)",4
5,"(Metal, Pop)",9
6,"(Electronic, Reggae)",15
7,"(Reggae, Rock)",6
8,"(WorldMusic, HipHop)",7
9,"(Reggae, Electronic)",4
10,"(Electronic, HipHop)",15
11,"(WorldMusic, Jazz)",15
12,"(HipHop, Rock)",8
13,"(Soundtrack, Soundtrack)",20
14,"(Pop, Reggae)",16
15,"(Rock, Rock)",18
16,"(Pop, Rock)",18
17,"(Electronic, Rock)",17
18,"(WorldMusic, Klassik)",3
19,"(Pop, WorldMusic)",4
20,"(Rock, Reggae)",11
21,"(Metal, Jazz)",2
22,"(Reggae, Metal)",3
23,"(WorldMusic, WorldMusic)",10
24,"(WorldMusic, Reggae)",14
25,"(HipHop, Reggae)",33
26,"(Rock, HipHop)",15
27,"(Soundtrack, Klassik)",5
28,"(Metal, Metal)",38
29,"(WorldMusic, Pop)",16
30,"(Metal, Reggae)",7
31,"(Metal, WorldMusic)",6
32,"(Reggae, Reggae)",32
33,"(Soundtrack, HipHop)",11
34,"(HipHop, Jazz)",5
35,"(Soundtrack, Electronic)",4
36,"(Soundtrack, Rock)",2
37,"(Reggae, Jazz)",2
38,"(Pop, HipHop)",13
39,"(HipHop, Pop)",5
40,"(Reggae, Soundtrack)",2
41,"(Metal, Rock)",26
42,"(WorldMusic, Rock)",14
43,"(HipHop, Metal)",3
44,"(Pop, Pop)",26
45,"(Pop, Jazz)",9
46,"(Reggae, HipHop)",35
47,"(WorldMusic, Electronic)",6
48,"(Electronic, WorldMusic)",5
49,"(Reggae, WorldMusic)",4
50,"(Soundtrack, Pop)",15
51,"(Rock, Jazz)",11
52,"(Rock, Electronic)",6
53,"(Rock, Metal)",11
54,"(Metal, Electronic)",1
55,"(HipHop, Electronic)",2
56,"(Electronic, Soundtrack)",3
57,"(HipHop, HipHop)",40
58,"(Electronic, Jazz)",9
59,"(Soundtrack, WorldMusic)",15
60,"(Pop, Metal)",2
61,"(Pop, Electronic)",9
62,"(Metal, HipHop)",11
63,"(Soundtrack, Reggae)",14
64,"(WorldMusic, Metal)",3
65,"(Soundtrack, Jazz)",14
66,"(Rock, Pop)",24
67,"(WorldMusic, Soundtrack)",12
68,"(Reggae, Pop)",12
