,"original vs detected","count"
273,"(Comedy&SpokenWord, Comedy&SpokenWord)",14
3,"(Country, Alternative&Punk)",10
97,"(Reggae, R&B&Soul)",10
205,"(Latin, Latin)",10
275,"(Classical, Latin)",10
292,"(EasyListening&Vocals, Latin)",10
8,"(World, Country)",9
27,"(Rock&Pop, Religious)",9
48,"(EasyListening&Vocals, Jazz)",9
14,"(Blues, Jazz)",8
43,"(Jazz, Jazz)",8
66,"(Comedy&SpokenWord, Hip-Hop)",8
141,"(R&B&Soul, Country)",8
166,"(Rock&Pop, Rock&Pop)",8
175,"(Country, Rock&Pop)",8
191,"(Soundtracks&More, Jazz)",8
203,"(Hip-Hop, Reggae)",8
279,"(Alternative&Punk, Country)",8
33,"(Hip-Hop, Electronic&Dance)",7
38,"(R&B&Soul, Religious)",7
49,"(Childrens's, World)",7
58,"(Latin, R&B&Soul)",7
96,"(Reggae, Religious)",7
108,"(Alternative&Punk, Blues)",7
126,"(NewAge, Country)",7
144,"(Classical, Religious)",7
51,"(Alternative&Punk, Alternative&Punk)",6
83,"(Soundtracks&More, R&B&Soul)",6
89,"(Folk, Alternative&Punk)",6
114,"(R&B&Soul, Reggae)",6
124,"(Rock&Pop, Country)",6
146,"(Childrens's, Country)",6
212,"(Religious, Alternative&Punk)",6
219,"(Religious, Rock&Pop)",6
220,"(Classical, Classical)",6
223,"(Jazz, Blues)",6
267,"(Jazz, Country)",6
276,"(Folk, Folk)",6
5,"(Blues, Blues)",5
16,"(World, Childrens's)",5
22,"(Childrens's, Rock&Pop)",5
84,"(Blues, Rock&Pop)",5
88,"(Blues, World)",5
161,"(EasyListening&Vocals, Classical)",5
182,"(World, Jazz)",5
188,"(Reggae, Country)",5
190,"(Hip-Hop, Latin)",5
199,"(Country, R&B&Soul)",5
201,"(NewAge, Religious)",5
208,"(World, Latin)",5
213,"(Childrens's, Folk)",5
246,"(Electronic&Dance, R&B&Soul)",5
257,"(Reggae, Reggae)",5
258,"(Country, Country)",5
285,"(World, World)",5
297,"(Latin, Hip-Hop)",5
6,"(Alternative&Punk, Electronic&Dance)",4
7,"(Religious, Blues)",4
9,"(Electronic&Dance, World)",4
11,"(Latin, EasyListening&Vocals)",4
13,"(Folk, R&B&Soul)",4
26,"(R&B&Soul, R&B&Soul)",4
29,"(Latin, Country)",4
30,"(Electronic&Dance, Childrens's)",4
40,"(Soundtracks&More, Latin)",4
44,"(Blues, NewAge)",4
45,"(R&B&Soul, Blues)",4
55,"(Jazz, Hip-Hop)",4
71,"(Religious, Folk)",4
77,"(Religious, Reggae)",4
79,"(Classical, Blues)",4
