,original vs detected,count
0,"(Rock&Pop, World)",1
1,"(Blues, Blues)",4
2,"(Comedy&SpokenWord, EasyListening&Vocals)",2
3,"(Hip-Hop, Rock&Pop)",2
4,"(Country, Alternative&Punk)",7
5,"(Hip-Hop, Childrens's)",2
6,"(Alternative&Punk, Electronic&Dance)",3
7,"(Religious, Blues)",5
8,"(Hip-Hop, Country)",2
9,"(World, Country)",15
10,"(Electronic&Dance, World)",2
11,"(Latin, EasyListening&Vocals)",1
12,"(Rock&Pop, Folk)",3
13,"(Folk, R&B&Soul)",4
14,"(Blues, Jazz)",2
15,"(Electronic&Dance, Alternative&Punk)",1
16,"(Alternative&Punk, Reggae)",1
17,"(World, Childrens's)",2
18,"(Hip-Hop, Comedy&SpokenWord)",3
19,"(Childrens's, Religious)",1
20,"(Rock&Pop, Hip-Hop)",2
21,"(Childrens's, Rock&Pop)",1
22,"(R&B&Soul, R&B&Soul)",10
23,"(Soundtracks&More, Electronic&Dance)",2
24,"(Rock&Pop, Religious)",2
25,"(EasyListening&Vocals, R&B&Soul)",5
26,"(Latin, Country)",13
27,"(Electronic&Dance, Childrens's)",6
28,"(Rock&Pop, R&B&Soul)",5
29,"(Reggae, NewAge)",1
30,"(Hip-Hop, Electronic&Dance)",3
31,"(Latin, Religious)",3
32,"(NewAge, EasyListening&Vocals)",2
33,"(Blues, Latin)",2
34,"(R&B&Soul, Religious)",7
35,"(Blues, Comedy&SpokenWord)",2
36,"(Alternative&Punk, Folk)",1
37,"(Soundtracks&More, Latin)",7
38,"(Country, Religious)",3
39,"(World, Folk)",4
40,"(Blues, NewAge)",5
41,"(Alternative&Punk, Hip-Hop)",2
42,"(Jazz, Jazz)",8
43,"(Reggae, Rock&Pop)",3
44,"(EasyListening&Vocals, Jazz)",2
45,"(Rock&Pop, Jazz)",2
46,"(Alternative&Punk, Alternative&Punk)",11
47,"(Electronic&Dance, Religious)",1
48,"(Country, Latin)",3
49,"(Latin, Alternative&Punk)",2
50,"(Jazz, Hip-Hop)",2
51,"(Classical, Country)",2
52,"(Latin, R&B&Soul)",3
53,"(Blues, R&B&Soul)",2
54,"(Latin, Folk)",4
55,"(Blues, Classical)",4
56,"(Religious, R&B&Soul)",4
57,"(Alternative&Punk, EasyListening&Vocals)",1
58,"(World, NewAge)",2
59,"(Alternative&Punk, R&B&Soul)",1
60,"(Soundtracks&More, Comedy&SpokenWord)",1
61,"(Jazz, Rock&Pop)",3
62,"(Classical, Comedy&SpokenWord)",1
63,"(Jazz, Folk)",3
64,"(Comedy&SpokenWord, Hip-Hop)",5
65,"(Latin, Childrens's)",3
66,"(Hip-Hop, Soundtracks&More)",1
67,"(EasyListening&Vocals, Religious)",1
68,"(Religious, Folk)",4
69,"(Comedy&SpokenWord, Childrens's)",4
70,"(Comedy&SpokenWord, Folk)",4
71,"(NewAge, Soundtracks&More)",3
72,"(Folk, Rock&Pop)",1
73,"(Soundtracks&More, Country)",6
74,"(NewAge, Alternative&Punk)",3
75,"(Religious, Electronic&Dance)",1
