,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Between_The_Bars/elliott_smith+Either_Or+04-Between_The_Barsmp3, D#, major, 135.676589966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Let_It_Be/nick_cave+I_am_Sam+20-Let_It_Bemp3, C, major, 136.383224487,0.20101196969277757,0.23477100264554152,0.134512322974343,0.28383128295254834,0.882901474882987,0.07631196495595244,0.28449813666577795,0.1989417590286566,0.28709748922482303
2,music/Don_t_Let_It_Bring_You_Down/neil_young+After_the_Goldrush+07-Don_t_Let_It_Bring_You_Downmp3, F, major, 132.990905762,0.2462004292804753,0.1821728541079143,0.2977858008972741,0.2583479789103691,0.9651795934602699,0.114507880296329,0.4121236367293228,0.133324578057918,0.3262053439674841
3,music/Between_The_Bars/glen_phillips+Capitol_Garage+35-Between_The_Barsmp3, C, major, 91.3132629395,0.2392258147898094,0.31263708271533486,0.42765111944860296,0.19859402460456943,0.9528512134071209,0.17441563187871512,0.48185332696397354,0.050281151302096566,0.35468867063877785
4,music/Time/tori_amos+Strange_Little_Girls+07-Timemp3, B, major, 135.985366821,0.17677742677669964,0.21047182003738366,0.4642551115919442,0.4305799648506151,0.8877743389598368,0.15667074972149822,0.46703740588691817,0.1071061444983951,0.3625841202904114
5,music/Enjoy_The_Silence/tori_amos+Strange_Little_Girls+04-Enjoy_the_Silencemp3, A#, major, 163.905609131,0.18087222943423828,0.16688562983867306,0.6129134523298906,0.351493848857645,0.945624346086787,0.159183963701028,0.485894957942726,0.05532363502950844,0.36977400790256204
6,music/Street_Fighting_Man/rolling_stones+Get_Yer_Ya-Ya_s_Out_+10-Street_Fighting_Manmp3, B, major, 135.515930176,0.18689238806113737,0.09522919391141657,0.11500843234556579,0.37434094903339193,0.991315853714106,0.4405824375766106,0.7154799116485966,0.09220826596650199,0.37638217903216586
7,music/Proud_Mary/creedence_clearwater_revival+Live_in_Europe+10-Proud_Marymp3, D, major, 135.161499023,0.3468197619365992,0.2861759380509489,0.15335301292166698,0.24956063268892795,0.9665027765851842,0.29338490648523396,0.631144787291325,0.1001298413241708,0.3783839571605071
8,music/Lodi/creedence_clearwater_revival+Live_in_Europe+08-Lodimp3, A#, major, 132.643798828,0.3254056302250087,0.3001831296780282,0.4576277872390604,0.28295254833040423,0.961800243726729,0.20902550208212997,0.5029158205032078,0.08951808562176825,0.3911785934257921
9,music/Time/tom_waits+Rain_Dogs+09-Timemp3, D, major, 89.5328903198,0.20095799454528465,0.1750246641973776,0.5869679172783979,0.2539543057996485,0.9672898226406268,0.25255533538519953,0.6225172732248087,0.15756203270795038,0.4021036682224118
10,music/Before_You_Accuse_Me/eric_clapton+Unplugged+02-Before_You_Accuse_Memp3, A, major, 99.5403900146,0.33545358402064174,0.3389381581916716,0.7437874423786207,0.2539543057996485,0.9534030202146999,0.14027696941730927,0.4358831486805127,0.04599424837917495,0.4059613596352849
11,music/The_Boxer/paul_simon+Concert_in_the_Park_Disc_2+10-The_Boxermp3, C, major, 104.250892639,0.2410826903734215,0.13133501431110103,0.6994974378653901,0.28031634446397186,0.9500858555090363,0.31776458596582624,0.5996309817509485,0.07881024170993907,0.41231539399370437
12,music/Tush/zz_top+Fandango+09-Tushmp3, C, major, 144.786575317,0.28441237266246594,0.21602162082676957,0.7832597810450821,0.23022847100175747,0.9519026796914299,0.23300957487048307,0.5525084960030197,0.04952663608914876,0.4126087040237696
13,music/Something_So_Right/paul_simon+There_Goes_Rhymin_Simon+04-Something_So_Rightmp3, A#, major, 150.428146362,0.21885044830881228,0.20004988763630965,0.8327811943186052,0.4648506151142355,0.9418088517465131,0.0848291517460417,0.316295152613512,0.24426423839397904,0.41296619248475097
14,music/Happiness_is_a_Warm_Gun/beatles+White_Album_Disc_1+08-Happiness_is_a_Warm_Gunmp3, A, minor, 140.106704712,0.3597855805104487,0.27883926454691454,0.4841786697280029,0.2662565905096661,0.9917379281654914,0.21304276945095693,0.5581466437779978,0.15554490410802027,0.41344154384968734
15,music/I_m_Not_In_Love/tori_amos+Strange_Little_Girls+05-I_m_Not_In_Lovemp3, A#, minor, 136.020126343,0.2114378800307168,0.16327865888173182,0.5081848225127216,0.5369068541300527,0.9582834753359726,0.2313999485328653,0.6464974950510527,0.06987949084508084,0.41573357816502426
16,music/Caroline_No/beach_boys+Pet_Sounds+13-Caroline_Nomp3, C#, major, 152.130386353,0.21852715675180806,0.18673738915777563,0.7419778139847996,0.27065026362038663,0.9468163986618396,0.2047648954300331,0.5379583398146263,0.24580393372969586,0.4191545238938706
17,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.28509833246438626,0.2689846059441456,0.7824905323937816,0.21353251318101935,0.9273732486275376,0.19527267484203822,0.530825804267727,0.1610156912978889,0.4205741753773156
18,music/My_Generation/who+Who_s_Better_Who_s_Best+01-My_Generationmp3, G, minor, 96.4509277344,0.3389906621316853,0.27972248240966,0.7280243191700763,0.24340949033391915,0.9939486526220744,0.24565416802872594,0.509405323190119,0.026690317705515214,0.4207306769489719
19,music/Let_It_Be/beatles+Let_It_Be+06-Let_It_Bemp3, C, major, 137.028686523,0.31417421305726495,0.3590625203547477,0.3772890311634535,0.36291739894551844,0.905654743648007,0.19766040856884615,0.5041822021675078,0.3515581602276522,0.42156233476662475
20,music/I_m_Not_In_Love/10cc+The_Very_Best_of_10cc+07-I_m_Not_In_Lovemp3, D#, major, 133.520217896,0.2145072853957458,0.11968340842156373,0.3911993750615044,0.6318101933216169,0.9636833731640635,0.32484562644638487,0.6087869275737664,0.12646356786748514,0.4226224696565164
21,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.2675137887391473,0.20026287916851526,0.8012741595448081,0.29261862917398945,0.9638115123288675,0.15094448857890788,0.4804706988312156,0.22469791887156992,0.42269925940462766
22,music/Caroline_No/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+11-Caroline_Nomp3, C, major, 143.708587646,0.2536921983967573,0.3838136468975143,0.6455185620006704,0.46309314586994726,0.9348734550222476,0.18498214728873819,0.47976152623364143,0.04678297913338536,0.42406470760536275
23,music/Claudette/roy_orbison+Black_and_White_Night+15-Claudettemp3, E, major, 142.850524902,0.29764467371753,0.21693433594013,0.6730243354307148,0.2609841827768014,0.9673026054640503,0.2865728195688177,0.6212407699777119,0.0836216328111479,0.42591566946086307
24,music/I_Can_t_Get_No_Satisfaction/rolling_stones+Big_Hits+01-_I_Can_t_Get_No_Satisfactionmp3, A, major, 136.35697937,0.42516557412516076,0.366202088624654,0.2996104252132884,0.32073813708260107,0.9775735067411673,0.2814874634966447,0.603006757343542,0.1438499042334786,0.4272042321075671
25,music/More_Than_Words/extreme+The_Best_Of_Extreme+08-More_Than_Wordsmp3, F#, major, 91.5824508667,0.20657834555116886,0.25949882745687425,0.7069881117869514,0.36291739894551844,0.9354522988189218,0.191823306654703,0.4899133051538338,0.2646862641148658,0.4272322323103547
26,music/Little_Wing/eric_clapton+Crossroads_2_Disc_1+08-Little_Wingmp3, A, major, 154.563201904,0.20622801980975541,0.1623601457493146,0.6140737994499568,0.6537785588752196,0.9256933448363107,0.14470811777989012,0.44305156104634175,0.2744577787700066,0.4280439157895995
27,music/Heart_Of_Gold/neil_young+Harvest+04-Heart_Of_Goldmp3, G, major, 85.3595428467,0.2904504297838705,0.20792189785968387,0.7797469411028832,0.20913884007029876,0.976531604602305,0.2607992317194687,0.61064366323423,0.09813807782405082,0.4291713357745988
