,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Day_Tripper/beatles+1+12-Day_Trippermp3, E, major, 137.06993103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Let_It_Be/beatles+1+26-Let_It_Bemp3, C, major, 139.700973511,0.3757047957965049,0.24226346680452585,0.2863582147611997,0.3324175824175824,0.8994661199692636,0.05984927349324418,0.3588723957746139,0.08153642734314429,0.3295585345450099
2,music/Don_t_Let_It_Bring_You_Down/annie_lennox+Medusa+04-Don_t_Let_It_Bring_You_Downmp3, F, major, 137.225463867,0.492311294217228,0.2607236722352416,0.1074970819038044,0.31043956043956045,0.9225229444945001,0.08534465375887622,0.4987231968041553,0.14789206850617362,0.35318180904494245
3,music/Let_It_Be/beatles+Let_It_Be+06-Let_It_Bemp3, C, major, 137.028686523,0.431298977439119,0.3271064893669833,0.29022199247703173,0.36355311355311354,0.9102946312875051,0.05356887077184189,0.32884386931744014,0.21342116407889672,0.36478863853649146
4,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3, B, major, 143.92578125,0.4357214261585213,0.315409143897934,0.49424254517797955,0.3782051282051282,0.9491253665852988,0.053023977501781804,0.3453390248626172,0.06727325741108664,0.37979248372504343
5,music/Let_It_Be/nick_cave+I_am_Sam+20-Let_It_Bemp3, C, major, 136.383224487,0.5551229404023897,0.4560832073713576,0.15766180629798496,0.2976190476190476,0.9036197093815247,0.13623458367244742,0.5783489927583031,0.06698556612820701,0.3939594817039077
6,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.44713105706258344,0.40660276129192763,0.6222584996523561,0.2976190476190476,0.9723332914767746,0.035947643820622974,0.2633580440168101,0.1618451932211872,0.4008869422701637
7,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3, D, major, 107.710151672,0.44502094698359596,0.35898275076989444,0.6772920257176956,0.25,0.9438500424041628,0.0511022567122013,0.34680378268135975,0.13553741757593,0.401073652855605
8,music/I_Can_t_Get_No_Satisfaction/rolling_stones+Big_Hits+01-_I_Can_t_Get_No_Satisfactionmp3, A, major, 136.35697937,0.4403263585698675,0.5063377561250616,0.28822231336081017,0.31135531135531136,0.9324609379308073,0.10348446948658217,0.5573055372417494,0.11227712662660244,0.4064712263370989
9,music/Happiness_is_a_Warm_Gun/beatles+White_Album_Disc_1+08-Happiness_is_a_Warm_Gunmp3, A, minor, 140.106704712,0.4350861952896246,0.4163250144221469,0.3681611199698293,0.2765567765567766,0.9830130117087582,0.12280151658200826,0.5819993125849602,0.07753291823045877,0.4076844831680704
