,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Summer_of_69/mxpx+On_The_Cover+01-Summer_of_69mp3, C, major, 101.593284607,0.2973639860675668,0.1699300255338291,0.28736391001722894,0.27798507462686567,0.9863894000136895,0.046114338931581754,0.5508709232312581,0.157097582004284,0.34663940505328794
2,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3, B, major, 143.92578125,0.3063286543614224,0.32374598473150407,0.5017457084200085,0.39925373134328357,0.9341335967617284,0.013711288344921376,0.20797048778425184,0.21732187197078398,0.363026415464738
3,music/Let_It_Be/beatles+Let_It_Be+06-Let_It_Bemp3, C, major, 137.028686523,0.32586106109245505,0.3575039738682207,0.5265739964494806,0.4207089552238806,0.8661380464439006,0.016597753384942068,0.2634706330036429,0.19174529891456468,0.3710749647976358
4,music/What_s_Going_On/cyndi_lauper+Twelve_Deadly_Cyns+09-What_s_Going_Onmp3, A#, major, 98.9904937744,0.36167791892941303,0.32989622355806286,0.5337675395454761,0.2994402985074627,0.920025758477139,0.03414161472061865,0.43804031087021117,0.11423958483719944,0.3789036561806979
5,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.3696633760324571,0.5551847992925819,0.26521043155033874,0.39738805970149255,0.9311415149835751,0.01817832954694286,0.2842024827569957,0.22118412237811688,0.38026913953031266
6,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3, D, major, 107.710151672,0.30543499382570743,0.2827500738506484,0.5021021849863749,0.3031716417910448,0.9599038264980607,0.0259903375011679,0.35868972857253834,0.30426189054752023,0.3802880846966329
7,music/I_Don_t_Want_To_Miss_A_Thing/aerosmith+Armageddon_Original_Soundtrack_+01-I_Don_t_Want_To_Miss_A_Thingmp3, D, major, 120.863586426,0.26520276666174913,0.3127818893574759,0.6028102161114317,0.40298507462686567,0.9360068682613746,0.02296089147842638,0.3412457875501798,0.18728121050049645,0.3839093380685
8,music/Let_It_Be/beatles+1+26-Let_It_Bemp3, C, major, 139.700973511,0.33052216529958267,0.38988088703541357,0.5296346894886964,0.4039179104477612,0.9004646474119121,0.019421642309341517,0.28943643198173624,0.20900225451012514,0.3840350785605712
9,music/I_Don_t_Want_To_Miss_A_Thing/new_found_glory+From_the_Screen_to_Your_Stereo+03-I_Don_t_Want_To_Miss_A_Thingmp3, D, major, 96.5412216187,0.23691362973747915,0.17298398894127012,0.3706503441683386,0.30223880597014924,0.9781791809087865,0.06621876691713685,0.6738230473331278,0.2772717831015047,0.38478494338472413
10,music/September_Gurls/big_star+Radio_City+10-September_Gurlsmp3, E, major, 112.72151947,0.3742924657199061,0.24871024652533535,0.5748041207792661,0.2835820895522388,0.9526668751268128,0.04179167440482525,0.4734846015566979,0.15137519501153496,0.38758840858457716
11,music/What_s_Going_On/marvin_gaye+Live+12-What_s_Going_Onmp3, A, major, 95.2801818848,0.36618080354033256,0.43215319166165334,0.41110815633785175,0.33488805970149255,0.9794856016732303,0.017993475763935132,0.2691959210516498,0.2998164470040041,0.38885270709176867
12,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.3395131551545966,0.33876019926017614,0.5494553320423599,0.2798507462686567,0.9542163699650061,0.027304924394875325,0.37476777238386516,0.24885403101180603,0.3890903163101677
13,music/I_Can_t_Get_Next_To_You/temptations+The_Temptations_The_Ultimate_Collection+14-I_Can_t_Get_Next_To_Yoump3, F, minor, 108.69228363,0.43366752264949127,0.4184128031309549,0.5883784018966222,0.2733208955223881,0.9867992291433193,0.016434523886978834,0.2431963875174407,0.16430133848993675,0.39056388777964157
14,music/Walking_After_Midnight/garth_brooks+The_Chase+05-Walking_After_Midnightmp3, F, major, 100.239883423,0.42343055626500486,0.47097957926305056,0.5926526553942637,0.30783582089552236,0.9575503514220265,0.016904358647503448,0.25314621665299736,0.1140226368063924,0.39206527191834517
15,music/All_Along_The_Watchtower/dave_matthews_band+Live_At_Red_Rocks_8_15_95_Disc_2+08-All_Along_The_Watchtowermp3, C, major, 112.17678833,0.40089621901824996,0.4328431714404564,0.4198249870115469,0.6110074626865671,0.8957540008748113,0.015458069048521695,0.24855626530871702,0.1195517616594432,0.39298649213103926
16,music/My_Generation/green_day+Kerplunk+16-My_Generationmp3, F, minor, 106.568016052,0.34471781411110725,0.5394424609112556,0.4393105865133653,0.3218283582089552,0.996418055736865,0.031577600532645876,0.3721029073313385,0.10537106008565039,0.39384610542889786
17,music/Grand_Illusion/styx+Return_To_Paradise_Disc_2+01-Grand_Illusionmp3, C#, major, 178.205596924,0.28919956913903894,0.25573551040603826,0.4111610984021636,0.648320895522388,0.9401732151217173,0.02806241344874772,0.36694660261071804,0.21945666361228391,0.39488199603288704
18,music/Strange_Little_Girl/stranglers+The_UA_Singles_79-82+24-Strange_Little_Girlmp3, C, major, 124.326950073,0.45340016524314425,0.41246787245604144,0.46452541578451284,0.291044776119403,0.8947065765362796,0.03930953471250835,0.44323887300489884,0.16055960069961078,0.3949066018195499
19,music/Lady/styx+Return_To_Paradise_Disc_1_+05-Ladymp3, G, major, 128.87399292,0.285395578906459,0.5008007650547589,0.4345253618798655,0.3125,0.9168323374359111,0.03169111214995969,0.404909382943429,0.2740235013759454,0.3950847549682911
20,music/Take_On_Me/mxpx+On_The_Cover+05-Take_On_Memp3, F, major, 102.6434021,0.36865853536564064,0.31706165444356876,0.5460012634222572,0.271455223880597,0.9246638061187362,0.0392945776215102,0.48871336636706586,0.23409493562962025,0.3987429203561245
21,music/Ooby_Dooby/creedence_clearwater_revival+Cosmo_s_Factory+04-Ooby_Doobymp3, E, major, 95.3735733032,0.48106722924110673,0.3943418085620012,0.4818533534337774,0.30223880597014924,0.9896549346961885,0.027949751056221425,0.37408825140975605,0.14122324714277718,0.39905217268899723
22,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.38409734771536885,0.44866470064047065,0.39612106008366,0.3041044776119403,0.9663380621210359,0.04351840502141762,0.5060921610910679,0.1435644098792586,0.3990625780205274
23,music/Tomorrow_Never_Knows/beatles+Revolver+14-Tomorrow_Never_Knowsmp3, F, major, 127.962799072,0.3170558402878217,0.2939331348154471,0.47670517084179553,0.28544776119402987,0.9661884949577659,0.05120300066726504,0.539981289434123,0.28265784885519574,0.40164656763168055
24,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.3929781844043478,0.4186332572709489,0.5610927036722926,0.3162313432835821,0.9503756817463113,0.02941048799834102,0.3718123138185926,0.18026987598444916,0.4026004810223582
