,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Let_It_Be/beatles+Let_It_Be+06-Let_It_Bemp3, C, major, 137.028686523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Let_It_Be/beatles+1+26-Let_It_Bemp3, C, major, 139.700973511,0.1803347133280872,0.17212692296208162,0.0893363276136272,0.1690871369294606,0.34125471503373395,0.01781175478855319,0.11932551254819955,0.1904312538013941,0.15996354212564218
2,music/Let_It_Be/nick_cave+I_am_Sam+20-Let_It_Bemp3, C, major, 136.383224487,0.2221975384097432,0.17814962554015262,0.3232582496954706,0.32987551867219916,0.6885379227771761,0.0666239993792898,0.3511056033595776,0.25488803430120643,0.3018295615168519
3,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3, B, major, 143.92578125,0.325832950924648,0.2955814635111698,0.2409452276266563,0.4139004149377593,0.9510450082798908,0.05253411133882718,0.31344941864304515,0.29173875211045064,0.36062841842155585
4,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3, G, major, 117.453948975,0.20968648054642774,0.2913978205235837,0.5312355878502605,0.4221991701244813,0.9083116285602142,0.049503529724183114,0.2973439277704363,0.23126705161177297,0.36761814958892
5,music/Happiness_is_a_Warm_Gun/beatles+White_Album_Disc_1+08-Happiness_is_a_Warm_Gunmp3, A, minor, 140.106704712,0.25401572740363487,0.15906590099660026,0.19040238398930373,0.44190871369294604,0.9869817333346413,0.12346202468051395,0.5306574479498966,0.28590117929656206,0.37154938891801237
6,music/All_Along_The_Watchtower/dave_matthews_band+Live_At_Red_Rocks_8_15_95_Disc_2+08-All_Along_The_Watchtowermp3, C, major, 112.17678833,0.21976200428846102,0.22192608921936172,0.43006165039407857,0.6753112033195021,0.9084756521893654,0.0632893463311467,0.342651043001163,0.15676686441393028,0.3772804816446261
7,music/Little_Wing/corrs+Talk_on_Corners_Special_Edition+12-Little_Wingmp3, G, major, 140.083862305,0.20297507310216656,0.16525831657291948,0.5721270575121036,0.49896265560165975,0.9618911934990629,0.05904545199330031,0.3329366229740028,0.2669485872521849,0.38251811981342504
8,music/Day_Tripper/beatles+1+12-Day_Trippermp3, E, major, 137.06993103,0.40109789720505573,0.30702768470899944,0.3161135718761698,0.4118257261410788,0.9660407750490374,0.0705175207229502,0.3503477803511552,0.24179306712721596,0.3830955028977079
9,music/Don_t_Let_It_Bring_You_Down/annie_lennox+Medusa+04-Don_t_Let_It_Bring_You_Downmp3, F, major, 137.225463867,0.24621483948431783,0.17421738876032655,0.3214082273081672,0.3921161825726141,0.9449750844469232,0.10372932684874939,0.5039148478877803,0.3955938585331719,0.38527121948025633
10,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.30318561182855497,0.3215768754357473,0.5303180250882567,0.4678423236514523,0.9788675615713769,0.045140501479309,0.2765458401159165,0.18874089942513814,0.38902720482446895
11,music/Something_So_Right/annie_lennox+Medusa+10-Something_So_Rightmp3, C, major, 152.389190674,0.20345008243493257,0.3549955071245316,0.3948555799190541,0.3962655601659751,0.9556150094872843,0.0738846930588721,0.4045750345519144,0.3354461176998166,0.38988594805529764
12,music/Caroline_No/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+11-Caroline_Nomp3, C, major, 143.708587646,0.17027875661384234,0.19352805004384419,0.31006602703434927,0.5197095435684648,0.9261809660152163,0.08231889511769636,0.42226095771494554,0.5205941190966179,0.3931171644006221
13,music/Between_The_Bars/glen_phillips+Capitol_Garage+35-Between_The_Barsmp3, C, major, 91.3132629395,0.2738406785296862,0.1748186983153625,0.3911376007428655,0.4170124481327801,0.9727304215107756,0.08173639102853478,0.43137139142473024,0.48983657551296333,0.40406052564971223
14,music/Something_So_Right/paul_simon+There_Goes_Rhymin_Simon+04-Something_So_Rightmp3, A#, major, 150.428146362,0.2982922762252802,0.30294456403576037,0.6720811971468338,0.5155601659751037,0.946879929976486,0.05056865967670282,0.2863616267810092,0.19517167324600695,0.4084825116328979
15,music/Little_Wing/eric_clapton+Crossroads_2_Disc_1+08-Little_Wingmp3, A, major, 154.563201904,0.2822169035357162,0.3284828889798488,0.405771006063702,0.6721991701244814,0.9516225712837024,0.0885945607281738,0.42672371634764367,0.1327201437113896,0.4110413700968323
16,music/Thin_Line_Between_Love_And_Hate/annie_lennox+Medusa+08-Thin_Line_Between_Love_And_Hatemp3, C, major, 150.035003662,0.23648643315350779,0.20830648721408382,0.7230997548254204,0.5228215767634855,0.8616666504421665,0.09983961572229486,0.43898206048895994,0.20610049719130732,0.4121628844751532
17,music/Night_Time_Is_The_Right_Time/aretha_franklin+Aretha_Now+04-Night_Time_Is_The_Right_Timemp3, F, major, 103.113929749,0.2646485583171791,0.1666938642625398,0.7212588773672117,0.37863070539419086,0.9692172354900815,0.08744263035766968,0.4435977712342938,0.2845104275678482,0.4145000087488769
18,music/More_Than_Words/extreme+The_Best_Of_Extreme+08-More_Than_Wordsmp3, F#, major, 91.5824508667,0.30464148593753854,0.2769559975368518,0.6513034658441099,0.3962655601659751,0.9344073177629191,0.09636880907465696,0.4974508837176759,0.18567696784991472,0.41788381098620525
19,music/Purple_Rain/leann_rimes+Sittin_On_Top_Of_The_World+15-Purple_Rainmp3, D, major, 111.819168091,0.22870978591511334,0.2275310199878396,0.7621678613455545,0.3744813278008299,0.9589058462394198,0.07417995570298375,0.3722436791880555,0.35236089967709167,0.418822546982111
20,music/Yesterday/beatles+1+11-Yesterdaymp3, F, major, 96.8093490601,0.21083696777372837,0.18255279078464445,0.6749136046557319,0.44813278008298757,0.9586065580866335,0.09227236717549814,0.4781697396829277,0.3113247852209501,0.41960119918288763
21,music/I_Don_t_Want_To_Miss_A_Thing/aerosmith+Armageddon_Original_Soundtrack_+01-I_Don_t_Want_To_Miss_A_Thingmp3, D, major, 120.863586426,0.2323453272151267,0.22784922349106398,0.8030870566228158,0.4107883817427386,0.957453177886689,0.08113762806201746,0.42544233163781725,0.25139963354356953,0.42368784502522977
22,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.2943013918845275,0.3289999947780616,0.7770690547491071,0.4284232365145228,0.9595036176738925,0.06773916728703744,0.3511487899639286,0.20443758127880188,0.42645285426623497
23,music/Real_Men/tori_amos+Strange_Little_Girls+12-Real_Menmp3, F#, minor, 111.568817139,0.24731811242906745,0.24932312297089199,0.5843683368043132,0.4242738589211618,0.939423189455635,0.13186620103600089,0.5595943654871754,0.2845658482799323,0.42759162942302226
24,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3, D, major, 107.710151672,0.26891306947009413,0.2154133110691303,0.6090843980659024,0.4149377593360996,0.9718022993473725,0.11214307299017671,0.4517903569214805,0.3827504823595828,0.4283543436949798
25,music/A_Whiter_Shade_Of_Pale/annie_lennox+Medusa+03-A_Whiter_Shade_Of_Palemp3, C, major, 146.054702759,0.2896936684172302,0.20869158843466504,0.6475908185170403,0.533195020746888,0.9300588663049566,0.05849168649369353,0.33313568244093267,0.4270319485224512,0.42848615998473216
26,music/Waiting_In_Vain/annie_lennox+Medusa+09-Waiting_In_Vainmp3, C#, major, 161.648529053,0.23602883058219262,0.20530611538529,0.8344278596290222,0.5757261410788381,0.9205372360775245,0.06119186376765617,0.31719423933878865,0.28994018460217763,0.4300440588076862
27,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.26078934636405987,0.280253132794831,0.7477353536366701,0.3983402489626556,0.9340741965292289,0.08326783594248573,0.4136085348371198,0.3438444400881257,0.4327391361443971
28,music/Strange_Little_Girl/stranglers+The_UA_Singles_79-82+24-Strange_Little_Girlmp3, C, major, 124.326950073,0.360264667522963,0.2935585983835289,0.7254066035823822,0.40767634854771784,0.940959886542187,0.09260690418331873,0.46103635110433516,0.18312676543063525,0.4330795156621335
29,music/A_Whiter_Shade_Of_Pale/procol_harum+Greatest_Hits+2-A_Whiter_Shade_Of_Palemp3, C, major, 148.5909729,0.25840632333221414,0.2041327859938507,0.5930783808964435,0.4263485477178423,0.9246948102317106,0.09326647940131402,0.4809428522960639,0.5040016201155343,0.4356089749981217
