,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Never_Let_Me_Down_Again/smashing_pumpkins+For_The_Masses_A_Tribute_To_Depeche_Mode+01-Never_Let_Me_Down_Againmp3, C, major, 120.019004822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.21219798610256635,0.11049292045317267,0.09775825807839675,0.3104125736738703,0.9312712463473992,0.08166888668615525,0.39491813369247686,0.1156498874325603,0.2817962365583247
2,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.1753687193113795,0.2372291930937664,0.246485528377265,0.381139489194499,0.993698164616413,0.057456125755028516,0.3991713030549826,0.1278138884996958,0.3272953014878787
3,music/Take_Me_To_The_River/talking_heads+Stop_Making_Sense+09-Take_Me_To_The_Rivermp3, E, major, 119.755348206,0.16903029745270862,0.11010987927731823,0.08009235759615617,0.48722986247544203,0.9624403182812716,0.11420965696039183,0.6043026071911737,0.09641217916360377,0.3279783947997582
4,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.266835331752116,0.21251608570737934,0.38334561882929874,0.3330058939096267,0.9332123736244965,0.06553053981946796,0.41015129428216535,0.06192152523602695,0.3333148328950722
5,music/I_Don_t_Want_To_Miss_A_Thing/aerosmith+Armageddon_Original_Soundtrack_+01-I_Don_t_Want_To_Miss_A_Thingmp3, D, major, 120.863586426,0.30316573738913993,0.40930767184273575,0.2053974316119474,0.3889980353634578,0.9512121516386348,0.09689074263666653,0.43272852385380056,0.05979724905522042,0.3559371929239504
6,music/Heart_Of_Gold/tori_amos+Strange_Little_Girls+08-Heart_Of_Goldmp3, E, minor, 120.021446228,0.22540238713059396,0.16847754322246924,0.13420387476623818,0.34970530451866405,0.9388472885187585,0.15074748560531298,0.5937649722107808,0.29806602804877347,0.3574018605026989
7,music/September_Gurls/bangles+Different_Light+09-September_Gurlsmp3, E, major, 117.964355469,0.18162522172797385,0.11235761202002296,0.4194697450561614,0.31237721021611004,0.9683747576208601,0.1952812256876559,0.6833961218637727,0.05000941420787262,0.36536141355005375
8,music/Wish_You_Were_Here/pink_floyd+Wish_You_Were_Here+04-Wish_You_Were_Heremp3, G, major, 120.611488342,0.2108822293371893,0.15546035266776947,0.2443952095153871,0.42829076620825146,0.9385170157470104,0.11216244760305288,0.5557831628875197,0.3007543074079548,0.3682806864217669
9,music/Thin_Line_Between_Love_And_Hate/persuaders+Thin_Line_Between_Love_Hate_Golden_Classics+01-Thin_Line_Between_Love_And_Hatemp3, B, major, 117.390403748,0.24320460207645622,0.1979780881030412,0.37941610043524004,0.3290766208251473,0.8273449176095174,0.18788942371726014,0.7134330013257172,0.08420440826761301,0.37031839529499905
10,music/Train_In_Vain/clash+London_Calling+19-Train_In_Vainmp3, A, major, 121.264533997,0.26088112279157455,0.23374550526587867,0.28816562097744813,0.3143418467583497,0.9706604233667602,0.1852503941679551,0.6470893100532993,0.12794300037810377,0.37850965296992123
11,music/All_Along_The_Watchtower/u2+Rattle_and_Hum+05-All_Along_The_Watchtowermp3, F#, major, 129.032974243,0.23740472505887095,0.1954760486011214,0.6382990493825632,0.3831041257367387,0.9660857192740138,0.07795748371397228,0.4560108725590724,0.08374652845086858,0.3797605690971527
12,music/Stone_Cold_Crazy/metallica+Live_Shit_Binge_And_Purge_Disc_3_+09-Stone_Cold_Crazymp3, G, minor, 126.058242798,0.21310841209223697,0.16624589331904946,0.4464280715161975,0.4911591355599214,0.973421598823166,0.11502271382845299,0.5041511615861628,0.13145223513063772,0.3801236527319781
13,music/Blue_Collar_Man/reo_speedwagon+Arch_Allies_Disc_1+01-Blue_Collar_Manmp3, D, minor, 117.979370117,0.2767929175470003,0.32739776419422784,0.2774868593152891,0.393909626719057,0.956602025904059,0.09185844314734051,0.4705922363862151,0.26784941489882363,0.38281116101400153
