,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Stone_Cold_Crazy/metallica+Live_Shit_Binge_And_Purge_Disc_3_+09-Stone_Cold_Crazymp3, G, minor, 126.058242798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.15003012586408804,0.1659064054035463,0.3361103400049439,0.5275895450145208,0.9905576192748433,0.04057887148938237,0.3438151286216847,0.10792072025963871,0.33281359449158104
2,music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3, D, minor, 126.074867249,0.1928098244204638,0.09616077807525741,0.24097657071021522,0.4975798644724105,0.9520579996534094,0.048672542140248784,0.3804198745872305,0.32853444438844753,0.34215148730596046
3,music/All_Along_The_Watchtower/u2+Rattle_and_Hum+05-All_Along_The_Watchtowermp3, F#, major, 129.032974243,0.12607341850289222,0.1364606446802012,0.39572964709334835,0.515972894482091,0.9707419691561753,0.06070899930642488,0.41566146039097956,0.140038834003747,0.34517348345198245
4,music/All_Along_The_Watchtower/dave_matthews_band+Live_At_Red_Rocks_8_15_95_Disc_2+08-All_Along_The_Watchtowermp3, C, major, 112.17678833,0.12633808852014153,0.16050359977141185,0.3488342857596079,0.6573088092933205,0.9400862754515462,0.039041429748825865,0.3321882899069699,0.17844824310189913,0.3478436276942154
5,music/Grand_Illusion/styx+Return_To_Paradise_Disc_2+01-Grand_Illusionmp3, C#, major, 178.205596924,0.230550086153287,0.23423682801033505,0.4026247242193872,0.7008712487899322,0.9426897182524256,0.023754963345882826,0.223219444440231,0.07042145318056285,0.35354605829900554
6,music/White_Room/cream+Live_Cream_Volume_II+02-White_Roommp3, G, major, 111.811828613,0.12039087298240847,0.12425281256786173,0.3226698934155024,0.5014520813165537,0.9435887874746769,0.06576360778614149,0.4553171956801473,0.3273918828487778,0.35760339175900874
7,music/Proud_Mary/tina_turner+Tina_Live_In_Europe_CD_2_+07-Proud_Marymp3, D, major, 172.265701294,0.13652344419459597,0.11304280462221096,0.5464207014246076,0.4878993223620523,0.9482680622477083,0.03692973436207147,0.3108368961218224,0.2913833861036399,0.35891304392983864
8,music/Lady/reo_speedwagon+Arch_Allies_Disc_1+04-Ladymp3, G, major, 123.310401917,0.2169075621748169,0.3489386897898358,0.1929653636734969,0.5237173281703775,0.9384322445904851,0.039542666292926194,0.35197353099318285,0.3082220965281526,0.36508743527665927
9,music/Street_Fighting_Man/rolling_stones+Get_Yer_Ya-Ya_s_Out_+10-Street_Fighting_Manmp3, B, major, 135.515930176,0.1351223214232279,0.18518259973848739,0.5287698499251146,0.5062923523717329,0.9578430870106514,0.04540625792525025,0.3686796935671218,0.21148999011463984,0.36734826900952827
