,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Thin_Line_Between_Love_And_Hate/persuaders+Thin_Line_Between_Love_Hate_Golden_Classics+01-Thin_Line_Between_Love_And_Hatemp3, B, major, 117.390403748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/September_Gurls/bangles+Different_Light+09-September_Gurlsmp3, E, major, 117.964355469,0.19030610396084185,0.17047081374911408,0.29100794063258617,0.2585410895660203,0.9726785916516147,0.02959626709194569,0.2578606213232033,0.07607677833586023,0.28081727578889826
2,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3, A, major, 117.590515137,0.20953880027302205,0.11896356856347365,0.17524901719667116,0.247460757156048,0.9521487762561707,0.07898101478069094,0.42936186267583243,0.09582458914500824,0.2884410482558646
3,music/Take_Me_To_The_River/talking_heads+Stop_Making_Sense+09-Take_Me_To_The_Rivermp3, E, major, 119.755348206,0.23050508251372107,0.17465775633986608,0.3359675838588364,0.5050784856879039,0.9777327829552945,0.028639980298050316,0.25267583515541164,0.0529821061486093,0.3197799516197117
4,music/Caroline_No/beach_boys+Pet_Sounds+13-Caroline_Nomp3, C#, major, 152.130386353,0.2595263237701606,0.19191228656836903,0.6880381490469104,0.29270544783010155,0.9072082414948279,0.02975796135277849,0.2447187371062219,0.06528989682615559,0.3348946304994407
5,music/Happiness_is_a_Warm_Gun/beatles+White_Album_Disc_1+08-Happiness_is_a_Warm_Gunmp3, A, minor, 140.106704712,0.28004455799543254,0.19467996663791762,0.6400612393552374,0.2880886426592798,0.9667725017474335,0.034681663435583175,0.26542627797655666,0.10689697009317604,0.3470814774875771
6,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3, B, minor, 120.899589539,0.2165235782791803,0.179624040580351,0.42986389321977103,0.3010156971375808,0.9862544085878309,0.09149177892923553,0.5116541106691868,0.07246312653916762,0.348611329242788
7,music/Wish_You_Were_Here/pink_floyd+Wish_You_Were_Here+04-Wish_You_Were_Heremp3, G, major, 120.611488342,0.24724825632308586,0.21609037533719827,0.384203948627781,0.42105263157894735,0.9395227610133992,0.03806205067234462,0.30151255394439413,0.25039367792009604,0.34976078192715576
8,music/Straight_From_The_Heart/bonnie_tyler+Faster_Than_The_Speed_Of_Night+09-Straight_From_The_Heartmp3, C#, major, 89.099647522,0.23924482530543495,0.18243694750467324,0.747350943768554,0.25761772853185594,0.937385513646068,0.04050211183683903,0.3279589296228309,0.0735623864197625,0.3507574233295023
9,music/Real_Men/joe_jackson+Night_and_Day+08-Real_Menmp3, G, major, 112.984703064,0.2692100792974,0.3000520750456557,0.48726902530371874,0.3028624192059095,0.925050673417256,0.039711044242876636,0.3189156783362979,0.16628636257249002,0.3511696696777006
10,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3, E, major, 120.022094727,0.27755387987872326,0.1932727541783667,0.37547025877532203,0.2853185595567867,0.948708902342094,0.1433728115839282,0.5196630829465421,0.08129593950164496,0.353082023595426
11,music/Don_t_Let_It_Bring_You_Down/neil_young+After_the_Goldrush+07-Don_t_Let_It_Bring_You_Downmp3, F, major, 132.990905762,0.2709417048094917,0.25338674024987257,0.6990274498356538,0.2585410895660203,0.9561710390149774,0.03354789161809583,0.2627071753342198,0.1427461863296315,0.35963365959474536
