,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Waiting_In_Vain/bob_marley_the_wailers+Legend+10-Waiting_in_Vainmp3, C#, major, 155.625091553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Claudette/everly_brothers+The_Fabulous_Style_of+01-Claudettemp3, E, major, 155.37802124,0.4742291351431586,0.3817350337597471,0.22041637499340203,0.4827245804540967,0.9667152909040565,0.1919060001574735,0.43019485170000155,0.12075205539314611,0.40858416531313524
2,music/Caroline_No/beach_boys+Pet_Sounds+13-Caroline_Nomp3, C#, major, 152.130386353,0.46315028216169746,0.3742348423497307,0.45404726352408314,0.4738400789733465,0.9468955913233823,0.1730566352543554,0.37832157000851335,0.14639222063823668,0.42624231052916817
3,music/Thin_Line_Between_Love_And_Hate/persuaders+Thin_Line_Between_Love_Hate_Golden_Classics+01-Thin_Line_Between_Love_And_Hatemp3, B, major, 117.390403748,0.44509252854865916,0.35450899751571585,0.730038163427964,0.47186574531095754,0.9422582387410292,0.08698005214113912,0.24773284469014123,0.185779027235511,0.43303194970138964
4,music/Something_So_Right/paul_simon+There_Goes_Rhymin_Simon+04-Something_So_Rightmp3, A#, major, 150.428146362,0.4519410868954462,0.35494472763443985,0.6974993884874994,0.49654491609081935,0.9615738162006091,0.09914917541489997,0.2691275882754064,0.1599172241811947,0.43633724039753935
5,music/Summertime_Blues/alan_jackson+Who_I_Am+01-Summertime_Bluesmp3, D, major, 161.812835693,0.5073383671239609,0.41959655748307345,0.42001257372854506,0.4777887462981244,0.981865891302275,0.13336769356377678,0.34154147717185224,0.28717398578767694,0.4460856615574106
6,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3, D, major, 95.158454895,0.4579421791654009,0.3847941081818289,0.5940352593334256,0.49950641658440276,0.9919728469232328,0.1725959596536869,0.3711446682340104,0.10507863218136583,0.4471337587821693
7,music/Let_It_Be/beatles+Let_It_Be+06-Let_It_Bemp3, C, major, 137.028686523,0.4575010175703973,0.4089230992362896,0.6538542406594964,0.4827245804540967,0.857002881322815,0.1228472519084711,0.34579550832113487,0.25073258535854925,0.44742264560390627
8,music/Something_So_Right/annie_lennox+Medusa+10-Something_So_Rightmp3, C, major, 152.389190674,0.45455340037370684,0.5651143262460792,0.4272778580020238,0.4856860809476802,0.9729560300894702,0.150954095771573,0.36554592823321636,0.18257759221336134,0.4505831639846388
9,music/All_Along_The_Watchtower/dave_matthews_band+Live_At_Red_Rocks_8_15_95_Disc_2+08-All_Along_The_Watchtowermp3, C, major, 112.17678833,0.4721577702897748,0.39138390375593135,0.604631242873232,0.5942744323790721,0.93908761453392,0.1386299280367484,0.33805623219650655,0.12756795221609638,0.4507236345351601
