,"original vs detected","count",,,,,,,
195,"(Classical, Classical)",19,,,,,,,
249,"(Comedy&SpokenWord, Comedy&SpokenWord)",14,,,,,,,
42,"(Jazz, Jazz)",12,,,,,,,
244,"(Electronic&Dance, Electronic&Dance)",12,,,,,,,
143,"(Alternative&Punk, Rock&Pop)",12,,,,,,,
231,"(Reggae, Reggae)",10,,,,,,,
201,"(Hip-Hop, R&B&Soul)",10,,,,,,,
93,"(Folk, Jazz)",10,,,,,,,
48,"(Latin, Alternative&Punk)",9,,,,,,,
123,"(Childrens's, Jazz)",9,,,,,,,
236,"(World, Religious)",8,,,,,,,
41,"(World, Folk)",8,,,,,,,
11,"(World, Country)",8,,,,,,,
148,"(Rock&Pop, Rock&Pop)",8,,,,,,,
85,"(Religious, Jazz)",8,,,,,,,
227,"(Latin, Jazz)",8,,,,,,"(Classical, Classical)",19
254,"(Folk, Folk)",8,,,,,,"(Classical, Soundtracks&More)",5
125,"(Electronic&Dance, Rock&Pop)",8,,,,,,"(Classical, EasyListening&Vocals)",5
147,"(EasyListening&Vocals, Classical)",8,,,,,,"(Classical, World)",4
40,"(Blues, NewAge)",8,,,,,,"(Classical, Religious)",3
66,"(Religious, Folk)",7,,,,,,"(Classical, Jazz)",3
229,"(Reggae, Hip-Hop)",7,,,,,,"(Classical, Comedy&SpokenWord)",3
216,"(R&B&Soul, Jazz)",7,,,,,,"(Classical, Latin)",2
124,"(NewAge, Jazz)",7,,,,,,"(Classical, Folk)",2
29,"(NewAge, Classical)",7,,,,,,"(Classical, Rock&Pop)",1
43,"(EasyListening&Vocals, Jazz)",7,,,,,,"(Classical, NewAge)",1
134,"(Country, Jazz)",7,,,,,,"(Classical, Blues)",1
233,"(Country, Country)",7,,,,,,"(Classical, Alternative&Punk)",1
3,"(Country, Alternative&Punk)",7,,,,,,,
52,"(Blues, Classical)",7,,,,,,,
257,"(Alternative&Punk, Country)",7,,,,,,,
162,"(Soundtracks&More, World)",6,,,,,,,
113,"(Rock&Pop, Country)",6,,,,,,,
193,"(Religious, Rock&Pop)",6,,,,,,,
188,"(Religious, Alternative&Punk)",6,,,,,,,
207,"(Reggae, Alternative&Punk)",6,,,,,,"(Rock&Pop, Rock&Pop)",8
128,"(R&B&Soul, Country)",6,,,,,,"(Rock&Pop, Country)",6
198,"(Jazz, Blues)",6,,,,,,"(Rock&Pop, Blues)",5
212,"(Hip-Hop, Blues)",6,,,,,,"(Rock&Pop, Jazz)",4
225,"(Folk, Country)",6,,,,,,"(Rock&Pop, World)",3
80,"(Folk, Alternative&Punk)",6,,,,,,"(Rock&Pop, Soundtracks&More)",3
186,"(EasyListening&Vocals, EasyListening&Vocals)",6,,,,,,"(Rock&Pop, Religious)",3
38,"(Country, Religious)",6,,,,,,"(Rock&Pop, Classical)",3
206,"(Comedy&SpokenWord, Jazz)",6,,,,,,"(Rock&Pop, Childrens's)",3
111,"(Comedy&SpokenWord, Blues)",6,,,,,,"(Rock&Pop, Folk)",2
130,"(Childrens's, Country)",6,,,,,,"(Rock&Pop, Electronic&Dance)",2
77,"(Blues, EasyListening&Vocals)",6,,,,,,"(Rock&Pop, Comedy&SpokenWord)",2
104,"(Alternative&Punk, Religious)",6,,,,,,"(Rock&Pop, Alternative&Punk)",2
4,"(Soundtracks&More, NewAge)",5,,,,,,"(Rock&Pop, R&B&Soul)",1
199,"(Soundtracks&More, EasyListening&Vocals)",5,,,,,,"(Rock&Pop, NewAge)",1
117,"(Soundtracks&More, Alternative&Punk)",5,,,,,,"(Rock&Pop, Latin)",1
238,"(Rock&Pop, Blues)",5,,,,,,"(Rock&Pop, EasyListening&Vocals)",1
9,"(Religious, Blues)",5,,,,,,,
