,original vs detected,count
0,"(Soundtracks&More, NewAge)",1
1,"(Blues, Blues)",5
2,"(Hip-Hop, Rock&Pop)",3
3,"(Comedy&SpokenWord, Electronic&Dance)",3
4,"(Country, Alternative&Punk)",12
5,"(Hip-Hop, Childrens's)",1
6,"(Alternative&Punk, Electronic&Dance)",1
7,"(Religious, Blues)",2
8,"(Hip-Hop, Country)",2
9,"(World, Country)",12
10,"(Electronic&Dance, World)",3
11,"(Latin, EasyListening&Vocals)",2
12,"(Rock&Pop, Folk)",2
13,"(Folk, R&B&Soul)",2
14,"(Blues, Jazz)",6
15,"(World, Childrens's)",1
16,"(Electronic&Dance, Alternative&Punk)",4
17,"(Hip-Hop, Comedy&SpokenWord)",4
18,"(Childrens's, Religious)",5
19,"(Childrens's, Rock&Pop)",2
20,"(R&B&Soul, R&B&Soul)",6
21,"(Rock&Pop, Religious)",1
22,"(EasyListening&Vocals, R&B&Soul)",1
23,"(Latin, Country)",6
24,"(Electronic&Dance, Childrens's)",4
25,"(Rock&Pop, R&B&Soul)",2
26,"(Reggae, NewAge)",1
27,"(Hip-Hop, Electronic&Dance)",2
28,"(Latin, Religious)",6
29,"(NewAge, Classical)",6
30,"(NewAge, EasyListening&Vocals)",6
31,"(Blues, Latin)",2
32,"(R&B&Soul, Religious)",3
33,"(Blues, Comedy&SpokenWord)",4
34,"(Alternative&Punk, Folk)",1
35,"(Soundtracks&More, Latin)",2
36,"(World, Classical)",1
37,"(Country, Religious)",4
38,"(R&B&Soul, Blues)",5
39,"(Blues, NewAge)",2
40,"(World, Folk)",8
41,"(Jazz, Jazz)",8
42,"(Reggae, Rock&Pop)",2
43,"(EasyListening&Vocals, Jazz)",6
44,"(Childrens's, World)",1
45,"(Rock&Pop, Jazz)",8
46,"(Alternative&Punk, Alternative&Punk)",11
47,"(Electronic&Dance, Religious)",1
48,"(Country, Latin)",5
49,"(Jazz, Comedy&SpokenWord)",5
50,"(Latin, Alternative&Punk)",7
51,"(Latin, R&B&Soul)",2
52,"(Alternative&Punk, Childrens's)",2
53,"(Latin, Folk)",2
54,"(Blues, Classical)",5
55,"(EasyListening&Vocals, Electronic&Dance)",1
56,"(Alternative&Punk, EasyListening&Vocals)",2
57,"(World, NewAge)",2
58,"(Alternative&Punk, R&B&Soul)",1
59,"(Jazz, Rock&Pop)",3
60,"(Classical, Comedy&SpokenWord)",2
61,"(Jazz, Folk)",4
62,"(Comedy&SpokenWord, Hip-Hop)",1
63,"(Latin, Childrens's)",3
64,"(EasyListening&Vocals, Religious)",3
65,"(Religious, Folk)",3
66,"(Comedy&SpokenWord, Childrens's)",3
67,"(Hip-Hop, Soundtracks&More)",1
68,"(Comedy&SpokenWord, Folk)",1
69,"(NewAge, Soundtracks&More)",4
70,"(Folk, Rock&Pop)",5
71,"(Soundtracks&More, Country)",6
72,"(NewAge, Alternative&Punk)",2
73,"(Soundtracks&More, R&B&Soul)",2
74,"(Comedy&SpokenWord, Reggae)",3
75,"(Blues, Rock&Pop)",3
76,"(Electronic&Dance, Blues)",2
77,"(Blues, EasyListening&Vocals)",3
78,"(Folk, Alternative&Punk)",4
79,"(Rock&Pop, NewAge)",1
80,"(Classical, EasyListening&Vocals)",4
81,"(NewAge, Childrens's)",3
82,"(Alternative&Punk, Comedy&SpokenWord)",1
83,"(Religious, Jazz)",5
84,"(Childrens's, Comedy&SpokenWord)",3
85,"(R&B&Soul, Hip-Hop)",3
86,"(Reggae, Religious)",3
87,"(Reggae, R&B&Soul)",6
88,"(Soundtracks&More, Blues)",5
89,"(World, Blues)",1
90,"(Jazz, Alternative&Punk)",2
91,"(Folk, Jazz)",4
92,"(EasyListening&Vocals, Blues)",1
93,"(World, EasyListening&Vocals)",3
94,"(Religious, Religious)",3
95,"(Reggae, Blues)",2
96,"(Jazz, R&B&Soul)",3
97,"(Alternative&Punk, World)",2
98,"(Rock&Pop, Soundtracks&More)",3
99,"(Country, Folk)",3
100,"(Alternative&Punk, Blues)",3
101,"(Alternative&Punk, Religious)",4
102,"(Classical, NewAge)",7
103,"(R&B&Soul, Reggae)",2
104,"(Hip-Hop, Jazz)",3
105,"(World, R&B&Soul)",1
106,"(Comedy&SpokenWord, Blues)",2
107,"(R&B&Soul, Comedy&SpokenWord)",5
108,"(Rock&Pop, Country)",7
109,"(Reggae, Jazz)",3
110,"(NewAge, Country)",3
111,"(R&B&Soul, Latin)",2
112,"(R&B&Soul, EasyListening&Vocals)",4
113,"(Soundtracks&More, Alternative&Punk)",5
114,"(R&B&Soul, Rock&Pop)",1
115,"(Alternative&Punk, Latin)",1
116,"(Latin, NewAge)",3
