,original vs detected,count
0,"(Strange_Little_Girl, Strange_Little_Girl)",1
1,"(Blue_Collar_Man, Blue_Collar_Man)",1
2,"(We_Can_Work_It_Out, We_Can_Work_It_Out)",1
3,"(I_Can_t_Get_Next_To_You, I_Can_t_Get_Next_To_You)",1
4,"(Straight_From_The_Heart, Straight_From_The_Heart)",1
5,"(God_Only_Knows, God_Only_Knows)",1
6,"(A_Whiter_Shade_Of_Pale, A_Whiter_Shade_Of_Pale)",1
7,"(Grand_Illusion, Grand_Illusion)",1
8,"(Time, Time)",1
9,"(Purple_Rain, Purple_Rain)",1
10,"(Let_It_Be, Let_It_Be)",1
11,"(All_Along_The_Watchtower, All_Along_The_Watchtower)",1
12,"(Downtown_Lights, Downtown_Lights)",1
13,"(Lady, Lady)",1
14,"(White_Room, White_Room)",1
15,"(Night_Time_Is_The_Right_Time, Night_Time_Is_The_Right_Time)",1
16,"(I_Love_You, I_Love_You)",1
