,original vs detected,count
0,"(Strange_Little_Girl, Strange_Little_Girl)",1
1,"(Never_Let_Me_Down_Again, Never_Let_Me_Down_Again)",1
2,"(Blue_Collar_Man, Blue_Collar_Man)",1
3,"(Straight_From_The_Heart, Straight_From_The_Heart)",1
4,"(God_Only_Knows, God_Only_Knows)",1
5,"(A_Whiter_Shade_Of_Pale, A_Whiter_Shade_Of_Pale)",1
6,"(River_Deep_Mountain_High, River_Deep_Mountain_High)",1
7,"(Time, Time)",1
8,"(Purple_Rain, Purple_Rain)",1
9,"(Toys_In_The_Attic, Toys_In_The_Attic)",1
10,"(Let_It_Be, Let_It_Be)",2
11,"(All_Along_The_Watchtower, All_Along_The_Watchtower)",1
12,"(I_m_Losing_You, I_m_Losing_You)",1
13,"(Downtown_Lights, Downtown_Lights)",1
14,"(Don_t_Let_It_Bring_You_Down, Don_t_Let_It_Bring_You_Down)",1
15,"(September_Gurls, September_Gurls)",1
16,"(Lady, Lady)",1
17,"(Abracadabra, Abracadabra)",1
18,"(White_Room, White_Room)",1
19,"(More_Than_Words, More_Than_Words)",1
20,"(I_Love_You, I_Love_You)",1
21,"(Lodi, Lodi)",1
