,original vs detected,count
0,"(Never_Let_Me_Down_Again, Never_Let_Me_Down_Again)",1
1,"(Blue_Collar_Man, Blue_Collar_Man)",1
2,"(We_Can_Work_It_Out, We_Can_Work_It_Out)",1
3,"(Straight_From_The_Heart, Straight_From_The_Heart)",1
4,"(Walking_After_Midnight, Walking_After_Midnight)",1
5,"(God_Only_Knows, God_Only_Knows)",1
6,"(She_Came_In_Through_The_Bathroom_Window, She_Came_In_Through_The_Bathroom_Window)",1
7,"(River_Deep_Mountain_High, River_Deep_Mountain_High)",1
8,"(Grand_Illusion, Grand_Illusion)",1
9,"(Wish_You_Were_Here, Wish_You_Were_Here)",1
10,"(Addicted_To_Love, Addicted_To_Love)",1
11,"(Let_It_Be, Let_It_Be)",2
12,"(Take_On_Me, Take_On_Me)",1
13,"(I_m_Losing_You, I_m_Losing_You)",1
14,"(Downtown_Lights, Downtown_Lights)",1
15,"(Don_t_Let_It_Bring_You_Down, Don_t_Let_It_Bring_You_Down)",1
16,"(September_Gurls, September_Gurls)",1
17,"(Lady, Lady)",1
18,"(Between_The_Bars, Between_The_Bars)",1
19,"(Abracadabra, Abracadabra)",1
20,"(I_Love_You, I_Love_You)",1
21,"(More_Than_Words, More_Than_Words)",1
22,"(Come_Together, Come_Together)",1
