,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Classical/Sun_Cult-The_Ritualmp3,0.0, B, major,0.0, 104.9712677,0.0,0.0,0.0,0.0,0.0
1,music/Latin/Papy_Sala-Te_Fuiste_Amormp3,0.1971119509661331, F, major,0.25750500333555704, 104.935852051,0.044203303726871084,0.06298479254018512,0.8831083867677715,2.4030862349394684e-05,0.24082291136647785
2,music/EasyListening&Vocals/Goyamoon-Mr_Solo_Manmp3,0.2540994819486209, E, minor,0.24549699799866578, 105.029289246,0.03718432026440359,0.12250123746156438,0.7885388172386988,1.7821099306356677e-05,0.24130644600187665
3,music/Folk/Patti_Witten-Black_Butterflymp3,0.19456319789270504, A, major,0.2555036691127418, 105.999259949,0.2634732937098802,0.03907890424419279,0.8310262297735442,9.06674227403909e-06,0.26394239357922306
4,music/Country/Davey_T_Hamilton-Amymp3,0.29175851817633375, G, major,0.2501667778519013, 104.947105408,0.03739687907158311,0.08705830331327165,0.9475920552182113,1.7656120481772655e-05,0.2689983649586305
5,music/Hip-Hop/L__of__Khemistry-Got_that_BOMBmp3,0.23257592965547183, D#, minor,0.2448298865910607, 105.060432434,0.07286957472756615,0.12669383086082944,0.9517964747000522,7.950848569919071e-06,0.271462274563925
6,music/R&B&Soul/stefan-Little_Buddhamp3,0.29832298320323836, D, major,0.27885256837891925, 105.273651123,0.08687862505364169,0.05048310572397943,0.9601691216921039,8.75229158279062e-06,0.2791191927239109
7,music/EasyListening&Vocals/Hope-The_Endmp3,0.16650126007801797, D, minor,0.27084723148765844, 104.827583313,0.23608073407796584,0.09590454742035362,0.905606245476183,2.202237708879088e-05,0.27916034015287794
8,music/R&B&Soul/JOB-Prisoner_Of_My_Mindmp3,0.20689942444960543, D#, major,0.29553035356904606, 105.053787231,0.2928975260668541,0.07009503538129547,0.8319971925660089,3.637829922416589e-05,0.28290931838867234
9,music/Soundtracks&More/Bah__the_Humbugs-Hurricane_Santamp3,0.23626572757281322, D, major,0.24883255503669113, 105.048660278,0.20580591518043181,0.06720161167605322,0.9397377799592507,1.4194261855880234e-05,0.2829762972811827
10,music/Folk/Tyler_Azelton-Anastasiamp3,0.18516954089645843, C, major,0.2901934623082055, 105.041816711,0.25828560499485004,0.11391457900227574,0.8502754864992498,3.1735158799483925e-05,0.28297840147663983
11,music/Soundtracks&More/Factory_Of_Angst-LA_FRY_A_THINmp3,0.30457401548005686, D#, minor,0.24816544362908605, 104.745193481,0.13396372164937664,0.05787257611543261,0.9534544669418016,1.720271016454111e-05,0.2830079044209864
12,music/Religious/JADE_TRINI_GORING-ON_MY_KNEESmp3,0.2250788785365919, B, minor,0.2501667778519013, 104.783119202,0.29128052245740355,0.031073570137210127,0.9090987080165844,1.4525153749227443e-05,0.2844521636922401
13,music/R&B&Soul/Goapele-Go_Find_A_Waymp3,0.3737208366064206, D#, major,0.25883922615076715, 104.977783203,0.1038171558025862,0.042860107218656594,0.9465066518442536,8.036731210166659e-06,0.287625335725649
