,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/World/Jonathan_Ramsey-Star_of_the_County_Downmp3,0.0, G, major,0.0, 92.949760437,0.0,0.0,0.0,0.0,0.0
1,music/Religious/Randy_Vild-Glorifiedmp3,0.25247635216209363, C, major,0.13295526149968495, 92.9845962524,0.1001559209041521,0.06500178382576424,0.8852168283035394,6.263964756657426e-06,0.23930206844333182
2,music/Folk/Rockridge_Brothers-Down_on_my_kneesmp3,0.22845518346175048, A, major,0.22117202268431002, 93.0697784424,0.04441491507245646,0.05424902122845965,0.892853238612986,5.765257991161837e-06,0.24019169105299232
3,music/NewAge/Gomuband-Hikingmp3,0.295768884301488, A, major,0.11279143037177064, 93.4069519043,0.13461586340200352,0.02642928933331569,0.895987518118086,6.125580315311315e-06,0.24426651851782988
4,music/Rock&Pop/Steve_Turner-I_Want_You_In_My_Armsmp3,0.25177384353409604, A#, major,0.10649023314429741, 92.8934555054,0.0764370996960422,0.1382401180463452,0.9092591218685762,6.301520021549786e-06,0.2470344529682298
5,music/Latin/Maria_Isabel-Mr_Recordarasmp3,0.22709649526033535, G, major,0.129174543163201, 93.0823287964,0.15463981831942233,0.09939977613538008,0.8728939692791833,7.862049695900524e-06,0.24720207736786967
6,music/Alternative&Punk/Iron_and_Wine-Jesus_the_Mexican_Boymp3,0.2263854781023515, F#, major,0.17958412098298676, 92.5230026245,0.1234427444493376,0.0763703056033674,0.8954522761250592,1.1043412624607035e-05,0.25020766144595447
7,music/Country/Holdem-On_The_Night_That_We_Fell_In_Lovemp3,0.2611926991851222, D, major,0.14996849401386264, 93.9596557617,0.1586926112886228,0.06129735959857728,0.8781743110990919,7.4544312987295156e-06,0.25155548826942925
8,music/Alternative&Punk/Midpoint-Perfecting_the_Art_of_Indifferencemp3,0.18143608927593585, E, major,0.15059861373660996, 93.0982513428,0.16876055289234126,0.08941817252775999,0.9195018508817695,1.5097479271191013e-05,0.2516217294656146
9,music/Religious/Rebecca_Anne-Never_Walk_Alonemp3,0.2800415520916578, C, major,0.16068052930056712, 92.9117202759,0.1655093513203227,0.08502091902567657,0.8214194920601131,6.4017035953506255e-06,0.2521130409169888
10,music/Blues/Isabelle-Am_I_Too_Bluemp3,0.21990783194734964, C, major,0.13799621928166353, 93.9981536865,0.22766631832556572,0.035435857849698556,0.9004384232015405,8.767191690683076e-06,0.2535755696329181
11,music/Blues/the_Hollywood_Combo-Were_Gonna_Have_A_Party_Tonightmp3,0.29187539403633433, C#, major,0.11090107120352867, 92.3661346436,0.15065275694952351,0.04587056634898791,0.9256681395949409,8.041254438893611e-06,0.2541626615646257
12,music/Country/TROUBADOUR_TUNES-TONIGHT_WERE_CALLING_IT_A_DAYmp3,0.2526101819815709, G, major,0.14429741650913674, 92.6376953125,0.12927271562281814,0.10376201474086431,0.9206685944685584,4.3610295497229746e-06,0.2584358807254164
13,music/Reggae/Ruskabank-Give_It_Upmp3,0.24220744866745106, G, major,0.13106490233144297, 91.6451339722,0.22522523614875287,0.044542706128998,0.9158733576420226,9.213784523716457e-06,0.2598204774505319
14,music/Jazz/Bossa_Deep_Groove-Choro_Cafeinamp3,0.26608334129058603, D, minor,0.17580340264650285, 92.7970352173,0.13298076460871658,0.05916634942898914,0.9357767346586978,8.352920795322301e-06,0.2616364909257146
15,music/Country/Robert_Allen-Its_A_Cats_Lifemp3,0.2972518057450813, A, major,0.1632010081915564, 92.7790222168,0.1551137890911035,0.03837767111579786,0.9244459283129184,7.76369377168417e-06,0.26306632769170485
16,music/Religious/Jacob_Swann-Slide_on_out_slide_on_inmp3,0.32054126262755067, C#, minor,0.10964083175803403, 92.9888763428,0.09999318837946158,0.07642954592261368,0.9722863623727995,1.1993090433807285e-05,0.26315053069181554
17,music/Jazz/Pamela_Hart-Catch_Yourselfmp3,0.2092800904489379, G#, minor,0.16194076874606175, 93.2102355957,0.08035142384425015,0.15159487425343118,0.9762168598951212,6.19764370373274e-06,0.2632317024719177
18,music/World/Akoya_Afrobeat-star_warsmp3,0.28436423349982776, B, minor,0.13169502205419029, 92.2368850708,0.15459331176463867,0.05299885879259,0.9591572762901281,7.76495186743438e-06,0.2638027445588737
19,music/Rock&Pop/American_Music_Club-Another_Morningmp3,0.27091131187083123, E, major,0.11531190926275993, 91.9775848389,0.2335133454950938,0.05025241601090076,0.9237193241403399,9.286207122620923e-06,0.2656195988311747
20,music/Alternative&Punk/Atreyu-Bleeding_Mascaramp3,0.22365423997675582, C, minor,0.10522999369880277, 94.4596710205,0.19682236824094856,0.08999937909631031,0.9791982531054768,2.178068564055784e-05,0.2658210024673225
21,music/Soundtracks&More/Dean_Krippaehne-Poolside_Yuletidemp3,0.24695333695841684, F, major,0.11846250787649654, 91.9211883545,0.2395016976239731,0.07860112264815763,0.9138060255468113,6.891617888647542e-06,0.26622193037862396
22,music/Soundtracks&More/Two_Harps-O_Come_All_Ye_Faithfulmp3,0.32304263987783927, G, major,0.12224322621298046, 94.6237716675,0.22365198891775206,0.06685538491448324,0.8673991622453662,3.589478160946452e-05,0.26720471615833846
23,music/Childrens's/Kids_Zong_of_the_Week-Its_Raining_Too_Hardmp3,0.25284226247339614, C, major,0.11657214870825457, 91.9417266846,0.27115291096543725,0.07751567781816479,0.8876484811331161,3.963182739439736e-06,0.2676225740468514
24,music/World/Flamenco-Taqui_Taquimp3,0.21740121030901327, F, major,0.19848771266540643, 93.178565979,0.19890241836240452,0.05784176761440999,0.9351896368656757,7.613956261075854e-06,0.2679717266288619
25,music/Blues/Flying_Tom-Leaving_the_citymp3,0.23520723514904637, A, minor,0.1146817895400126, 92.8142700195,0.26973454187864065,0.042102410429553386,0.9468468993698935,1.2236219498216035e-05,0.26809751876444077
26,music/Religious/Randy_Vild-Pass_Over_Memp3,0.25977012084549805, G, major,0.2180214240705734, 92.9769897461,0.23364370396093578,0.03606505085811944,0.8703545923193498,8.537257359923011e-06,0.26964390488530604
27,music/Blues/Richie_Loidl-Grandmothers_Bluesmp3,0.26604064631403085, G, major,0.12539382482671707, 94.4746780396,0.2578387525594772,0.05680574061086744,0.9130599041750258,1.7276631550504542e-05,0.2698593575196115
28,music/Comedy&SpokenWord/Coolerthanyou_Productions-Bananamp3,0.2291299686442173, G, major,0.1266540642722117, 91.2685623169,0.26285833489073707,0.055943804144583026,0.947805345408094,1.2256539991407284e-05,0.2704006289833057
29,music/Alternative&Punk/Descendents-Cool_to_Be_Yoump3,0.26952009105476266, B, major,0.11846250787649654, 94.3614273071,0.21348723500155525,0.08008181678455355,0.9425159692025712,2.0086266064526202e-05,0.270681284364334
30,music/Childrens's/Kids_For_Kids-Love_and_Peacemp3,0.30457943446086083, A, major,0.0888468809073724, 94.7562561035,0.27405216084650336,0.09892542946686766,0.8582059835873819,7.424515581588718e-06,0.270769552297428
31,music/Rock&Pop/Extraordinary_Through_the_Bullet-Watching_the_Sunmp3,0.27144351933342564, G#, major,0.09892879647132956, 92.9909133911,0.22832314931395556,0.07883474190255069,0.9526760638462605,1.5363669713835653e-05,0.27170360575620595
32,music/Alternative&Punk/Armor_For_Sleep-The_Truth_About_Heavenmp3,0.21670264041228812, G, major,0.12791430371770637, 91.808555603,0.2866686400966043,0.07389885444965709,0.9308154520806854,1.4057686466924086e-05,0.2726689914072347
33,music/Rock&Pop/Cabala-Por_ultima_vezmp3,0.24601707224573227, G#, major,0.14996849401386264, 92.7789077759,0.2642654141476065,0.09190930259622565,0.8928091380484359,6.268747957198918e-06,0.2741626149666367
34,music/Childrens's/Vili-Bellsmp3,0.30504276852855355, A, major,0.09010712035286704, 91.8727493286,0.2789831489992414,0.08432795827527205,0.8896526282708487,9.413994989396487e-06,0.27468717307029533
35,music/Country/Charlie__Nottingham-Dont_cry_on_my_shouldermp3,0.3321670916869616, C, major,0.10586011342155009, 91.9969329834,0.20109893695608078,0.1269641677498552,0.8859165427377597,1.4687632258506486e-05,0.2753369233640776
36,music/Country/Eddie_G-Dear_Mammamp3,0.2669145006328518, D, major,0.13169502205419029, 92.0272598267,0.3063231023223962,0.035631771200722556,0.9124832893817068,6.029656291822148e-06,0.27550895254135993
37,music/Religious/Public_Unrest-Preludemp3,0.25012910769413965, G, major,0.11153119092627599, 92.8809051514,0.09292998516316957,0.23033379171633048,0.9695396482539538,9.065260011457218e-06,0.2757454648356468
38,music/Childrens's/Ninos_De_La_Paz-Yo_Creo_En_Amormp3,0.2403789198754125, G, major,0.10081915563957151, 94.7584609985,0.38462507848991545,0.08133367567859175,0.8477973883420444,8.068703464195772e-06,0.27582704778816663
39,music/Religious/Assumption_Church_choir-Psalm_103mp3,0.21969522750242396, D, major,0.12161310649023314, 93.8715057373,0.4293990889673088,0.06337260294701927,0.8232058603976802,4.954729445952687e-06,0.2762151401723519
40,music/Childrens's/Ninos_De_La_Paz-Gloriosa_Luzmp3,0.22871405167841743, G, major,0.12728418399495905, 91.942527771,0.3932464668490715,0.07321921089587581,0.8389178051715915,6.421256573591098e-06,0.2768980233077481
41,music/Classical/Trio_Con_Brio-Bach_Double_Violin_Concerto_1st_mvtmp3,0.22804222598464147, G, major,0.1713925645872716, 94.1611938477,0.24726648697784132,0.09403800134155912,0.9280780597007399,2.0080968094781075e-05,0.27813956992669137
42,music/R&B&Soul/Joe_Mc-Sweet_Sugar_Honey_Ice_Teamp3,0.42104884975555057, D, major,0.19848771266540643, 92.9858322144,0.07291880877043568,0.048192381409939956,0.9336541210655727,8.887967863495607e-06,0.2790517936057948
43,music/Religious/Assumption_Church_choir-Gospel_Acclamationmp3,0.264508044630134, D#, major,0.10144927536231885, 91.9338912964,0.35474989820291775,0.09814532166034397,0.8573119430526603,6.708445479167354e-06,0.2793618652256424
44,music/Religious/Mark_Caldwell-The_Lighthousemp3,0.2972199041978693, F, major,0.15059861373660996, 94.2892837524,0.2652773763017255,0.09811661758813185,0.8689572659583449,7.893148359793911e-06,0.2800296118218402
45,music/Childrens's/Robin_And_The_Giant-Flymp3,0.28541567890104785, A#, major,0.10270951480781348, 96.1542358398,0.3621893841756139,0.05899658486006086,0.8739506384798943,6.229498290084777e-06,0.28054467178712006
46,music/Country/The_Merritts_featuring_Randy_Howard-The_Fall_Line_Bluesmp3,0.2684306510413788, A, major,0.09892879647132956, 91.6050643921,0.2993192313388003,0.07184493558039397,0.9450876642044428,5.053242900414058e-06,0.2806027219798743
47,music/Latin/Pura_Cad234ncia-Indecisomp3,0.30312797934555435, D, major,0.15942028985507245, 91.4480438232,0.23672959978927088,0.05293306590366764,0.9320687639637002,3.2774528664207126e-05,0.28071874556432164
48,music/Alternative&Punk/Cursive-The_Radiator_Humsmp3,0.22468266229683653, D#, major,0.14996849401386264, 91.7392883301,0.17763833355859104,0.1744519337417726,0.9578217602351144,1.1698104050294707e-05,0.2807624803250379
49,music/Rock&Pop/Fresno-Verdades_Que_Tanto_Guardeimp3,0.21346230494902238, C, major,0.19785759294265912, 92.4603881836,0.3362859876127663,0.0576137890834274,0.8852133852744195,5.8801820311459774e-06,0.28173982334072095
50,music/Blues/Earl_Oliver-Barclay_House_Bluesmp3,0.2301596966210734, E, major,0.13736609955891618, 94.6608047485,0.2582757417283539,0.15028753269499007,0.9166908187084453,8.669223186146205e-06,0.28213142642249417
51,music/Latin/Ediel-Still_There_For_Yoump3,0.3515285672044609, C#, major,0.13610586011342155, 92.9571914673,0.28137352124783716,0.09378909699906729,0.8343380209791945,1.1915103822656867e-05,0.282857830274634
52,music/Childrens's/Kids_for_Christmas-Heavenly_Lightmp3,0.23593803300717736, D, major,0.13862633900441085, 91.8885574341,0.40276047927941677,0.03576753450680738,0.8848469827446925,9.910493601731472e-06,0.2829915465060178
