,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_skl,aggregated
0,music/Comedy&SpokenWord/Donald_G_Carty-Housesmp3,0.0, E, minor,0.0, 154.521408081,0.0,0.0,0.0,0.0
1,music/EasyListening&Vocals/Left_Tail_Light_Band-I_will_get_theremp3,0.06430864551770418, D, major,0.20795533845080252, 172.265655518,0.07851910447034274,0.0666938456560801,8.018625189092134e-05,0.0835114240693641
2,music/Comedy&SpokenWord/Donald_G_Carty-Pleasuremp3,0.05968351024684078, A, minor,0.2568039078855548, 129.503997803,0.11389415460729804,0.02408404960860015,3.816741606239842e-05,0.09090075795287123
3,music/NewAge/Gary_Girouard-Renaissancemp3,0.06383465737256898, G, minor,0.21632937892533147, 164.103927612,0.1183931816577887,0.07630295547596035,0.0003479139408943994,0.09504161747450876
4,music/Classical/Andrei_Krylov-Blezardmp3,0.1073706176801299, C, major,0.23237962316817865, 129.367446899,0.1144168837150086,0.036608162050822256,6.572532065846965e-05,0.09816820238695956
5,music/Folk/Mark_S_Greer-Borderlinesmp3,0.07385898880974398, A, minor,0.22191207257501744, 108.425788879,0.16382989714668858,0.03784263183841375,2.421970006218588e-05,0.09949356201398518
6,music/Comedy&SpokenWord/Sacred_Spaces-The_Gift_Of_Secretsmp3,0.037403765471701454, D#, minor,0.21702721563154223, 117.15978241,0.13066869724537253,0.11490999731280706,9.181224482644678e-06,0.10000377137718117
7,music/Jazz/The_Judy_Lewis_Group-I_Wouldve_Called_Her_Sammp3,0.06490989698495322, G, major,0.24005582693649685, 143.36277771,0.09747375501059245,0.09775903850137879,0.00014279023608686472,0.10006826153390162
8,music/Comedy&SpokenWord/Donald_G_Carty-Lovemp3,0.09212243294001388, G, major,0.24075366364270762, 135.094329834,0.12699065729681397,0.040817015573338375,3.446799444487226e-05,0.10014364748946374
9,music/Comedy&SpokenWord/Sacred_Spaces-Night_Musicmp3,0.04693227235297434, E, minor,0.24563852058618282, 129.47366333,0.13091104802756814,0.07727494051682066,5.437469521499461e-05,0.10016223123575219
