,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_skl,aggregated
0,music/NewAge/Project_OraCool-Persian_Catsmp3,0.0, G, minor,0.0, 118.033805847,0.0,0.0,0.0,0.0
1,music/Religious/NSG_-_New_Source_Gospel_2005-DTH_Faithful_to_Memp3,0.4005950660497377, C, minor,0.22606924643584522, 117.993598938,0.06043686235679851,0.04659565637073675,1.899035730550387e-06,0.14673974604976975
2,music/Childrens's/Steve_Bradshaw-Davidmp3,0.41379357038390163, E, major,0.2328581126951799, 118.069129944,0.09340529211254862,0.030403333285216754,1.9902620166341732e-06,0.1540924597477727
3,music/Childrens's/Rich_Palmer-Goin_to_the_Playgroundmp3,0.4816034646991718, E, major,0.2396469789545146, 118.101448059,0.0650310647295876,0.10601035862026081,1.8570954723879098e-06,0.17845874481980145
4,music/Folk/TANTRA-Teesmp3,0.46370275419973, E, minor,0.23150033944331297, 117.819732666,0.15114049039664407,0.0859524337781711,2.090280383413182e-06,0.1864596216196483
5,music/EasyListening&Vocals/Keith_L_Cooper-Wind_Chasemp3,0.6223540077510591, G, major,0.24100475220638154, 117.981712341,0.016420232714575798,0.07429783222785495,2.021468905420208e-06,0.19081576927375535
6,music/R&B&Soul/Natalie_Brown-I_Wondermp3,0.5056560931713877, C#, major,0.2484725050916497, 117.884361267,0.13132497953756314,0.07545511979362429,2.3450202291319224e-06,0.1921822085228908
7,music/Childrens's/Mothers_Little_Helpers-Garbage_Truckmp3,0.39118507515376577, D, minor,0.219959266802444, 117.135742188,0.19596393252469957,0.16871749702001076,9.887278792535809e-07,0.19516535204575985
8,music/Folk/Isabelle-A_Rosemp3,0.44948861719950867, A, major,0.22471147318397827, 116.966316223,0.27090189316663676,0.041862529189181985,1.1784585866053043e-06,0.19739313823957846
9,music/Alternative&Punk/Hot_Hot_Heat-Touch_You_Touch_Yoump3,0.44100099679904775, A#, minor,0.21452817379497624, 117.842140198,0.2788213304425103,0.07064721528541551,2.2244389725948477e-06,0.2009999881521845
10,music/Reggae/raggademente-Vem_Requebra_Meu_Bemmp3,0.47570963881697415, D, minor,0.20638153428377462, 117.041557312,0.22206059347231666,0.10436854520728345,1.8414303902571933e-06,0.20170443064214783
11,music/Electronic&Dance/Ambra_Red-Beauty_606mp3,0.5113978673859615, G#, major,0.2525458248472505, 117.068054199,0.21092466503725918,0.03716879456451073,1.3851728389361989e-06,0.20240770740156416
12,music/Country/The_Court__Spark-Out_on_the_Watermp3,0.4952040548637128, E, major,0.23217922606924643, 118.336257935,0.24415466662114188,0.040645653983414215,2.1643069125216493e-06,0.20243715316888555
13,music/Country/Paul_Gary-Have_You_Ever_Seen_A_Mountain_Crawlmp3,0.5390265946901402, C, major,0.23014256619144602, 117.141395569,0.23273691139077232,0.02857858000528542,9.291540049776135e-07,0.2060971162863298
14,music/Jazz/Bernadette_Seacrest_and_the_Yes_Men-Tangomp3,0.4677695283880797, A#, minor,0.23761031907671418, 117.51272583,0.290703390931655,0.06026211066516913,1.00563548098341e-06,0.2112692709394198
15,music/Alternative&Punk/Iron_and_Wine-Southern_Anthemmp3,0.5325009605145326, F#, major,0.24983027834351662, 117.947814941,0.14273285921179546,0.13200612369051196,9.75090626368193e-06,0.21141599453332405
16,music/EasyListening&Vocals/JG_Doyle-Wind_Carries_Me_Homemp3,0.5663294288779159, G, major,0.24643584521384929, 117.959449768,0.14321173476888116,0.11306916475912193,2.730601903303928e-06,0.21380978084433436
17,music/Jazz/Tradewinds-Fresh_Airmp3,0.5726116087371587, D, major,0.31093007467752887, 117.432273865,0.13389351328896565,0.07485119311995851,3.548114157202495e-06,0.21845798758755378
18,music/Country/Chesooks-Kentucky_Watermp3,0.5009812553526812, G, major,0.22267481330617786, 116.677238464,0.29710339150071463,0.0823151154020612,8.478384052916764e-07,0.22061508468000804
19,music/Folk/Virginia_La_Iacona-Novia_de_Chilemp3,0.46440498592151275, G, major,0.23150033944331297, 117.440841675,0.36025085098129594,0.06676723494196307,1.65123231140148e-06,0.22458501250407922
20,music/Rock&Pop/The_Iguanas-Zacatecasmp3,0.46259896112807936, C, major,0.2484725050916497, 116.771514893,0.39480389255774295,0.03301250245672145,2.063428260993629e-06,0.22777798493249088
21,music/World/Wylde_Nept-Barnyards_of_Delgattymp3,0.45161776966666023, G, major,0.2328581126951799, 119.218925476,0.3647087932046689,0.09556900618261019,1.857313757028875e-06,0.22895110781257527
22,music/Religious/Matt_and_Sherry_McPherson-Victry_In_The_Housemp3,0.40804688512455983, A, minor,0.2396469789545146, 120.021812439,0.4428661258703056,0.058140312696225424,1.0089410196300098e-06,0.22974026231732497
23,music/Folk/The_Stationary_Willberries-The_Mermaidmp3,0.4775860393587339, G, major,0.20570264765784113, 116.746643066,0.4122139171126672,0.05514220166518523,1.7011123595542297e-06,0.2301293013813574
24,music/Rock&Pop/Ghetto_Pony-There_Was_An_Accidentmp3,0.46935155232403514, C, major,0.2898845892735913, 117.044464111,0.23115644303570565,0.16192762901118765,2.2928706012777667e-06,0.2304645013030242
