,id,scaled_mfcc,scaled_rp,key,scale,scaled_levenshtein,aggregated
0,music/Electronic/The XX - Intro.mp3,0.0,0.0, F, major,0.0,0.0
1,music/Rock/Sum 41 - Pieces.mp3,0.1567743130088862,0.2979792230090519, F, major,0.09612930667800935,0.18362761423198248
2,music/Klassik/Bach - Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,0.15620962214860357,0.33733669795768567, D, minor,0.09783071033602722,0.1971256768141055
3,music/Soundtrack/Game Of Thrones - Main Titles.mp3,0.20416638598854833,0.2922293854556175, C, minor,0.09910676307954062,0.1985008448412355
4,music/Electronic/Daft Punk - Within.mp3,0.16524088885314084,0.30504856287434157, C#, major,0.13398553806890684,0.20142499659879642
5,music/World Music/ANNA RF - Tum Hi Ho - (annaRF Ft Naadistan).mp3,0.18430283744631507,0.3202600197944149, A#, major,0.12165036154827732,0.20873773959633576
6,music/Jazz/Jukka Perko Avara - Tears In Heaven.mp3,0.23831924915670888,0.29102875680244994, A, major,0.09910676307954062,0.2094849230128998
7,music/Jazz/Whiplash Soundtrack - Too Hip To Retire.mp3,0.20241160314962742,0.2815183000568563, C, minor,0.15695448745214802,0.21362813021954388
8,music/Rock/Pvris - My House.mp3,0.21329802653958232,0.3215525651892051, C, major,0.15057422373458104,0.22847493848778946
9,music/Rock/Radiohead - Creep.mp3,0.2882544837282097,0.29128930116389956, C, major,0.11101658868566568,0.23018679119259167
10,music/Soundtrack/Lord Of The Rings - The Battle Of The Pelennor Fields.mp3,0.1752924833562065,0.3468549339007933, A, minor,0.19523606975754998,0.23912782900484994
11,music/Rock/twenty one pilots - Car Radio.mp3,0.17372621567139043,0.36038363993869144, F, major,0.18885580603998298,0.24098855388335497
12,music/Electronic/Alan Walker - Faded.mp3,0.19489829397974762,0.44349162723326424, F#, major,0.09059974478945129,0.24299655533415435
13,music/Jazz/Michael Wollny Vincent Peirani The Kiss.mp3,0.18367745308486197,0.3415365950372574, C, major,0.20714589536367503,0.24411998116193145
14,music/Klassik/Mozart_ Requiem In D Minor K626 - 3 Sequentia_ Lacrimosa.mp3,0.2202974182640184,0.3880303438527512, D, minor,0.12590387069332198,0.24474387760336389
15,music/Pop/David Bowie - Life On Mars.mp3,0.24719206259038254,0.34888135609791315, A#, major,0.13951509995746492,0.2451961728819202
16,music/Soundtrack/Outlander - Dance of the Druids (feat Raya Yarbrough).mp3,0.15996460942173604,0.37059638665441297, A, minor,0.2139515099957465,0.24817083535729853
17,music/Pop/Anna Burch - 2 Cool 2 Care.mp3,0.2580376494087327,0.35510302195736076, A, major,0.1420672054444917,0.25173595893686174
18,music/Jazz/Lou Tavano - The Call.mp3,0.28153496579078335,0.27377390916379124, E, minor,0.20119098256061252,0.25216661917172906
19,music/Jazz/Eric Bibb Celtic Roots Ensemble - St James Infirmary.mp3,0.21555531537328515,0.31717908154516766, A, minor,0.22671203743088048,0.25314881144977774
20,music/Klassik/J Strauss I_ Radetzky-Marsch Op228.mp3,0.3562017464043876,0.339538445875211, D, major,0.07273500638026371,0.25615839955328745
21,music/Pop/Fools Garden - Lemon Tree.mp3,0.20645304967248634,0.4348972356257351, G#, major,0.1331348362398979,0.25816170717937315
22,music/Soundtrack/Interstellar - No Time for Caution.mp3,0.2457247276584407,0.3775476284305556, A, minor,0.16503615482773287,0.2627695036389097
23,music/Soundtrack/Flesh And Bone - Dakini_ Movement IV.mp3,0.3759908440284264,0.2828704232936342, D#, major,0.13568694172692472,0.2648494030163285
24,music/Soundtrack/The Hobbit 3 - Howard Shore_Ironfoot [Extended Version].mp3,0.20647014171312517,0.3295438927235972, D, major,0.2807316035729477,0.27224854600322335
25,music/Pop/Sigrid - Strangers.mp3,0.17528946711374083,0.4952519632720348, B, minor,0.1484474691620587,0.2729962998492781
26,music/Metal/Omnium Gatherum - New World Shadows.mp3,0.2467531490409187,0.31427995559793875, C#, minor,0.264568268821778,0.2752004578202118
27,music/Metal/Gojira - Global warming.mp3,0.2164229877892451,0.34981055891395446, C#, minor,0.27988090174393876,0.28203814948237943
28,music/Pop/Aliotta Haynes Jeremiah - Lake Shore Drive.mp3,0.40654655318892235,0.3391986524079695, E, major,0.10378562313908975,0.28317694291199386
29,music/World Music/anna RF - Why.mp3,0.37026460824875285,0.31838690184316687, G, minor,0.1773713313483624,0.288674280480094
30,music/Rock/Billy Talent - Cure for the Enemy.mp3,0.311936511447478,0.39726420429761417, D#, minor,0.1624840493407061,0.29056158836193274
31,music/World Music/Estas Tonne - The Song of the Golden Dragon.mp3,0.2891460514872589,0.2969393487697681, C, major,0.2947681837515951,0.2936178613362074
32,music/Hip Hop/Kid Cudi - Mr Rager.mp3,0.40523140444627653,0.312678663019641, B, minor,0.16376010208421948,0.29389005651671235
33,music/Jazz/Paolo Fresu Jan Lundgren - Kristallen den fina.mp3,0.4201152204621889,0.3383624004262718, D, minor,0.12505316886431306,0.2945102632509246
34,music/Electronic/Fytch - In These Shadows (feat Carmen Forbes).mp3,0.2290773481866518,0.38754206407163294, A, minor,0.2807316035729477,0.29911700527707746
35,music/Rock/Blink-182 - Adam's Song.mp3,0.3662263287804829,0.3574347130261088, F, major,0.17779668226286688,0.30048590802315284
36,music/World Music/The HU - Wolf Totem.mp3,0.3395658286539683,0.39271887324505067, D#, major,0.18077413866439812,0.30435294685447234
37,music/Soundtrack/The Witcher 3 - The Fields of Ard Skellig.mp3,0.3987849234796043,0.3467341565714148, D, minor,0.16801361122926414,0.30451089709342777
38,music/Pop/Halsey - Heaven In Hiding.mp3,0.2828190472360327,0.4951160270834524, C#, minor,0.14249255635899616,0.3068092102261604
39,music/Jazz/Whiplash Soundtrack - Caravan.mp3,0.19332173755674306,0.26374814521369244, C#, major,0.4657592513823905,0.30760971138427534
40,music/Soundtrack/Vikings - Floki Appears to Kill Athelstan.mp3,0.48837459720595405,0.34286925852919675, C#, major,0.11654615057422374,0.31593000210312483
41,music/Electronic/Martin Garrix - Animals (Original Mix).mp3,0.2965218702714115,0.4197617845206473, F, minor,0.23266695023394302,0.3163168683420006
42,music/Soundtrack/Mass Effect 3 - Leaving Earth.mp3,0.5385166454691849,0.33794032608139773, E, minor,0.07613781369629945,0.31753159508229406
43,music/Metal/Amorphis - House Of Sleep.mp3,0.49082613205444653,0.29368461243708954, C, minor,0.1748192258613356,0.31977665678429057
44,music/Klassik/Lang Lang_La Campanella II etude for piano in G sharp minor (Grand Paganini Étude No 3) S 141 3 (LW A173 3).mp3,0.36445056629952294,0.3656727891849695, G#, minor,0.22968949383241175,0.31993761643896806
45,music/Pop/Camila Cabello - Havana.mp3,0.21257159805552903,0.6331714476846853, G, minor,0.11909825606125053,0.32161376726715496
46,music/World Music/Wardruna - Wunjo.mp3,0.3931458235933837,0.31276703094306246, B, minor,0.26244151424925566,0.32278478959523393
47,music/Pop/Electric Light Orchestra - Mr Blue Sky.mp3,0.3575522857252974,0.346189753758081, A#, major,0.270948532539345,0.3248968573409078
48,music/World Music/John Butler - Ocean.mp3,0.34757780648793757,0.2607048338382213, E, major,0.3683538919608677,0.32554551076234217
49,music/Klassik/Rachmaninov - Prélude in C sharp minor Op3 No2.mp3,0.46501031387354236,0.38976303671292384, C#, minor,0.12377711612079965,0.32618348890242194
50,music/Reggae/Damian Marley - Pimpa's Paradise.mp3,0.23376525925441838,0.594432642208431, C, major,0.15908124202467036,0.3290930478291732
51,music/Electronic/Caravan Palace - Lone Digger.mp3,0.2075916309325719,0.6401895529560763, A#, minor,0.15142492556358997,0.33306870315074605
52,music/Rock/Wallows - Scrawny [Explicit].mp3,0.387891294621537,0.5079314911692242, A, major,0.10761378136962994,0.33447885572013036
53,music/Metal/System Of A Down-Toxicity.mp3,0.4702012001293633,0.3869102804233839, C, minor,0.1484474691620587,0.33518631657160197
54,music/Reggae/Damian Marley - Confrontation.mp3,0.3478142128696363,0.4604045427129178, A, minor,0.22203317737133135,0.3434173109846285
55,music/Metal/In Flames - The New Word.mp3,0.5245756063066278,0.31551828163120416, G, minor,0.1922586133560187,0.3441175004312836
56,music/Klassik/Alice Sara Ott - Prélude in D Flat Major (_Raindrop_) Op28 No15.mp3,0.37261459626756754,0.3871131741156439, C#, major,0.27690344534240746,0.3455437385752063
57,music/Klassik/Pachelbel_ Canon And Gigue In D Major - 1 Canon.mp3,0.55927948670256,0.35146433169783736, C#, major,0.14504466184602297,0.35192949341547347
58,music/World Music/Andrey Vinogradov - Medieval Tune.mp3,0.5744182422344324,0.3635687160253537, G, minor,0.1207996597192684,0.35292887265968487
59,music/Electronic/Dynatron - Pulse Power.mp3,0.40078127382622086,0.40115756339176395, D, minor,0.26499361973628244,0.3556441523180891
60,music/Rock/Rise Against - Prayer of the Refugee.mp3,0.5929015079536638,0.3503829997412888, D#, minor,0.1310080816673756,0.3580975297874427
61,music/Electronic/Miike Snow - Genghis Khan.mp3,0.3170037652760113,0.683074647205167, A#, major,0.0842194810718843,0.36143263118435415
62,music/Jazz/Buddy Rich - Caravan (Remastered 2015).mp3,0.25364333603119465,0.2711119194791482, F, minor,0.5627392598894088,0.3624981717999172
63,music/World Music/The HU - Yuve Yuve Yu.mp3,0.48518381484292916,0.4014952886735636, D#, minor,0.21267545725223308,0.36645152025624195
64,music/Rock/The Offspring - You're Gonna Go Far Kid.mp3,0.5043593752356439,0.502234862386701, C, major,0.10463632496809869,0.3704101875301478
65,music/Rock/Red Hot Chili Peppers - Snow (Hey Oh).mp3,0.5021368402179067,0.44139500424166034, B, major,0.18417694598043385,0.375902930146667
66,music/Metal/Dark Tranquillity - Punish My Heaven.mp3,0.6147462753594775,0.30084887731373544, C#, minor,0.21480221182475542,0.37679912149932276
67,music/Reggae/Damian Marley - Hey Girl.mp3,0.1865427158582299,0.8140839480231156, F#, minor,0.132284134410889,0.3776369327640781
68,music/Electronic/Kadebostany - Early Morning Dreams (Kled Mone Remix).mp3,0.21576765884286886,0.6434010219092284, D, minor,0.27988090174393876,0.37968319416534535
69,music/Metal/Judas Priest - Painkiller.mp3,0.6203232406509052,0.3167370304090946, A, major,0.21692896639727777,0.38466307915242587
70,music/Jazz/Raphael Wressnig - September Nights.mp3,0.41958456287106066,0.564549289747516, C, major,0.1786473840918758,0.3875937455701508
71,music/Metal/Eluveitie - Neverland.mp3,0.6285371391610489,0.4142778028049107, B, minor,0.12888132709485325,0.39056542302027103
72,music/Metal/Metallica - Moth Into Flame.mp3,0.6414640170652296,0.3662488963410415, A, minor,0.1748192258613356,0.3941773797558689
73,music/World Music/Laboratorium Pieśni - Sztoj pa moru.mp3,0.47441117082154066,0.5934857893098127, C#, major,0.1169715014887282,0.3949561538733605
74,music/Hip Hop/Prinz Pi - Kompass ohne Norden.mp3,0.4054673416347029,0.6740333865295698, C, major,0.1118672905146746,0.3971226728929824
75,music/Hip Hop/Kontra K - Erfolg ist kein Glück.mp3,0.3940931583242427,0.7301673237229143, C#, major,0.07868991918332624,0.40098346707682775
76,music/Hip Hop/Romano - Köpenick.mp3,0.5384490481241485,0.5720818561475496, E, minor,0.09527860484900043,0.4019365030402328
77,music/Hip Hop/Chiddy Bang - Opposite Of Adults.mp3,0.329567789211571,0.7938623588745461, D, major,0.0867715865589111,0.4034005782150094
78,music/Pop/Dua Lipa - New Love.mp3,0.5159262629258557,0.4668672461847619, G#, major,0.23479370480646533,0.40586240463902773
79,music/Metal/Uada - Black Autumn White Spring.mp3,0.608037884005369,0.27308132556397535, D, minor,0.3466609953211399,0.4092600682968281
80,music/Reggae/Damian Marley - Welcome To Jamrock.mp3,0.40600832147782473,0.6480988111318013, G, minor,0.18119948957890258,0.4117688740628429
81,music/Reggae/Damian Marley - Move!.mp3,0.3426478587192029,0.7719711330196711, G#, minor,0.14802211824755424,0.4208803699954761
82,music/Klassik/Beethoven - Für Elise.mp3,0.7279617406400132,0.41698759577578765, A, minor,0.13908974904296045,0.4280130284862538
83,music/Reggae/Damian Marley - The Master Has Come Back.mp3,0.4735232225534503,0.6662916043704142, A, minor,0.15652913653764355,0.4321146544871694
84,music/Pop/Michael Jackson - They Don't Care About Us.mp3,0.1800098865725264,1.0, G, major,0.13568694172692472,0.4385656094331503
85,music/Jazz/Keith Jarrett - Part II Tokyo.mp3,0.5062371872533593,0.3893028889542352, E, major,0.42194810718843045,0.439162727798675
86,music/Hip Hop/Grits - Here We Go.mp3,0.4154299904988362,0.7734898391929413, B, minor,0.1369629944704381,0.44196094138740527
87,music/Reggae/Damian Marley - Beautiful.mp3,0.4949413257055913,0.71744295380501, D#, major,0.12888132709485325,0.4470885355351515
88,music/Reggae/Damian Marley - Road To Zion.mp3,0.4683325708942656,0.7001704560837743, F, minor,0.17779668226286688,0.44876656974696894
89,music/Hip Hop/Ice Cube - It Was A Good Day.mp3,0.5589941501653068,0.6899902832887608, D, major,0.13611229264142918,0.461698908698499
90,music/Klassik/Liszt - Totentanz.mp3,0.2919143253084527,0.3682975750337678, D, minor,0.7333049766056997,0.46450562564930675
91,music/Hip Hop/Sido - Spring rauf.mp3,0.5442170421050692,0.7810746742795946, G, minor,0.113143343258188,0.4794783532142839
92,music/Reggae/Bob Marley - No Woman No Cry.mp3,0.654452225232879,0.36130452300875104, C, major,0.45214802211824756,0.48930159011995916
93,music/Electronic/Marshmello & Anne-Marie - Friends.mp3,0.5613148471183993,0.8053646662174317, A, minor,0.10888983411314335,0.49185644914965815
94,music/Soundtrack/Pirates Of The Carribean - Hans Zimmer - Davy Jones.mp3,1.0,0.4044395856710096, D, major,0.10633772862611654,0.5035924380990421
95,music/Hip Hop/Dr Dre - Still DRE [feat Snoop D.ogg].mp3,0.5057210746536767,0.8725813511342682, A, minor,0.1420672054444917,0.5067898770774788
96,music/Reggae/Damian Marley - All Night.mp3,0.47711794681023983,0.9513140686246492, A#, major,0.14547001276052743,0.5246340093984722
97,music/World Music/Estas Tonne - The Song of the Butterfly.mp3,0.2258364291710863,0.3816218127382174, C, minor,1.0,0.535819413969768
98,music/Hip Hop/257ers - Auseinanda.mp3,0.5721821341255997,0.915547245628232, F, minor,0.12590387069332198,0.5378777501490513
99,music/Klassik/Rachmaninoff - The Isle of the Dead Op 29.mp3,0.35855203604744884,0.42134187819816676, A, minor,0.8766482347937048,0.5521807163464402
