,id,scaled_mfcc,scaled_rh,key,scale,scaled_levenshtein,aggregated
0,music/Electronic/Dynatron - Pulse Power.mp3,0.0,0.0, D, minor,0.0,0.0
1,music/Metal/Amorphis - House Of Sleep.mp3,0.08779502345817208,0.2769116719290568, C, minor,0.26469085334695963,0.20979918291139618
2,music/World Music/Andrey Vinogradov - Medieval Tune.mp3,0.16178185044174126,0.2993587354231211, G, minor,0.23198773633111905,0.23104277406532714
3,music/Metal/In Flames - The New Word.mp3,0.1311501704091915,0.2783813981222719, G, minor,0.28513030148185997,0.23155395667110779
4,music/World Music/John Butler - Ocean.mp3,0.07498906822224446,0.28231101302156253, E, major,0.33929483903934593,0.232198306761051
5,music/Soundtrack/The Witcher 3 - The Fields of Ard Skellig.mp3,0.09397577472475047,0.38861581312774607, D, minor,0.2171691364333163,0.23325357476193762
6,music/Rock/Blink-182 - Adam's Song.mp3,0.06653770344572932,0.3330168450296558, F, major,0.3030148185998978,0.23418978902509427
7,music/Soundtrack/Flesh And Bone - Dakini_ Movement IV.mp3,0.08762310158691741,0.3145961402211516, D#, major,0.30556974961676037,0.23592966380827649
8,music/Jazz/Eric Bibb Celtic Roots Ensemble - St James Infirmary.mp3,0.17652890226770088,0.3054921443488865, A, minor,0.24425140521205926,0.24209081727621554
9,music/Rock/Billy Talent - Cure for the Enemy.mp3,0.09644365476420426,0.3703232053630015, D#, minor,0.2621359223300971,0.2429675941524343
10,music/World Music/anna RF - Why.mp3,0.05574606674175764,0.40884297851254103, G, minor,0.2677567705671947,0.24411527194049779
11,music/Hip Hop/Kid Cudi - Mr Rager.mp3,0.0604322649644753,0.41341248218311877, B, minor,0.2677567705671947,0.2472005059049296
12,music/Pop/Aliotta Haynes Jeremiah - Lake Shore Drive.mp3,0.10675075517627373,0.32728005381706127, E, major,0.31732243229432805,0.250451080429221
13,music/Metal/Dark Tranquillity - Punish My Heaven.mp3,0.178264896210776,0.29953277880680435, C#, minor,0.2764435360245273,0.2514137370140359
14,music/Metal/System Of A Down-Toxicity.mp3,0.06221785734925758,0.44258799052141523, C, minor,0.2636688809402146,0.2561582429369625
15,music/World Music/The HU - Yuve Yuve Yu.mp3,0.08825299694826558,0.4312092830136282, D#, minor,0.25447112927950943,0.25797780308046775
16,music/Rock/Rise Against - Prayer of the Refugee.mp3,0.14716737626861467,0.3742097368704208, D#, minor,0.2534491568727644,0.25827542333726666
17,music/Klassik/J Strauss I_ Radetzky-Marsch Op228.mp3,0.08658467360637591,0.3722643636688393, D, major,0.31630045988758304,0.25838316572093273
18,music/Electronic/Martin Garrix - Animals (Original Mix).mp3,0.11027609896183625,0.4670841295576244, F, minor,0.20439448134900357,0.2605849032894881
