,id,scaled_mfcc,scaled_rh,key,scale,scaled_levenshtein,aggregated
0,music/Electronic/Daft Punk - Within.mp3,0.0,0.0, C#, major,0.0,0.0
1,music/Soundtrack/Game Of Thrones - Main Titles.mp3,0.1368346440272982,0.1879707833574206, C, minor,0.14804964539007093,0.15761835759159656
2,music/World Music/ANNA RF - Tum Hi Ho - (annaRF Ft Naadistan).mp3,0.11574644152979367,0.22101946487770846, A#, major,0.14760638297872342,0.16145742979540853
3,music/Klassik/Bach - Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,0.1341376847002269,0.22744769171010912, D, minor,0.14627659574468085,0.16928732405167227
4,music/Jazz/Jukka Perko Avara - Tears In Heaven.mp3,0.10599516121386293,0.26809340653572483, A, major,0.13652482269503546,0.17020446348154109
5,music/Soundtrack/Flesh And Bone - Dakini_ Movement IV.mp3,0.22814921478857406,0.1591647391019558, D#, major,0.14671985815602837,0.17801127068218606
6,music/Klassik/J Strauss I_ Radetzky-Marsch Op228.mp3,0.21597374447101986,0.19611628185889876, D, major,0.13785460992907803,0.18331487875299887
7,music/Rock/Pvris - My House.mp3,0.12944803818706496,0.2694580181655013, C, major,0.16356382978723405,0.1874899620466001
8,music/Jazz/Whiplash Soundtrack - Too Hip To Retire.mp3,0.24450480428482502,0.16959561860909306, C, minor,0.16400709219858156,0.19270250503083322
9,music/Rock/Sum 41 - Pieces.mp3,0.16390702436341723,0.2861789991572902, F, major,0.1325354609929078,0.19420716150453843
10,music/Electronic/The XX - Intro.mp3,0.15040656333925356,0.3008003635199882, F, major,0.13962765957446807,0.19694486214456997
11,music/Pop/Anna Burch - 2 Cool 2 Care.mp3,0.13447040424982953,0.31445918488428726, A, major,0.14583333333333334,0.19825430748915007
12,music/Pop/David Bowie - Life On Mars.mp3,0.12874231705198827,0.3123185104110763, A#, major,0.1573581560283688,0.19947299449714442
13,music/Jazz/Eric Bibb Celtic Roots Ensemble - St James Infirmary.mp3,0.11575046058183916,0.24536778046026778, A, minor,0.2375886524822695,0.19956896450812547
14,music/Soundtrack/The Hobbit 3 - Howard Shore_Ironfoot [Extended Version].mp3,0.09247824266728148,0.2319930237056261, D, major,0.28147163120567376,0.2019809658595271
15,music/Soundtrack/Lord Of The Rings - The Battle Of The Pelennor Fields.mp3,0.16409084833021886,0.26361187823114296, A, minor,0.2052304964539007,0.21097774100508748
16,music/Soundtrack/The Witcher 3 - The Fields of Ard Skellig.mp3,0.24418585780542004,0.21992382686306777, D, minor,0.17863475177304963,0.2142481454805125
17,music/Rock/Radiohead - Creep.mp3,0.33159415401959197,0.17201691797911264, C, major,0.14051418439716312,0.21470841879862257
18,music/World Music/Andrey Vinogradov - Medieval Tune.mp3,0.4028235617543896,0.09685540457226514, G, minor,0.14849290780141844,0.2160572913760244
19,music/Jazz/Paolo Fresu Jan Lundgren - Kristallen den fina.mp3,0.2530180411661968,0.24828742065596476, D, minor,0.14804964539007093,0.21645170240407752
20,music/Jazz/Michael Wollny Vincent Peirani The Kiss.mp3,0.25337023824696486,0.18859732804696525, C, major,0.212322695035461,0.21809675377646368
21,music/Pop/Aliotta Haynes Jeremiah - Lake Shore Drive.mp3,0.2506226556419468,0.29309294127976726, E, major,0.13874113475177305,0.2274855772244957
22,music/Klassik/Mozart_ Requiem In D Minor K626 - 3 Sequentia_ Lacrimosa.mp3,0.20798766689437737,0.31828456310954495, D, minor,0.15780141843971632,0.2280245494812129
23,music/Metal/Amorphis - House Of Sleep.mp3,0.3374532455362898,0.1685823746409576, C, minor,0.17907801418439717,0.22837121145388153
24,music/Jazz/Lou Tavano - The Call.mp3,0.33237566517217926,0.15139665464265, E, minor,0.212322695035461,0.2320316716167634
25,music/Soundtrack/Outlander - Dance of the Druids (feat Raya Yarbrough).mp3,0.16586481367064615,0.30726183428234943, A, minor,0.22384751773049646,0.23232472189449735
26,music/World Music/anna RF - Why.mp3,0.230772824509244,0.28318734370183407, G, minor,0.18439716312056736,0.2327857771105485
27,music/Rock/twenty one pilots - Car Radio.mp3,0.15298404928995935,0.3595178325848412, F, major,0.1950354609929078,0.2358457809559028
28,music/Rock/Blink-182 - Adam's Song.mp3,0.2550174242302684,0.28082012536620016, F, major,0.17331560283687944,0.23638438414444932
29,music/Pop/Fools Garden - Lemon Tree.mp3,0.11687506303124318,0.46651513107811177, G#, major,0.15203900709219859,0.2451430670671845
30,music/Metal/Gojira - Global warming.mp3,0.1764863522144077,0.29508061812077313, C#, minor,0.2641843971631206,0.24525045583276714
31,music/Klassik/Lang Lang_La Campanella II etude for piano in G sharp minor (Grand Paganini Étude No 3) S 141 3 (LW A173 3).mp3,0.20745680121527593,0.3074288094760152, G#, minor,0.2300531914893617,0.24831293406021762
32,music/Rock/Billy Talent - Cure for the Enemy.mp3,0.18119279180651493,0.40120552192810977, D#, minor,0.16622340425531915,0.2495405726633146
33,music/Pop/Electric Light Orchestra - Mr Blue Sky.mp3,0.2061497780354581,0.2722093907898726, A#, major,0.27349290780141844,0.25061735887558306
34,music/World Music/Estas Tonne - The Song of the Golden Dragon.mp3,0.16768741945499396,0.2928415241180735, C, major,0.2974290780141844,0.2526526738624173
35,music/Metal/Omnium Gatherum - New World Shadows.mp3,0.24863619150418462,0.24407856415489954, C#, minor,0.27349290780141844,0.2554025544868342
36,music/World Music/John Butler - Ocean.mp3,0.23152842154636527,0.15853635525958737, E, major,0.37810283687943264,0.25605587122846174
37,music/Hip Hop/Kid Cudi - Mr Rager.mp3,0.26535962721744144,0.3517063441188943, B, minor,0.1768617021276596,0.2646425578213318
38,music/Metal/In Flames - The New Word.mp3,0.3583859328358596,0.23919136844422542, G, minor,0.21010638297872342,0.2692278947529361
39,music/Klassik/Rachmaninov - Prélude in C sharp minor Op3 No2.mp3,0.2912805758345245,0.37323337938704554, C#, minor,0.14893617021276595,0.27115004181144536
40,music/Klassik/Pachelbel_ Canon And Gigue In D Major - 1 Canon.mp3,0.3925807597622088,0.2780318702716872, C#, major,0.1453900709219858,0.2720009003186273
41,music/Electronic/Martin Garrix - Animals (Original Mix).mp3,0.17277132963541905,0.4317535918555235, F, minor,0.24069148936170212,0.2817388036175482
42,music/Pop/Sigrid - Strangers.mp3,0.17105256334376834,0.5128017363829522, B, minor,0.16356382978723405,0.2824727098379849
43,music/Jazz/Whiplash Soundtrack - Caravan.mp3,0.22864362682673162,0.166794737978979, C#, major,0.4521276595744681,0.2825220081267263
44,music/Soundtrack/Vikings - Floki Appears to Kill Athelstan.mp3,0.3284739053856274,0.37070445478205183, C#, major,0.14937943262411346,0.2828525975972642
45,music/Jazz/Buddy Rich - Caravan (Remastered 2015).mp3,0.1273895132850185,0.1689812421522852, F, minor,0.561613475177305,0.28599474353820287
46,music/Electronic/Dynatron - Pulse Power.mp3,0.27093190941852874,0.3246845365780257, D, minor,0.2655141843971631,0.28704354346457256
47,music/Soundtrack/Interstellar - No Time for Caution.mp3,0.2637078654633081,0.41488718855289014, A, minor,0.18306737588652483,0.2872208099675744
48,music/Klassik/Alice Sara Ott - Prélude in D Flat Major (_Raindrop_) Op28 No15.mp3,0.259453832333141,0.3485830450867221, C#, major,0.26906028368794327,0.29236572036926883
49,music/Rock/Wallows - Scrawny [Explicit].mp3,0.24330413727166064,0.4967733902859646, A, major,0.1427304964539007,0.29426934133717536
50,music/Electronic/Alan Walker - Faded.mp3,0.27133808534251874,0.4814484157597224, F#, major,0.13076241134751773,0.29451630414991964
51,music/World Music/Wardruna - Wunjo.mp3,0.43296989917624534,0.1972336119354934, B, minor,0.2632978723404255,0.2978337944840548
52,music/Metal/Dark Tranquillity - Punish My Heaven.mp3,0.4434583590517075,0.2522434085558105, C#, minor,0.20966312056737588,0.301788296058298
53,music/Pop/Camila Cabello - Havana.mp3,0.116864637900036,0.6536956354378385, G, minor,0.14849290780141844,0.3063510603797643
54,music/Metal/Judas Priest - Painkiller.mp3,0.4478966127154814,0.2600268623679031, A, major,0.21852836879432624,0.30881728129257024
55,music/Electronic/Fytch - In These Shadows (feat Carmen Forbes).mp3,0.26319693489245505,0.3945368134372919, A, minor,0.2708333333333333,0.30952236055436005
56,music/Metal/System Of A Down-Toxicity.mp3,0.32912342080234497,0.43071933183836386, C, minor,0.16888297872340424,0.3095752437880377
57,music/World Music/The HU - Wolf Totem.mp3,0.39051028447201186,0.35693900231944015, D#, major,0.18218085106382978,0.30987671261842725
58,music/Reggae/Damian Marley - Confrontation.mp3,0.22799037453050303,0.4695141232621298, A, minor,0.23404255319148937,0.31051568366137405
59,music/Rock/Rise Against - Prayer of the Refugee.mp3,0.43465902972548853,0.3488402481237858, D#, minor,0.14849290780141844,0.31066406188356427
60,music/Soundtrack/Mass Effect 3 - Leaving Earth.mp3,0.5736498684831948,0.20810044025143226, E, minor,0.15070921985815602,0.310819842864261
61,music/World Music/The HU - Yuve Yuve Yu.mp3,0.3285265267501698,0.3901543409096621, D#, minor,0.2154255319148936,0.31136879985824184
62,music/Reggae/Damian Marley - Pimpa's Paradise.mp3,0.09510014410017498,0.6821153383039106, C, major,0.15780141843971632,0.3116723002812673
63,music/Pop/Halsey - Heaven In Hiding.mp3,0.17294241770674446,0.6356068814616894, C#, minor,0.14937943262411346,0.31930957726418246
64,music/Metal/Uada - Black Autumn White Spring.mp3,0.4435934663117414,0.16987644233323398, D, minor,0.35150709219858156,0.32165900028118566
65,music/Rock/The Offspring - You're Gonna Go Far Kid.mp3,0.3409626177216188,0.525703602210451, C, major,0.12987588652482268,0.3321807021522975
66,music/Metal/Metallica - Moth Into Flame.mp3,0.46799708932167006,0.3467978540009308, A, minor,0.18971631205673758,0.33483708512644617
67,music/Metal/Eluveitie - Neverland.mp3,0.4567995069881477,0.40300801099181116, B, minor,0.15469858156028368,0.3381686998467475
68,music/Electronic/Miike Snow - Genghis Khan.mp3,0.1799813717319006,0.7066242268400356, A#, major,0.13696808510638298,0.34119122789277306
69,music/Jazz/Raphael Wressnig - September Nights.mp3,0.2610167021126212,0.5724828221137986, C, major,0.1981382978723404,0.34387927403292
70,music/Pop/Dua Lipa - New Love.mp3,0.3567328288556162,0.44957933703650566, G#, major,0.2296099290780142,0.34530736499004533
71,music/Reggae/Damian Marley - Hey Girl.mp3,0.10723068034818077,0.7738501338187477, F#, minor,0.15868794326241134,0.3465895858097799
72,music/Rock/Red Hot Chili Peppers - Snow (Hey Oh).mp3,0.3496558501748646,0.5117943975865861, B, major,0.1870567375886525,0.3495023284500344
73,music/Electronic/Kadebostany - Early Morning Dreams (Kled Mone Remix).mp3,0.12643778345756349,0.6780045434431359, D, minor,0.27570921985815605,0.36005051558628515
74,music/World Music/Laboratorium Pieśni - Sztoj pa moru.mp3,0.3111946660422468,0.6329870132349016, C#, major,0.14317375886524822,0.36245181271413224
75,music/Jazz/Keith Jarrett - Part II Tokyo.mp3,0.33441499471559477,0.3658676220346494, E, major,0.40647163120567376,0.3689180826519727
76,music/Klassik/Beethoven - Für Elise.mp3,0.5474837195599134,0.4312390664849968, A, minor,0.16134751773049646,0.38002343459180227
77,music/Hip Hop/Chiddy Bang - Opposite Of Adults.mp3,0.17927156290821594,0.8445897174138703, D, major,0.14406028368794327,0.3893071880033432
78,music/Hip Hop/Romano - Köpenick.mp3,0.3784163391380749,0.6564752813088628, E, minor,0.14051418439716312,0.39180193494803356
79,music/Reggae/Damian Marley - Welcome To Jamrock.mp3,0.25629865531517576,0.7285937722189544, G, minor,0.19104609929078015,0.39197950894163675
80,music/Reggae/Damian Marley - The Master Has Come Back.mp3,0.31263438657612824,0.6936780225174339, A, minor,0.17198581560283688,0.3927660748987997
81,music/Hip Hop/Kontra K - Erfolg ist kein Glück.mp3,0.24357850049061414,0.8124752062316621, C#, major,0.13031914893617022,0.3954576185528155
82,music/Hip Hop/Prinz Pi - Kompass ohne Norden.mp3,0.2619589143367503,0.7914331505924578, C, major,0.1351950354609929,0.39619570013006694
83,music/Reggae/Damian Marley - Move!.mp3,0.19328856744878387,0.8437141613733529, G#, minor,0.1671099290780142,0.40137088596671694
84,music/Hip Hop/Grits - Here We Go.mp3,0.26257685693474236,0.8134851695488147, B, minor,0.15115248226950354,0.40907150291768685
85,music/Electronic/Caravan Palace - Lone Digger.mp3,0.30514772388041717,0.7839794320282519, A#, minor,0.16578014184397163,0.41830243258421357
86,music/Reggae/Bob Marley - No Woman No Cry.mp3,0.48518877891650747,0.35048665773163146, C, major,0.43882978723404253,0.42483507462739384
87,music/Hip Hop/Ice Cube - It Was A Good Day.mp3,0.41610632285504184,0.7166693017915774, D, major,0.15868794326241134,0.4304878559696768
88,music/Pop/Michael Jackson - They Don't Care About Us.mp3,0.1868415198855984,0.9542138828560258, G, major,0.15115248226950354,0.4307359616703759
89,music/Reggae/Damian Marley - Beautiful.mp3,0.3359242974712277,0.8235185534532172, D#, major,0.14893617021276595,0.4361263403790703
90,music/Klassik/Liszt - Totentanz.mp3,0.30146550957827806,0.3121874036681575, D, minor,0.7296099290780141,0.44775428077481655
91,music/Hip Hop/Sido - Spring rauf.mp3,0.3736427729878948,0.8294473459096128, G, minor,0.14051418439716312,0.44786810109822356
92,music/Hip Hop/Dr Dre - Still DRE [feat Snoop D.ogg].mp3,0.3625179454105659,0.8880630750285278, A, minor,0.15647163120567376,0.4690175505482557
93,music/Reggae/Damian Marley - Road To Zion.mp3,0.5138636399549231,0.7303351019952402, F, minor,0.19060283687943264,0.4782671929431987
94,music/Hip Hop/257ers - Auseinanda.mp3,0.4054771732791334,0.8882177626930574, F, minor,0.14893617021276595,0.48087703539498555
95,music/Reggae/Damian Marley - All Night.mp3,0.3176312198376626,0.981470247000809, A#, major,0.162677304964539,0.48725959060100354
