,original vs detected,count
0,"(HipHop, WorldMusic)",7
1,"(Jazz, Pop)",19
2,"(Reggae, Rock)",12
3,"(Soundtrack, Electronic)",8
4,"(WorldMusic, WorldMusic)",5
5,"(Electronic, Soundtrack)",6
6,"(HipHop, HipHop)",25
7,"(Metal, Rock)",13
8,"(HipHop, Reggae)",17
9,"(Pop, Metal)",2
10,"(HipHop, Metal)",13
11,"(Soundtrack, Jazz)",14
12,"(Klassik, Reggae)",4
13,"(WorldMusic, Klassik)",10
14,"(HipHop, Klassik)",4
15,"(Metal, Electronic)",3
16,"(WorldMusic, HipHop)",10
17,"(Klassik, HipHop)",7
18,"(Electronic, HipHop)",10
19,"(Klassik, WorldMusic)",7
20,"(HipHop, Rock)",12
21,"(Soundtrack, Soundtrack)",12
22,"(WorldMusic, Reggae)",10
23,"(Soundtrack, Klassik)",13
24,"(HipHop, Soundtrack)",6
25,"(WorldMusic, Metal)",9
26,"(Pop, Klassik)",6
27,"(Klassik, Soundtrack)",17
28,"(Metal, Metal)",26
29,"(Pop, Pop)",24
30,"(Rock, Pop)",22
31,"(Reggae, HipHop)",17
32,"(Soundtrack, Metal)",2
33,"(Klassik, Pop)",11
34,"(Pop, WorldMusic)",7
35,"(Electronic, Electronic)",14
36,"(Reggae, Metal)",8
37,"(Soundtrack, HipHop)",8
38,"(Rock, Jazz)",9
39,"(Rock, Klassik)",6
40,"(Klassik, Rock)",7
41,"(Jazz, Soundtrack)",13
42,"(Rock, Electronic)",7
43,"(Electronic, Reggae)",10
44,"(Jazz, Reggae)",5
45,"(Soundtrack, Rock)",7
46,"(Klassik, Klassik)",19
47,"(Metal, Soundtrack)",5
48,"(Reggae, Klassik)",5
49,"(Electronic, Jazz)",11
50,"(Rock, HipHop)",13
51,"(Metal, HipHop)",20
52,"(WorldMusic, Pop)",14
53,"(Metal, Reggae)",8
54,"(Electronic, Rock)",18
55,"(Electronic, Klassik)",2
56,"(Klassik, Metal)",4
57,"(Electronic, Metal)",3
58,"(Reggae, WorldMusic)",9
59,"(Metal, Jazz)",2
60,"(Jazz, Klassik)",12
61,"(Rock, WorldMusic)",10
62,"(Pop, Soundtrack)",11
63,"(Electronic, Pop)",19
64,"(Soundtrack, Pop)",13
65,"(Reggae, Reggae)",12
66,"(Metal, Pop)",7
67,"(Rock, Metal)",11
68,"(HipHop, Jazz)",4
69,"(Rock, Soundtrack)",6
70,"(Reggae, Electronic)",10
71,"(Jazz, WorldMusic)",10
72,"(HipHop, Electronic)",6
73,"(WorldMusic, Jazz)",12
74,"(Klassik, Electronic)",4
75,"(Jazz, Electronic)",11
76,"(Reggae, Jazz)",8
77,"(Pop, HipHop)",8
78,"(Pop, Reggae)",4
79,"(Pop, Electronic)",11
80,"(WorldMusic, Rock)",13
81,"(Pop, Rock)",14
82,"(Jazz, Rock)",11
83,"(Pop, Jazz)",13
84,"(WorldMusic, Electronic)",7
85,"(Reggae, Pop)",12
86,"(Jazz, HipHop)",6
87,"(Rock, Reggae)",6
88,"(Metal, WorldMusic)",10
89,"(Metal, Klassik)",6
90,"(Jazz, Jazz)",13
91,"(HipHop, Pop)",6
92,"(Reggae, Soundtrack)",7
93,"(Soundtrack, WorldMusic)",14
94,"(Rock, Rock)",10
95,"(Soundtrack, Reggae)",9
96,"(Klassik, Jazz)",20
97,"(WorldMusic, Soundtrack)",10
98,"(Electronic, WorldMusic)",7
