,original vs detected,count
26,"(Metal, Metal)",46
25,"(Klassik, Soundtrack)",34
19,"(Soundtrack, Soundtrack)",32
60,"(Rock, Metal)",30
21,"(Soundtrack, Klassik)",29
42,"(Klassik, Klassik)",29
27,"(Pop, Pop)",26
38,"(Jazz, Soundtrack)",24
73,"(Pop, Rock)",24
49,"(Electronic, Rock)",23
54,"(Jazz, Klassik)",22
88,"(WorldMusic, Soundtrack)",22
6,"(HipHop, HipHop)",21
28,"(Rock, Pop)",21
87,"(Klassik, Jazz)",21
77,"(Reggae, Pop)",20
18,"(HipHop, Rock)",19
2,"(Reggae, Rock)",18
8,"(HipHop, Reggae)",18
10,"(HipHop, Metal)",18
66,"(WorldMusic, Jazz)",18
11,"(Soundtrack, Jazz)",17
23,"(WorldMusic, Metal)",17
82,"(Jazz, Jazz)",17
34,"(Reggae, Metal)",16
45,"(Electronic, Jazz)",16
29,"(Reggae, HipHop)",15
75,"(Pop, Jazz)",15
86,"(Rock, Rock)",15
7,"(Metal, Rock)",14
9,"(Pop, Metal)",14
56,"(Electronic, Pop)",14
85,"(Soundtrack, WorldMusic)",14
12,"(WorldMusic, Klassik)",13
35,"(Rock, Jazz)",13
58,"(Reggae, Reggae)",13
17,"(Klassik, WorldMusic)",11
32,"(Pop, WorldMusic)",11
57,"(Rock, WorldMusic)",11
80,"(Metal, WorldMusic)",11
84,"(HipHop, Pop)",11
89,"(Electronic, WorldMusic)",11
64,"(Jazz, WorldMusic)",10
74,"(Jazz, Rock)",10
72,"(WorldMusic, Rock)",9
5,"(Electronic, Soundtrack)",8
59,"(Metal, Pop)",8
1,"(Jazz, Pop)",7
4,"(WorldMusic, WorldMusic)",7
33,"(Electronic, Electronic)",7
43,"(Metal, Soundtrack)",7
46,"(WorldMusic, Pop)",7
51,"(Electronic, Metal)",7
52,"(Reggae, WorldMusic)",7
16,"(Electronic, HipHop)",6
63,"(Reggae, Electronic)",6
68,"(Jazz, Electronic)",6
40,"(Electronic, Reggae)",5
62,"(HipHop, Jazz)",5
69,"(Reggae, Jazz)",5
3,"(Soundtrack, Electronic)",4
47,"(Metal, Reggae)",4
53,"(Metal, Jazz)",4
81,"(Metal, Klassik)",4
0,"(HipHop, WorldMusic)",3
30,"(Soundtrack, Metal)",3
37,"(Rock, Klassik)",3
48,"(Electronic, Klassik)",3
65,"(HipHop, Electronic)",3
70,"(Pop, Reggae)",3
71,"(Pop, Electronic)",3
76,"(WorldMusic, Electronic)",3
14,"(Metal, Electronic)",2
15,"(WorldMusic, HipHop)",2
20,"(WorldMusic, Reggae)",2
24,"(Pop, Klassik)",2
39,"(Rock, Electronic)",2
50,"(Klassik, Metal)",2
55,"(Pop, Soundtrack)",2
61,"(Rock, Soundtrack)",2
78,"(Jazz, HipHop)",2
79,"(Rock, Reggae)",2
83,"(Jazz, Metal)",2
13,"(HipHop, Klassik)",1
22,"(HipHop, Soundtrack)",1
31,"(Klassik, Pop)",1
36,"(Klassik, Rock)",1
41,"(Soundtrack, Rock)",1
44,"(Rock, HipHop)",1
67,"(Klassik, Electronic)",1
