,original vs detected,count
0,"(Blue_Collar_Man, Blue_Collar_Man)",1
1,"(We_Can_Work_It_Out, We_Can_Work_It_Out)",1
2,"(I_Can_t_Get_Next_To_You, I_Can_t_Get_Next_To_You)",1
3,"(God_Only_Knows, God_Only_Knows)",1
4,"(Grand_Illusion, Grand_Illusion)",1
5,"(Addicted_To_Love, Addicted_To_Love)",1
6,"(I_m_Not_In_Love, I_m_Not_In_Love)",1
7,"(Toys_In_The_Attic, Toys_In_The_Attic)",1
8,"(Let_It_Be, Let_It_Be)",1
9,"(Downtown_Lights, Downtown_Lights)",1
10,"(Between_The_Bars, Between_The_Bars)",1
11,"(White_Room, White_Room)",1
12,"(I_Love_You, I_Love_You)",1
