,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Gold_Dust_Woman/fleetwood_mac+Rumours+11-Gold_Dust_Womanmp3,0.0, D, major,0.0, 123.336181641,0.0,0.0,0.0,0.02972015224962451,0.004953358708270752
1,music/All_Tomorrow_s_Parties/japan+Quiet_Life+06-All_Tomorrow_s_Partiesmp3,0.17012990192649383, B, major,0.4851380042462845, 121.093574524,0.5079753887270899,0.15019344991423342,0.8793423357747951,0.060725177116709654,0.37558404295093445
2,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3,0.19777288870486237, G, major,0.4819532908704883, 117.453948975,0.563563086702268,0.08222295341587318,0.9229457422054382,0.015504612479402278,0.37732709572972206
3,music/Walking_After_Midnight/bryan_adams+Live_Live_Live_+15-Walking_After_Midnightmp3,0.22390008138312012, C, major,0.5201698513800425, 122.811820984,0.14823280787416268,0.39627451079157117,0.9856006936684064,0.05661855581847518,0.388466083485963
4,music/Strange_Little_Girl/tori_amos+Strange_Little_Girls+03-Strange_Little_Girlmp3,0.22347171490070158, E, major,0.4872611464968153, 120.022094727,0.5885377801899919,0.09836661549137893,0.9370413197056834,0.016333432740549686,0.3918353349208535
5,music/Never_Let_Me_Down_Again/smashing_pumpkins+For_The_Masses_A_Tribute_To_Depeche_Mode+01-Never_Let_Me_Down_Againmp3,0.19073158558072095, C, major,0.46178343949044587, 120.019004822,0.6181398785488057,0.10030357590137345,0.9576389296141129,0.027168577172130233,0.39262766438459823
6,music/Wish_You_Were_Here/pink_floyd+Wish_You_Were_Here+04-Wish_You_Were_Heremp3,0.1218881802924851, G, major,0.5254777070063694, 120.611488342,0.47912591457083265,0.2984732928418552,0.913103318368898,0.037615021079969765,0.39594723902673506
7,music/Rattlesnakes/tori_amos+Strange_Little_Girls+06-Rattlesnakesmp3,0.19240019628394076, F, major,0.49044585987261147, 125.512763977,0.5520787456397055,0.2493309358678361,0.8830692448171934,0.037726837473717564,0.4008419699925008
8,music/Strange_Little_Girl/stranglers+The_UA_Singles_79-82+24-Strange_Little_Girlmp3,0.2656933944530289, C, major,0.5148619957537155, 124.326950073,0.4329322748573154,0.2347450344211144,0.93923177965102,0.024860061378153435,0.40205409008572457
9,music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3,0.16722195861843966, D, minor,0.4447983014861996, 126.074867249,0.47864035056918336,0.3041067910839377,0.9493130266755737,0.0689259759431223,0.4021677340627427
10,music/I_Don_t_Want_To_Miss_A_Thing/aerosmith+Armageddon_Original_Soundtrack_+01-I_Don_t_Want_To_Miss_A_Thingmp3,0.31656359328800604, D, major,0.47876857749469215, 120.863586426,0.5731410874426528,0.09480894610121465,0.8992819273886997,0.05126852766770268,0.40230544323049466
11,music/Let_It_Be/nick_cave+I_am_Sam+20-Let_It_Bemp3,0.2411948316062986, C, major,0.3885350318471338, 136.383224487,0.7698533977942954,0.08524055342576405,0.9085204356890394,0.020974942838662674,0.402386532200199
12,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3,0.19958441846640743, B, minor,0.5414012738853503, 120.899589539,0.47911658451873484,0.1536406699181348,0.9912231583742619,0.05831663209439769,0.40388045620954777
13,music/More_Than_Words/extreme+The_Best_Of_Extreme+08-More_Than_Wordsmp3,0.20118566261011206, F#, major,0.43312101910828027, 91.5824508667,0.7457598424525397,0.09323678991855608,0.917145612477463,0.03789538032625738,0.40472405114886806
14,music/Time/tori_amos+Strange_Little_Girls+07-Timemp3,0.18718619945889453, B, major,0.5360934182590233, 135.985366821,0.6307421203697109,0.13750182305523223,0.9105906643795715,0.03279880227364313,0.4058188379660126
15,music/All_Along_The_Watchtower/u2+Rattle_and_Hum+05-All_Along_The_Watchtowermp3,0.15152106658919295, F#, major,0.49150743099787686, 129.032974243,0.614148973844754,0.14618779403562726,0.9658361738062418,0.07340471457637152,0.4071010256416774
