,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Walk_This_Way/aerosmith+A_Little_South_Of_Sanity_Disc_2_+08-Walk_This_Waymp3,0.0, A, minor,0.0, 109.268005371,0.0,0.0,0.0,0.0,0.0
1,music/Cecilia/paul_simon+Concert_in_the_Park_Disc_2+11-Ceciliamp3,0.502180871453265, G, major,0.3095022624434389, 110.373329163,0.16158451098437732,0.057735317678705524,0.9417663857858223,0.009596498714172777,0.33039430784329693
2,music/I_m_Losing_You/cheap_trick+Silver+08-I_m_Losing_Yoump3,0.5471829477774108, A, minor,0.3755656108597285, 107.852676392,0.2445407512550078,0.010790855062894537,0.9437335374686385,0.003418365872850121,0.35420534471608844
3,music/We_Can_Work_It_Out/tesla+Five_Man_Acoustical_Jam+04-We_Can_Work_It_Outmp3,0.4767460693811699, G, major,0.3266968325791855, 107.157066345,0.3575092870295514,0.02163240689902585,0.9625706511837497,0.002100094570076384,0.35787589027379313
4,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3,0.4394900543398549, D, major,0.3339366515837104, 107.710151672,0.24388774775960784,0.19674801295437166,0.95616652616148,0.0012128517495550556,0.36190697409143
5,music/I_Can_t_Get_Next_To_You/temptations+The_Temptations_The_Ultimate_Collection+14-I_Can_t_Get_Next_To_Yoump3,0.35484236245646017, F, minor,0.3040723981900452, 108.69228363,0.10975806183926787,0.4693373485713502,0.9580358282966728,0.0029291518117126832,0.36649585852758476
6,music/I_Can_t_Get_Next_To_You/annie_lennox+Medusa+06-I_Can_t_Get_Next_To_Yoump3,0.44243000448108094, C, minor,0.2986425339366516, 108.988868713,0.3909659129587466,0.16313352080825952,0.9207411744629552,0.0006691127701416141,0.36943037656963923
7,music/White_Room/sheryl_crow_+Live_from_Central_Park+12-White_Roommp3,0.5327931553738329, G, major,0.4081447963800905, 106.896240234,0.3574882178636147,0.020262489006100007,0.9237301974842516,0.0003284798045179607,0.37379122265206793
8,music/Addicted_To_Love/tina_turner+Tina_Live_In_Europe_CD_1_+09-Addicted_To_Lovemp3,0.4779907953378762, E, major,0.4072398190045249, 111.308662415,0.38729622122117896,0.01522088309519646,0.9699249180836473,0.0016306576396192215,0.37655054906367386
9,music/My_Heart_Will_Go_On/new_found_glory+From_the_Screen_to_Your_Stereo+07-My_Heart_Will_Go_Onmp3,0.45269209035226876, E, major,0.31402714932126696, 101.541908264,0.5688528528325791,0.10633301144565713,0.9132767304506337,0.0012239472254632928,0.3927342969379781
10,music/All_Along_The_Watchtower/jimi_hendrix_experience+Electric_Ladyland+15-All_Along_The_Watchtowermp3,0.4075945773521851, D#, major,0.3583710407239819, 114.371948242,0.5385252934071232,0.11149989799032366,0.9626407298335088,0.0007286023182987832,0.396560023604237
11,music/I_Don_t_Like_Mondays/tori_amos+Strange_Little_Girls+09-I_Don_t_Like_Mondaysmp3,0.6337978330644385, B, major,0.35203619909502265, 110.872032166,0.3081931207063487,0.24313560600605544,0.8392051724634431,0.012757181528314948,0.3981875188106038
12,music/Purple_Rain/leann_rimes+Sittin_On_Top_Of_The_World+15-Purple_Rainmp3,0.5353139321125238, D, major,0.38461538461538464, 111.819168091,0.4256037905370471,0.20287045799773007,0.850954385083204,0.0038334885178405867,0.4005319064772883
13,music/Take_Me_To_The_River/annie_lennox+Medusa+02-Take_Me_To_The_Rivermp3,0.4430174996108298, E, minor,0.3049773755656109, 109.008804321,0.17042520614870837,0.5591806994263456,0.9717173693947166,0.002637823336530479,0.40865932891379037
14,music/White_Room/cream+Live_Cream_Volume_II+02-White_Roommp3,0.6037076670574865, G, major,0.43981900452488687, 111.811828613,0.4336905527435205,0.06882184074317907,0.9177145414541747,0.005055368943568814,0.4114681625778027
15,music/September_Gurls/big_star+Radio_City+10-September_Gurlsmp3,0.4377029365027233, E, major,0.31402714932126696, 112.72151947,0.5082897181907634,0.302518224585875,0.9332053982644345,0.0012443921112794073,0.4161646364960571
16,music/Blue_Collar_Man/reo_speedwagon+Arch_Allies_Disc_1+01-Blue_Collar_Manmp3,0.4739638400164126, D, minor,0.39728506787330314, 117.979370117,0.6518852824702852,0.06656341401527231,0.9166974493805413,0.0009311555211949769,0.41788770154616833
17,music/Night_Time_Is_The_Right_Time/creedence_clearwater_revival+The_Concert+12-Night_Time_Is_The_Right_Timemp3,0.6020466639792179, E, major,0.3248868778280543, 109.347229004,0.2816169417472724,0.31268132434276624,0.9735593374581059,0.019558115171059248,0.419058210087746
18,music/Real_Men/tori_amos+Strange_Little_Girls+12-Real_Menmp3,0.5867438963268634, F#, minor,0.3248868778280543, 111.568817139,0.3598155590023848,0.357656962031827,0.8792209400967863,0.007588113845208107,0.41931872485518734
19,music/My_Generation/green_day+Kerplunk+16-My_Generationmp3,0.42755552086267107, F, minor,0.3095022624434389, 106.568016052,0.3631918858113092,0.4302816581458584,0.9889975406096626,0.0031004088845513252,0.4204382127929152
20,music/Gold_Dust_Woman/sheryl_crow+Live_from_Central_Park+07-Gold_Dust_Womanmp3,0.5280679995033019, G, major,0.38733031674208146, 128.775222778,0.7401814029870395,0.02159036273226489,0.8512666858362433,0.0006807305136930038,0.42151958305243736
21,music/Never_Let_Me_Down_Again/depeche_mode+Music_For_The_Masses+01-Never_Let_Me_Down_Againmp3,0.6682737558026849, C, major,0.36742081447963804, 106.159973145,0.48527819456657434,0.14970484700262995,0.8676543010223079,0.005572576194012125,0.4239840815113079
22,music/God_Only_Knows/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+07-God_Only_Knowsmp3,0.5139725029896368, A, major,0.3085972850678733, 116.500022888,0.679247012200988,0.09815037812158182,0.9475937348158144,0.00197258046887462,0.42492224894412817
23,music/She_Came_In_Through_The_Bathroom_Window/joe_cocker+Joe_Cocker_Live+12-She_Came_In_Through_The_Bathroom_Windowmp3,0.5729775635517156, D, major,0.3212669683257919, 93.945350647,0.6821100558712648,0.014481106672118613,0.9652982631970527,0.002853963701120971,0.4264979868865108
24,music/Lady/reo_speedwagon+Arch_Allies_Disc_1+04-Ladymp3,0.5511668244343085, G, major,0.42171945701357466, 123.310401917,0.5986651881681865,0.08421420081847764,0.9092354145740336,0.001816085303007027,0.427802861718598
25,music/Love_Hurts/nazareth+_Snaz+15-Love_Hurtsmp3,0.5557514966180437, G#, major,0.3212669683257919, 77.6048278809,0.6898595707741132,0.040344985045724334,0.9567179278370451,0.004399960967942147,0.42805681826144343
26,music/Hush/deep_purple+Nobody_s_Perfect_Disc_2_2_+07-Hushmp3,0.4049718121563267, C, minor,0.31493212669683257, 109.125686646,0.27734833998038794,0.5929136706681891,0.974860512942735,0.0037414997484402353,0.42812799369881854
27,music/Proud_Mary/creedence_clearwater_revival+Live_in_Europe+10-Proud_Marymp3,0.5770708240239927, D, major,0.334841628959276, 135.161499023,0.6958400633706502,0.02108668057941496,0.9493532758833283,0.002146179451320836,0.4300564420446638
28,music/Between_The_Bars/glen_phillips+Capitol_Garage+35-Between_The_Barsmp3,0.6233514256226048, C, major,0.3411764705882353, 91.3132629395,0.5718716226745858,0.1008096482294892,0.9370536458491507,0.00770191284185516,0.4303274543009868
29,music/Enjoy_The_Silence/tori_amos+Strange_Little_Girls+04-Enjoy_the_Silencemp3,0.6612501900860134, A#, major,0.38280542986425337, 163.905609131,0.5287927452307454,0.13163344708698083,0.8596557815792194,0.021394813900146546,0.4309220679578932
30,music/The_Boxer/paul_simon+Concert_in_the_Park_Disc_2+10-The_Boxermp3,0.7225470243553047, C, major,0.3420814479638009, 104.250892639,0.5593844427979178,0.04824573359530104,0.8906377764282786,0.023755818604540825,0.4311087072908573
31,music/I_Don_t_Want_To_Miss_A_Thing/new_found_glory+From_the_Screen_to_Your_Stereo+03-I_Don_t_Want_To_Miss_A_Thingmp3,0.44198496138442006, D, major,0.3266968325791855, 96.5412216187,0.6290422559141345,0.2148016468990773,0.9753370370855214,0.001052967511218231,0.43148595022892616
32,music/Heart_Of_Gold/tori_amos+Strange_Little_Girls+08-Heart_Of_Goldmp3,0.5365274457208826, E, minor,0.33031674208144796, 120.021446228,0.7909411025390455,0.029526282921694288,0.916736330891031,0.0012705573913059328,0.4342197435909012
33,music/My_Generation/who+Who_s_Better_Who_s_Best+01-My_Generationmp3,0.5293510238550073, G, minor,0.3257918552036199, 96.4509277344,0.6615449183928473,0.10748938542170286,0.9785343049547763,0.002862627679535563,0.4342623525845816
34,music/Grand_Illusion/reo_speedwagon+Arch_Allies_Disc_1+02-Grand_Illusionmp3,0.44926744899621085, C#, major,0.5909502262443439, 178.205612183,0.6189737262718715,0.012092284093091116,0.9343403808962161,0.0006776390996579058,0.43438361760023186
35,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3,0.5867681351054899, G, major,0.4081447963800905, 117.453948975,0.47095484672392757,0.2807924994599488,0.858382850376626,0.004744870207117878,0.4349646663755335
36,music/Before_You_Accuse_Me/eric_clapton+Unplugged+02-Before_You_Accuse_Memp3,0.6034081972287484, A, major,0.31131221719457014, 99.5403900146,0.6663913891528395,0.08550905400169387,0.9411574820370501,0.011389683312454936,0.4365280038212262
37,music/Lodi/creedence_clearwater_revival+Live_in_Europe+08-Lodimp3,0.5787818793365481, A#, major,0.34841628959276016, 132.643798828,0.7683282896731832,0.030430764253923517,0.8980162487511476,0.002643722967477589,0.4377695324291733
