,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3,0.0, D, major,0.0, 107.710151672,0.0,0.0,0.0,0.0004195209650014942,6.992016083358237e-05
1,music/We_Can_Work_It_Out/tesla+Five_Man_Acoustical_Jam+04-We_Can_Work_It_Outmp3,0.2627564872581733, G, major,0.16886543535620052, 107.157066345,0.20846155724892537,0.2530063961340817,0.8841838527107042,0.0023679263677156186,0.2966069425126335
2,music/I_Don_t_Like_Mondays/tori_amos+Strange_Little_Girls+09-I_Don_t_Like_Mondaysmp3,0.4024121065538228, B, major,0.2911169744942832, 110.872032166,0.21363771837428563,0.10188142510449327,0.8564658791220535,0.016257449506119986,0.31362859219250977
3,music/My_Heart_Will_Go_On/new_found_glory+From_the_Screen_to_Your_Stereo+07-My_Heart_Will_Go_Onmp3,0.29929856189140985, E, major,0.1838170624450308, 101.541908264,0.43649652465767286,0.11640888106280785,0.8939120129418994,0.0015965032526361579,0.3219215910419095
4,music/My_Generation/green_day+Kerplunk+16-My_Generationmp3,0.3404157466998196, F, minor,0.17326297273526825, 106.568016052,0.18316818886462233,0.29399559916138984,0.9953969797517218,0.0036553734542759952,0.3316491434445163
5,music/Cecilia/paul_simon+Concert_in_the_Park_Disc_2+11-Ceciliamp3,0.33672198622244115, G, major,0.22427440633245382, 110.373329163,0.2580018604090668,0.22386882197648802,0.957504189526737,0.00922315590829346,0.33493240339591335
6,music/I_Don_t_Want_To_Miss_A_Thing/new_found_glory+From_the_Screen_to_Your_Stereo+03-I_Don_t_Want_To_Miss_A_Thingmp3,0.3255938097406751, D, major,0.15127528583992964, 96.5412216187,0.57004150028862,0.03401573193245299,0.9283422255978296,0.0014271812998005442,0.335115955783218
7,music/Real_Men/tori_amos+Strange_Little_Girls+12-Real_Menmp3,0.3610436009308338, F#, minor,0.2955145118733509, 111.568817139,0.2771961778177151,0.21110657648321848,0.9272584047020793,0.009290342714239692,0.3469016024202396
8,music/Yesterday/beatles+1+11-Yesterdaymp3,0.30585663252945133, F, major,0.1468777484608619, 96.8093490601,0.6293460995630035,0.07380514700985394,0.9276249316204808,0.01099678323112456,0.3490845570691294
9,music/Night_Time_Is_The_Right_Time/creedence_clearwater_revival+The_Concert+12-Night_Time_Is_The_Right_Timemp3,0.4214469857572498, E, major,0.22867194371152155, 109.347229004,0.30612469575877316,0.1483547869775669,0.978004648628466,0.022076454115409178,0.3507799191581645
10,music/Between_The_Bars/glen_phillips+Capitol_Garage+35-Between_The_Barsmp3,0.39882237978374147, C, major,0.1741424802110818, 91.3132629395,0.48680440462942576,0.14364640913413768,0.8994329612773124,0.008501071768797405,0.3518916178007494
11,music/Night_Time_Is_The_Right_Time/aretha_franklin+Aretha_Now+04-Night_Time_Is_The_Right_Timemp3,0.30073534539096847, F, major,0.3095866314863676, 103.113929749,0.4712574485790174,0.08165343129550352,0.9664516618050837,0.005428333921912841,0.35585214207980886
12,music/I_Can_t_Get_Next_To_You/annie_lennox+Medusa+06-I_Can_t_Get_Next_To_Yoump3,0.4384991629374608, C, minor,0.21899736147757257, 108.988868713,0.48869153088631145,0.04821564575380345,0.9420676954724962,0.0002261864659898633,0.35611626383227235
13,music/Take_On_Me/mxpx+On_The_Cover+05-Take_On_Memp3,0.38437151517623425, F, major,0.24098504837291118, 102.6434021,0.5037017255709421,0.061081129140104905,0.9552885705761239,0.0011828488831328817,0.35776847295324155
14,music/Summer_of_69/mxpx+On_The_Cover+01-Summer_of_69mp3,0.3609410708724227, C, major,0.16094986807387862, 101.593284607,0.3664420996959075,0.30472160433477274,0.9581468596426816,0.001976793649741834,0.35886304937823416
15,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3,0.3173719751048372, G, major,0.3658751099384345, 117.453948975,0.40063811931810295,0.1432295149220929,0.9265872312546833,0.004543263558328133,0.35970753568274655
16,music/Purple_Rain/leann_rimes+Sittin_On_Top_Of_The_World+15-Purple_Rainmp3,0.2942973552131789, D, major,0.35356200527704484, 111.819168091,0.4992867874010906,0.07268196082401174,0.9377906225350726,0.0032725117869775587,0.3601485405062294
17,music/September_Gurls/big_star+Radio_City+10-September_Gurlsmp3,0.3444299723460174, E, major,0.18909410729991205, 112.72151947,0.5380023203662598,0.1350807175604649,0.958039665140536,0.001975544991410938,0.36110372128410023
18,music/I_Can_t_Get_Next_To_You/temptations+The_Temptations_The_Ultimate_Collection+14-I_Can_t_Get_Next_To_Yoump3,0.41536716944299773, F, minor,0.22163588390501318, 108.69228363,0.207837190154982,0.34175958953921726,0.979503542184863,0.0025249980642089416,0.36143806221521363
19,music/Never_Let_Me_Down_Again/depeche_mode+Music_For_The_Masses+01-Never_Let_Me_Down_Againmp3,0.45092451851753, C, major,0.3447669305189094, 106.159973145,0.40510469419169526,0.06315062216456259,0.9241375044591683,0.005830338408059509,0.3656524347099875
20,music/White_Room/sheryl_crow_+Live_from_Central_Park+12-White_Roommp3,0.3347241537323103, G, major,0.40633245382585753, 106.896240234,0.22186966586031584,0.26756976208299255,0.9718633279808012,0.0006529566668040128,0.36716872002484685
21,music/Walk_This_Way/aerosmith+A_Little_South_Of_Sanity_Disc_2_+08-Walk_This_Waymp3,0.36720792701137944, A, minor,0.3245382585751979, 109.268005371,0.2687249379119778,0.24456896023527971,1.0,0.00036273704620918456,0.367567136796674
22,music/Lady/styx+Return_To_Paradise_Disc_1_+05-Ladymp3,0.2778499268192883, G, major,0.2796833773087071, 128.87399292,0.6364502685852461,0.10675603317145423,0.918070106389414,0.001279614031375954,0.370014887717581
23,music/God_Only_Knows/beach_boys+Pet_Sounds+08-God_Only_Knowsmp3,0.34383156707843465, A, major,0.21108179419525067, 117.590515137,0.6794171511714403,0.0530813762210862,0.9442200163105596,0.0032477913321828757,0.3724799493848257
24,music/All_Along_The_Watchtower/jimi_hendrix_experience+Electric_Ladyland+15-All_Along_The_Watchtowermp3,0.3034093264949888, D#, major,0.2990325417766051, 114.371948242,0.5406160178170804,0.10892669620094676,0.9898764665457859,0.00025837953397075025,0.37368657139489625
25,music/Don_t_Let_It_Bring_You_Down/annie_lennox+Medusa+04-Don_t_Let_It_Bring_You_Downmp3,0.32634951077843716, F, major,0.31838170624450307, 137.225463867,0.6749109964234918,0.027310996369041753,0.8984592168195925,0.0017662059192106556,0.3745297720923795
26,music/Straight_From_The_Heart/bryan_adams+So_Far_So_Good+02-Straight_From_The_Heartmp3,0.3582299449420165, C, major,0.17502198768689534, 84.6679153442,0.7579415762621424,0.04515638694346841,0.9137272688474992,0.0013954414548299266,0.37524543435614194
27,music/My_Generation/who+Who_s_Better_Who_s_Best+01-My_Generationmp3,0.3129368687376548, G, minor,0.22251539138082674, 96.4509277344,0.6275183586148618,0.11822075054011504,0.9802909996228386,0.00283997491955287,0.3773870573026416
28,music/Enjoy_The_Silence/tori_amos+Strange_Little_Girls+04-Enjoy_the_Silencemp3,0.42990261430033994, A#, major,0.35883905013192613, 163.905609131,0.45194773894466234,0.11006647876968323,0.8950191433784803,0.023913061950234737,0.3782813479125544
29,music/God_Only_Knows/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+07-God_Only_Knowsmp3,0.28813082064833206, A, major,0.24010554089709762, 116.500022888,0.6522342389654906,0.1340447622827885,0.9598307701145397,0.0009075646146820022,0.3792089495871551
30,music/Happiness_is_a_Warm_Gun/beatles+White_Album_Disc_1+08-Happiness_is_a_Warm_Gunmp3,0.3545149924131516, A, minor,0.2612137203166227, 140.106704712,0.586735962751154,0.0766564015951708,0.972132208461965,0.024415313957574326,0.37927809991593975
31,music/Let_It_Be/beatles+1+26-Let_It_Bemp3,0.32754265616944317, C, major,0.32629727352682497, 139.700973511,0.589405016236117,0.15165887906484843,0.8836418811890481,0.0038785769935738533,0.38040404719664256
32,music/The_Boxer/paul_simon+Concert_in_the_Park_Disc_2+10-The_Boxermp3,0.462038786247101, C, major,0.28408091468777485, 104.250892639,0.37864739235266,0.20656907744889885,0.9318425148632656,0.022473187289404603,0.38094197881485087
33,music/I_m_Losing_You/cheap_trick+Silver+08-I_m_Losing_Yoump3,0.40343538660974354, A, minor,0.3922603342128408, 107.852676392,0.27896276677517196,0.2526369601180661,0.9707846350290034,0.004970476370568427,0.3838417598525658
34,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3,0.35877421884970484, B, major,0.3720316622691293, 143.92578125,0.5704231035878149,0.07460690814448177,0.9305456940424169,0.0017721267656052265,0.38469228560985885
