,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Between_The_Bars/elliott_smith+Either_Or+04-Between_The_Barsmp3,0.0, D#, major,0.0, 135.676589966,0.0,0.0,0.0,0.0,0.0
1,music/Let_It_Be/nick_cave+I_am_Sam+20-Let_It_Bemp3,0.20101196969277757, C, major,0.28383128295254834, 136.383224487,0.134512322974343,0.1989918501059821,0.39362274002348985,0.011119161726916802,0.20384822124600963
2,music/Time/tori_amos+Strange_Little_Girls+07-Timemp3,0.17677742677669964, B, major,0.4305799648506151, 135.985366821,0.4642551115919442,0.10229924279838194,0.19604069281625502,0.015301710141635201,0.23087569149592188
3,music/Street_Fighting_Man/rolling_stones+Get_Yer_Ya-Ya_s_Out_+10-Street_Fighting_Manmp3,0.18689238806113737, B, major,0.37434094903339193, 135.515930176,0.11500843234556579,0.08105057159573377,0.5993193385986599,0.0891310062453584,0.24095711431330782
4,music/Don_t_Let_It_Bring_You_Down/annie_lennox+Medusa+04-Don_t_Let_It_Bring_You_Downmp3,0.3629978755232793, F, major,0.3312829525483304, 137.225463867,0.2629793621180361,0.10161589847136743,0.43071101415608226,0.04962102752320293,0.2565346883900497
5,music/Summer_of_69/bryan_adams+Live_Live_Live_+13-Summer_of_69mp3,0.25189114374288396, D, major,0.429701230228471, 138.499053955,0.3532413535259147,0.0998068016637735,0.3217495896458463,0.13164312673922793,0.26467220759101956
6,music/I_Don_t_Like_Mondays/tori_amos+Strange_Little_Girls+09-I_Don_t_Like_Mondaysmp3,0.2167679957616365, B, major,0.29964850615114236, 110.872032166,0.6553458294533643,0.1636157309170698,0.2427700528844119,0.02090949431811921,0.2665096015809573
7,music/Don_t_Let_It_Bring_You_Down/neil_young+After_the_Goldrush+07-Don_t_Let_It_Bring_You_Downmp3,0.2462004292804753, F, major,0.2583479789103691, 132.990905762,0.2977858008972741,0.13143343221969803,0.6399402880907932,0.049837261772621724,0.2705908651952052
8,music/Between_The_Bars/glen_phillips+Capitol_Garage+35-Between_The_Barsmp3,0.2392258147898094, C, major,0.19859402460456943, 91.3132629395,0.42765111944860296,0.040830462156570456,0.8171799055842921,0.008050973037160397,0.2885887166035008
9,music/Happiness_is_a_Warm_Gun/tori_amos+Strange_Little_Girls+10-Happiness_is_a_Warm_Gunmp3,0.2821574233744942, D#, major,1.0, 136.591781616,0.16812916054032054,0.03595138933828636,0.2734805971324962,0.021420868628410424,0.2968565731690013
10,music/Proud_Mary/creedence_clearwater_revival+Live_in_Europe+10-Proud_Marymp3,0.3468197619365992, D, major,0.24956063268892795, 135.161499023,0.15335301292166698,0.09943755068730376,0.9042154764243262,0.05172136583827803,0.3008513000828503
11,music/Gold_Dust_Woman/sheryl_crow+Live_from_Central_Park+07-Gold_Dust_Womanmp3,0.2769236984941922, G, major,0.3989455184534271, 128.775222778,0.7350950470456408,0.10257548032547352,0.26166201535492273,0.06787346602740292,0.30717920428350987
12,music/The_Boxer/paul_simon+Concert_in_the_Park_Disc_2+10-The_Boxermp3,0.2410826903734215, C, major,0.28031634446397186, 104.250892639,0.6994974378653901,0.07554238962892826,0.4541672367452879,0.1050475566474646,0.3092756092874107
13,music/I_Can_t_Get_No_Satisfaction/rolling_stones+Big_Hits+01-_I_Can_t_Get_No_Satisfactionmp3,0.42516557412516076, A, major,0.32073813708260107, 136.35697937,0.2996104252132884,0.14201721561276812,0.6291802543930571,0.06079268990989331,0.31291738272279485
14,music/Lodi/creedence_clearwater_revival+Live_in_Europe+08-Lodimp3,0.3254056302250087, A#, major,0.28295254833040423, 132.643798828,0.4576277872390604,0.0884867514788488,0.7014355454848726,0.044812299588539266,0.3167867603911223
15,music/Enjoy_The_Silence/tori_amos+Strange_Little_Girls+04-Enjoy_the_Silencemp3,0.18087222943423828, A#, major,0.351493848857645, 163.905609131,0.6129134523298906,0.05042414605966409,0.7584588955703641,0.016440220166810827,0.32843379873643547
16,music/Red_Red_Wine/neil_diamond+Hot_August_Night_Disc_1+10-Red_Red_Winemp3,0.3617701506657979, C, major,0.3260105448154657, 129.898986816,0.6212701558142563,0.08467422893801796,0.5521662557478912,0.047435912208257214,0.3322212080316144
17,music/Little_Wing/eric_clapton+Crossroads_2_Disc_1+08-Little_Wingmp3,0.20622801980975541, A, major,0.6537785588752196, 154.563201904,0.6140737994499568,0.26610590850759547,0.23493226960489244,0.02737333509511597,0.3337486485570893
