,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Claudette/everly_brothers+The_Fabulous_Style_of+01-Claudettemp3,0.0, E, major,0.0, 155.37802124,0.0,0.0,0.0,0.00457567764330004,0.0007626129405500067
1,music/Waiting_In_Vain/bob_marley_the_wailers+Legend+10-Waiting_in_Vainmp3,0.5094220391517073, C#, major,0.4511070110701107, 155.625091553,0.21301073676918714,0.10657122327811272,0.9378523583088066,0.027783019704867157,0.3742910647137985
2,music/Caroline_No/beach_boys+Pet_Sounds+13-Caroline_Nomp3,0.5683891199728021, C#, major,0.29797047970479706, 152.130386353,0.42759672180800057,0.05742686649893493,0.9235623230831038,0.03521647722237948,0.38502699804833634
3,music/Something_So_Right/annie_lennox+Medusa+10-Something_So_Rightmp3,0.4934326792616325, C, major,0.3440959409594096, 152.389190674,0.44661861021610344,0.246951538070322,0.8993601584733433,0.009160891574968506,0.40660330309262993
4,music/Rattlesnakes/lloyd_cole_and_the_commotions+Rattlesnakes+03-Rattlesnakesmp3,0.5009975534933634, A, major,0.3607011070110701, 152.103897095,0.578390759349469,0.05820777622003862,0.9501800570167982,0.0060686964342607785,0.40909099158750006
5,music/September_Gurls/big_star+Radio_City+10-September_Gurlsmp3,0.5015240568545892, E, major,0.2066420664206642, 112.72151947,0.7439848661631528,0.07625553768500166,0.930776732440105,0.006098932484347575,0.41088036534131006
6,music/Faith/limp_bizkit+Three_Dollar_Bill_Yall+09-Faithmp3,0.4584203568976734, D, major,0.2924354243542435, 95.158454895,0.627003798518389,0.10000661621939642,0.9960166777296576,0.003455203731833152,0.4128896795751989
7,music/Stone_Cold_Crazy/queen+Sheer_Heart_Attack+08-Stone_Cold_Crazymp3,0.5527986864667517, B, minor,0.2629151291512915, 120.899589539,0.6288601602678243,0.043772611350584016,0.9863848420523347,0.007645322523112388,0.4137294586353164
8,music/Summer_of_69/mxpx+On_The_Cover+01-Summer_of_69mp3,0.4854623572770357, C, major,0.20940959409594095, 101.593284607,0.646626489771531,0.15827518138281316,0.9806768910970499,0.0058603640817234395,0.414385146284349
9,music/Yesterday/en_vogue+Funky_Divas+09-Yesterdaymp3,0.4848392858315099, F, major,0.26476014760147604, 161.960662842,0.4896635716168869,0.2714328769652502,0.9712194445811964,0.006332664557045673,0.41470799852556084
