,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/It_s_Tricky/bloodhound_gang+One_Fierce_Beer_Coaster+06-It_s_Trickymp3,0.0, G, minor,0.0, 146.948287964,0.0,0.0,0.4619590965942072,0.0,0.0769931827657012
1,music/A_Whiter_Shade_Of_Pale/annie_lennox+Medusa+03-A_Whiter_Shade_Of_Palemp3,0.4022547178983922, C, major,0.49343339587242024, 146.054702759,0.15785989188170596,0.33059877124984505,0.2750728514483245,0.003307567903178433,0.27708786604231106
2,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3,0.417227559406158, B, major,0.37523452157598497, 143.92578125,0.33680416707952326,0.16967133189313607,0.5171616334568411,0.0022355754824661214,0.30305579814901823
3,music/Let_It_Be/beatles+Let_It_Be+06-Let_It_Bemp3,0.4489556706627622, C, major,0.41088180112570355, 137.028686523,0.48326907884027404,0.1985703834773288,0.3186913052241088,0.006160654183344264,0.3110881489189203
4,music/A_Whiter_Shade_Of_Pale/procol_harum+Greatest_Hits+2-A_Whiter_Shade_Of_Palemp3,0.46489914183368136, C, major,0.424953095684803, 148.5909729,0.2468153274778473,0.39941786330634166,0.32674594197806983,0.007574596189494829,0.3117343277450397
5,music/Tush/nazareth+_Snaz+16-Tushmp3,0.40942108419004436, C#, major,0.5121951219512195, 147.813034058,0.13583057382937463,0.20944496657144887,0.6365911476903748,0.0022636962685540414,0.31762443175016936
6,music/Little_Wing/eric_clapton+Crossroads_2_Disc_1+08-Little_Wingmp3,0.5339681507362534, A, major,0.625703564727955, 154.563201904,0.4271517219216233,0.1859724229173164,0.14498955587772433,0.008234116482473262,0.3210032554438909
7,music/Tush/zz_top+Fandango+09-Tushmp3,0.4677807854201437, C, major,0.20637898686679174, 144.786575317,0.2764618772648133,0.3432165293398402,0.6371442147090833,0.012932616421470653,0.3239858350036905
8,music/Thin_Line_Between_Love_And_Hate/annie_lennox+Medusa+08-Thin_Line_Between_Love_And_Hatemp3,0.4409848962659572, C, major,0.4709193245778612, 150.035003662,0.44257022911771365,0.1795672852052347,0.47057198703363234,0.0022170837764584556,0.33447180099614293
9,music/Let_It_Be/beatles+1+26-Let_It_Bemp3,0.4574380537407839, C, major,0.3902439024390244, 139.700973511,0.5059813520050676,0.17584784700124811,0.4951218206961997,0.004937036665907112,0.3382616687580384
