,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Maggie_s_Farm/bob_dylan+Live_at_Budokan_Disc_1+06-Maggie_s_Farmmp3,0.0, A, minor,0.0, 126.578773499,0.0,0.0,0.1837694044346765,0.00216078715100743,0.030988365264280653
1,music/Tomorrow_Never_Knows/beatles+Revolver+14-Tomorrow_Never_Knowsmp3,0.26105103345905184, F, major,0.38238341968911915, 127.962799072,0.22032981698298001,0.13947653844528934,0.3829145664650211,0.0063739513005632315,0.2320882210570041
2,music/Gold_Dust_Woman/sheryl_crow+Live_from_Central_Park+07-Gold_Dust_Womanmp3,0.20180762317199022, G, major,0.39378238341968913, 128.775222778,0.34944524491352275,0.09826221178041608,0.43797897419266685,0.0011306286434581197,0.24706784435362386
3,music/Yesterday/beatles+1+11-Yesterdaymp3,0.2933455383914009, F, major,0.5772020725388601, 96.8093490601,0.6632984292066997,0.1696186559370616,0.022640859572678695,0.01708353240187937,0.2905315146747634
4,music/We_Can_Work_It_Out/tesla+Five_Man_Acoustical_Jam+04-We_Can_Work_It_Outmp3,0.3337687442693694, G, major,0.538860103626943, 107.157066345,0.6876060656137475,0.11058255191506872,0.0910252998720269,0.003273805175003686,0.2941860950786932
5,music/She_Came_In_Through_The_Bathroom_Window/joe_cocker+Joe_Cocker_Live+12-She_Came_In_Through_The_Bathroom_Windowmp3,0.2844872281036657, D, major,0.522279792746114, 93.945350647,0.6648262610842566,0.09720320172837423,0.19589318863821426,0.0012027733175581589,0.2943154076030305
6,music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3,0.19114766632532754, D, minor,0.43523316062176165, 126.074867249,0.2331957465359875,0.06457770716416987,0.8481871088537846,0.004229949156817427,0.29609522310964137
7,music/Lady/reo_speedwagon+Arch_Allies_Disc_1+04-Ladymp3,0.22988960996858485, G, major,0.47979274611398964, 123.310401917,0.34158360470688653,0.05628682032794962,0.6935211927155212,0.0031114425498266368,0.3006975693971264
8,music/Between_The_Bars/glen_phillips+Capitol_Garage+35-Between_The_Barsmp3,0.3564523847335311, C, major,0.5730569948186528, 91.3132629395,0.5083338137658003,0.028441278977917425,0.3210744917448176,0.021233165723212967,0.301432021627322
9,music/Lady/styx+Return_To_Paradise_Disc_1_+05-Ladymp3,0.28301758179175535, G, major,0.44455958549222796, 128.87399292,0.2813957897805728,0.19659452279405945,0.625027583873478,0.006572868700967425,0.30619465540551016
10,music/Red_Red_Wine/neil_diamond+Hot_August_Night_Disc_1+10-Red_Red_Winemp3,0.3265802339407839, C, major,0.46528497409326425, 129.898986816,0.44733901387621106,0.08559129314831276,0.5427255565746563,0.0049494011591590965,0.3120784121320645
11,music/Rattlesnakes/tori_amos+Strange_Little_Girls+06-Rattlesnakesmp3,0.29638324428734386, F, major,0.5191709844559586, 125.512763977,0.2701864602766543,0.3987647103711392,0.3456739088049917,0.048090839250786645,0.313045024574479
12,music/Don_t_Let_It_Bring_You_Down/neil_young+After_the_Goldrush+07-Don_t_Let_It_Bring_You_Downmp3,0.2837006319791564, F, major,0.43316062176165804, 132.990905762,0.6114460420727453,0.1336564907985112,0.37809391445057083,0.07113017686112702,0.3185313129872948
13,music/The_Boxer/paul_simon+Concert_in_the_Park_Disc_2+10-The_Boxermp3,0.33398421476271306, C, major,0.48497409326424873, 104.250892639,0.6400446671939531,0.0705839470779958,0.4166557568729584,0.019301115973010916,0.32759063252414666
14,music/Strange_Little_Girl/stranglers+The_UA_Singles_79-82+24-Strange_Little_Girlmp3,0.28635028405750435, C, major,0.5512953367875648, 124.326950073,0.26653114318046595,0.35721795338278667,0.5113066841916186,0.026808572570384992,0.3332516623617209
